w2026,w2027,w2028,clean_valid_mae,clean_valid_pearson,q2c2_mae,q2c2_pearson,seed2028_clean_pearson,seed2028_q2c2_pearson,clean_pearson_preserved,q2c2_pearson_preserved,feasible,mean_mae,mean_pearson
0.1,0.4,0.5,0.5833647452581386,0.6695526874785764,0.5828956680724873,0.6697014179633501,0.6722288750072771,0.6720929511659574,False,False,False,0.583130206665313,0.6696270527209633
0.5,0.2,0.3,0.5836593650240492,0.6685573448438019,0.5828628386932816,0.6680364771803,0.6722288750072771,0.6720929511659574,False,False,False,0.5832611018586654,0.6682969110120509
0.8,0.0,0.2,0.584190447763591,0.6674103058233619,0.5831180995339768,0.6663551948084093,0.6722288750072771,0.6720929511659574,False,False,False,0.5836542736487839,0.6668827503158856
0.7,0.1,0.2,0.584818780491804,0.667374190045307,0.5838509654281013,0.6665637439834351,0.6722288750072771,0.6720929511659574,False,False,False,0.5843348729599527,0.666968967014371
0.2,0.4,0.4,0.5846382420018806,0.6687830239087668,0.5841409112846931,0.6688357432198898,0.6722288750072771,0.6720929511659574,False,False,False,0.584389576643287,0.6688093835643283
0.4,0.3,0.3,0.58485661792968,0.6682278953011547,0.5841461152723457,0.6679559466702889,0.6722288750072771,0.6720929511659574,False,False,False,0.5845013666010128,0.6680919209857218
0.0,0.5,0.5,0.5850291038648441,0.668865242714124,0.5846334087747684,0.6692808221944063,0.6722288750072771,0.6720929511659574,False,False,False,0.5848312563198063,0.6690730324542651
0.6,0.2,0.2,0.585751417496211,0.6672216937471088,0.5848118561594514,0.6666555916887892,0.6722288750072771,0.6720929511659574,False,False,False,0.5852816368278312,0.666938642717949
0.3,0.4,0.3,0.5862546704668593,0.6677860168834687,0.5856833234726836,0.6677653092236561,0.6722288750072771,0.6720929511659574,False,False,False,0.5859689969697714,0.6677756630535624
0.1,0.5,0.4,0.5862299992856417,0.6681640621386727,0.585890902028543,0.6684770201738167,0.6722288750072771,0.6720929511659574,False,False,False,0.5860604506570923,0.6683205411562447
0.9,0.0,0.1,0.5868059704305378,0.6657664362027241,0.5854824399637908,0.664686531253191,0.6722288750072771,0.6720929511659574,False,False,False,0.5861442051971644,0.6652264837279576
0.5,0.3,0.2,0.5868529467341992,0.6669556864887494,0.586055605088671,0.6666346959390429,0.6722288750072771,0.6720929511659574,False,False,False,0.5864542759114351,0.6667951912138961
0.8,0.1,0.1,0.587559380836703,0.6657880109766938,0.5862415355131922,0.6649508138219473,0.6722288750072771,0.6720929511659574,False,False,False,0.5869004581749476,0.6653694123993206
0.2,0.5,0.3,0.5878122084948061,0.6672349599113211,0.5874365659872292,0.6674687569823384,0.6722288750072771,0.6720929511659574,False,False,False,0.5876243872410176,0.6673518584468298
0.7,0.2,0.1,0.5884361635893584,0.6656955338402152,0.5872045320417091,0.6651002099338242,0.6722288750072771,0.6720929511659574,False,False,False,0.5878203478155337,0.6653978718870197
0.4,0.4,0.2,0.5881760104549127,0.6665791421178906,0.5875556211278151,0.6665050448131669,0.6722288750072771,0.6720929511659574,False,False,False,0.5878658157913639,0.6665420934655287
0.0,0.6,0.4,0.5880091181536625,0.6674378239171314,0.5878448641821469,0.6680156760738625,0.6722288750072771,0.6720929511659574,False,False,False,0.5879269911679047,0.6677267499954969
0.6,0.3,0.1,0.5894874169644746,0.6654916947693946,0.5884001084609964,0.665138482133871,0.6722288750072771,0.6720929511659574,False,False,False,0.5889437627127355,0.6653150884516328
1.0,0.0,0.0,0.5898934507967679,0.6639517968975472,0.5881461019885882,0.6628594608269816,0.6722288750072771,0.6720929511659574,False,False,False,0.5890197763926781,0.6634056288622644
0.1,0.6,0.3,0.5895236086919085,0.6665780517574289,0.5893852560172114,0.6670704781279723,0.6722288750072771,0.6720929511659574,False,False,False,0.5894544323545599,0.6668242649427005
0.3,0.5,0.2,0.5896451022148459,0.6660951259857503,0.5892796018831568,0.6662706422785476,0.6722288750072771,0.6720929511659574,False,False,False,0.5894623520490013,0.6661828841321489
