w2026,w2027,w2028,clean_valid_accuracy,clean_valid_macro_f1,q2c2_accuracy,q2c2_macro_f1,q2c2_worst_accuracy,primary_macro_f1_score,mean_accuracy,mean_entropy
0.3,0.3,0.4,0.6277472527472527,0.6166842021361391,0.6225579975579976,0.6118215132954551,0.6112637362637363,0.6142528577157971,0.6251526251526252,0.7154190864673489
0.2,0.2,0.6,0.6277472527472527,0.6166009377889353,0.6221611721611722,0.6118197517175435,0.6085164835164835,0.6142103447532394,0.6249542124542125,0.7365358203400825
0.6,0.2,0.2,0.625,0.6144857259696399,0.6243589743589744,0.6138394927555558,0.6112637362637363,0.6141626093625978,0.6246794871794872,0.6898952932966168
0.4,0.4,0.2,0.6263736263736264,0.6156270899605149,0.6231684981684982,0.6122327434419205,0.6126373626373627,0.6139299167012177,0.6247710622710623,0.69182800910675
0.7,0.1,0.2,0.625,0.6141839688930909,0.623962148962149,0.613585500634834,0.6098901098901099,0.6138847347639624,0.6244810744810745,0.6886735238863911
0.5,0.2,0.3,0.625,0.613925513847494,0.623992673992674,0.61357306923829,0.6098901098901099,0.613749291542892,0.624496336996337,0.7025407003871285
0.1,0.6,0.3,0.6263736263736264,0.6154227488331182,0.6232905982905983,0.6120697574575347,0.6181318681318682,0.6137462531453264,0.6248321123321123,0.705462116028565
0.1,0.5,0.4,0.6277472527472527,0.6159417990337795,0.6226495726495727,0.6114828440824026,0.6153846153846154,0.6137123215580911,0.6251984126984127,0.7167432829893783
1.0,0.0,0.0,0.6291208791208791,0.6169033433621594,0.6211843711843712,0.6104390879099378,0.6071428571428571,0.6136712156360487,0.6251526251526252,0.6594679119915732
0.4,0.3,0.3,0.625,0.6143206841598844,0.6235347985347985,0.6128317496742225,0.6085164835164835,0.6135762169170534,0.6242673992673993,0.7035198294330509
0.3,0.1,0.6,0.6277472527472527,0.6162861841494106,0.6208180708180708,0.6107135575908119,0.6043956043956044,0.6134998708701113,0.6242826617826618,0.7355997243509207
0.0,0.6,0.4,0.6263736263736264,0.6151909401076993,0.6229242979242979,0.6116416701231796,0.6153846153846154,0.6134163051154394,0.6246489621489622,0.717160506670895
0.5,0.5,0.0,0.6236263736263736,0.6128295758440823,0.6246642246642247,0.6137814014023077,0.6153846153846154,0.613305488623195,0.6241452991452991,0.6654877270432811
0.2,0.6,0.2,0.625,0.6139700812703761,0.6237484737484738,0.6125940335014318,0.6167582417582418,0.6132820573859039,0.6243742368742369,0.69309132154271
0.2,0.3,0.5,0.6263736263736264,0.6147292173235569,0.6224664224664225,0.6117163986556222,0.6112637362637363,0.6132228079895896,0.6244200244200244,0.7266738550175447
0.6,0.0,0.4,0.625,0.614376286324377,0.6220695970695971,0.6120447181401149,0.6043956043956044,0.6132105022322459,0.6235347985347985,0.7121892025489416
0.2,0.4,0.4,0.6263736263736264,0.6148577881936711,0.6222832722832723,0.6112489250840015,0.6126373626373627,0.6130533566388363,0.6243284493284493,0.7161630832730348
0.8,0.0,0.2,0.625,0.6138170074427042,0.6224969474969475,0.6121303394402996,0.6071428571428571,0.6129736734415019,0.6237484737484738,0.6872779528432522
0.1,0.3,0.6,0.6263736263736264,0.6146389630790265,0.6216727716727717,0.6110421771705957,0.6071428571428571,0.6128405701248112,0.624023199023199,0.7373076686510454
0.5,0.0,0.5,0.625,0.6136831773795592,0.6217338217338217,0.6117430840353691,0.6002747252747253,0.6127131307074642,0.6233669108669109,0.7236554370450076
0.1,0.4,0.5,0.6263736263736264,0.6146164183088351,0.6216117216117216,0.6106424935070707,0.6112637362637363,0.6126294559079528,0.623992673992674,0.727350172335831
0.3,0.5,0.2,0.6236263736263736,0.6127385278826434,0.6235347985347985,0.6124725420468478,0.6153846153846154,0.6126055349647456,0.6235805860805861,0.692542716629884
0.2,0.5,0.3,0.625,0.6138432865131739,0.6224358974358974,0.6112880103776956,0.6126373626373627,0.6125656484454347,0.6237179487179487,0.7049793394681735
0.4,0.0,0.6,0.6263736263736264,0.6150693658318312,0.6196886446886447,0.6098090808690334,0.603021978021978,0.6124392233504323,0.6230311355311355,0.7344974474549841
0.3,0.4,0.3,0.6236263736263736,0.6126230392826758,0.6226800976800977,0.6116624124823802,0.6126373626373627,0.612142725882528,0.6231532356532357,0.7043322342060607
0.0,0.4,0.6,0.6263736263736264,0.6144128388759176,0.6204822954822955,0.6096846410633573,0.6098901098901099,0.6120487399696375,0.6234279609279609,0.7379166747640639
0.9,0.0,0.1,0.625,0.612499452791241,0.621978021978022,0.6114747605558173,0.6071428571428571,0.6119871066735292,0.623489010989011,0.67376065785195
0.2,0.1,0.7,0.6263736263736264,0.6152004078193346,0.6183760683760684,0.6086739434712757,0.603021978021978,0.6119371756453051,0.6223748473748474,0.7457675136983819
0.1,0.0,0.9,0.6263736263736264,0.6156465137600963,0.6163003663003663,0.6075258313756137,0.6016483516483516,0.611586172567855,0.6213369963369964,0.763452728736939
0.0,0.5,0.5,0.6236263736263736,0.6118153806457541,0.6222832722832723,0.6111467777674503,0.6126373626373627,0.6114810792066022,0.622954822954823,0.7278638170441069
0.3,0.0,0.7,0.625,0.6139818182516247,0.6181929181929182,0.608659510578662,0.6043956043956044,0.6113206644151433,0.6215964590964591,0.7447348092505124
0.1,0.2,0.7,0.6236263736263736,0.6123434355216352,0.6195970695970696,0.6095701959431895,0.6071428571428571,0.6109568157324123,0.6216117216117216,0.7466349676963824
0.0,0.3,0.7,0.625,0.6130960362862714,0.6192002442002442,0.6088136591442829,0.603021978021978,0.6109548477152771,0.6221001221001221,0.7473389296235279
0.0,0.1,0.9,0.6222527472527473,0.611508102412548,0.6165750915750916,0.6074404187979748,0.603021978021978,0.6094742606052614,0.6194139194139194,0.7643478988336454
0.1,0.1,0.8,0.6236263736263736,0.6118942303975838,0.6155067155067155,0.6060370118689519,0.6043956043956044,0.6089656211332679,0.6195665445665446,0.7553465455964566
0.0,0.2,0.8,0.6222527472527473,0.6109036235650785,0.6162087912087912,0.6064428163977831,0.603021978021978,0.6086732199814309,0.6192307692307693,0.7561456815473904
0.2,0.0,0.8,0.6208791208791209,0.6094334755440868,0.6165445665445666,0.6073029474801032,0.603021978021978,0.608368211512095,0.6187118437118437,0.7543827513516469
0.0,0.0,1.0,0.6195054945054945,0.6098124098124097,0.6140720390720391,0.6060549376771093,0.603021978021978,0.6079336737447595,0.6167887667887668,0.771952735583562
