modality,window_size,start_unit,end_unit,positions,sample_index,sample_id,baseline,class_probability,hybrid_final_intensity,classification_probability_drop,regression_absolute_delta,positive_classification_drop,combined_raw_score,combined_score
A,4,17,20,18|19|20|21,1,01,missing,0.551807701587677,0.08935420552045109,0.017188549041748047,0.03105436804145574,0.017188549041748047,0.022364277048657337,0.09017695282552862
A,4,18,21,19|20|21|22,1,01,missing,0.5549185276031494,0.08594465962201359,0.014077723026275635,0.027644822143018236,0.014077723026275635,0.01868519338344534,0.07534219857001767
A,1,0,0,1,2,02,missing,0.39382699131965637,-0.1828430458217859,0.0005660057067871094,0.0016607895493507274,0.0005660057067871094,0.0008428039650122305,0.003223984183529979
A,1,1,1,2,2,02,missing,0.390587717294693,-0.18599962004125117,0.0038052797317504883,0.004817363768816002,0.0038052797317504883,0.004608173693219822,0.017627680597924144
A,1,2,2,3,2,02,missing,0.39162155985832214,-0.18536169963181018,0.002771437168121338,0.004179443359375007,0.002771437168121338,0.003468011061350506,0.013266208126985726
A,1,3,3,4,2,02,missing,0.3947552740573883,-0.17554000236690043,-0.0003622770309448242,0.005642253905534744,0.0,0.0009403756509224573,0.0035972258686594043
A,1,4,4,5,2,02,missing,0.39305800199508667,-0.1768928409874439,0.0013349950313568115,0.0042894152849912714,0.0013349950313568115,0.0020498975788553566,0.007841488230291087
A,1,5,5,6,2,02,missing,0.3924517333507538,-0.1774647594451904,0.0019412636756896973,0.0037174968272447595,0.0019412636756896973,0.0025608464802304907,0.009796024807016312
A,1,6,6,7,2,02,missing,0.393996924161911,-0.1778057113498449,0.0003960728645324707,0.0033765449225902633,0.0003960728645324707,0.000958830351630848,0.0036678207705174745
A,1,7,7,8,2,02,missing,0.39449626207351685,-0.1762549071520567,-0.00010326504707336426,0.0049273491203784825,0.0,0.0008212248533964137,0.003141437449731673
A,1,8,8,9,2,02,missing,0.39462581276893616,-0.1774757552951574,-0.00023281574249267578,0.00370650097727776,0.0,0.0006177501628796267,0.002363084225010834
A,1,9,9,10,2,02,missing,0.39536604285240173,-0.17707981071472167,-0.000973045825958252,0.004102445557713497,0.0,0.0006837409262855828,0.0026155191758558786
A,1,10,10,11,2,02,missing,0.39357757568359375,-0.17607894670069216,0.0008154213428497314,0.005103309571743014,0.0008154213428497314,0.0016659729381402338,0.006372858488717644
