modality,window_size,start_unit,end_unit,positions,sample_index,sample_id,baseline,class_probability,hybrid_final_intensity,classification_probability_drop,regression_absolute_delta,positive_classification_drop,combined_raw_score,combined_score
T,1,4,4,5,18,18,missing,0.5418205857276917,-0.37035704753398896,0.019432663917541504,0.03853888329863547,0.019432663917541504,0.02585581113398075,0.005777279766709362
T,1,5,5,6,18,18,missing,0.5565736889839172,-0.4065642467498779,0.004679560661315918,0.0023316840827465324,0.004679560661315918,0.005068174675107007,0.0011324441864507281
T,1,6,6,7,18,18,missing,0.576054036617279,-0.42607563737630844,-0.014800786972045898,0.017179706543684004,0.0,0.002863284423947334,0.000639778620097702
T,1,7,7,8,18,18,missing,0.5833715200424194,-0.40071303141713144,-0.02211827039718628,0.008182899415492995,0.0,0.0013638165692488324,0.00030473419805689876
T,1,8,8,9,18,18,missing,0.5886945128440857,-0.40733411735892294,-0.02744126319885254,0.00156181347370149,0.0,0.000260302245616915,5.816251089702648e-05
T,1,9,9,10,18,18,missing,0.5880023241043091,-0.4154950519263744,-0.026749074459075928,0.006599121093749993,0.0,0.0010998535156249989,0.00024575370810214385
T,1,10,10,11,18,18,missing,0.5637475252151489,-0.3955436930418014,-0.0024942755699157715,0.013352237790823007,0.0,0.002225372965137168,0.000497242269377978
T,1,11,11,12,18,18,missing,0.550469696521759,-0.3667715411841869,0.010783553123474121,0.04212438964843751,0.010783553123474121,0.01780428473154704,0.003978228855683275
T,1,12,12,13,18,18,missing,0.5528414845466614,-0.37730814323425294,0.008411765098571777,0.0315877875983715,0.008411765098571777,0.013676396364967026,0.00305588432679183
T,1,13,13,14,18,18,missing,0.5797891616821289,-0.43511642790436744,-0.018535912036895752,0.02622049707174301,0.0,0.004370082845290502,0.0009764610002027598
T,1,14,14,15,18,18,missing,0.5559868216514587,-0.3949277911841869,0.005266427993774414,0.013968139648437516,0.005266427993774414,0.0075944512685139996,0.0016969210296861866
T,1,15,15,16,18,18,missing,0.5720036029815674,-0.40698216960430145,-0.010750353336334229,0.0019137612283229855,0.0,0.0003189602047204976,7.126917533426081e-05
T,1,16,16,17,18,18,missing,0.569409191608429,-0.3846551700890064,-0.0081559419631958,0.02424076074361803,0.0,0.004040126790603005,0.0009027348877721173
T,1,17,17,18,18,18,missing,0.5657488107681274,-0.4127674098372459,-0.004495561122894287,0.003871479004621481,0.0,0.0006452465007702468,0.00014417530875837729
T,1,18,18,19,18,18,missing,0.6305299401283264,-0.49530040690898897,-0.06927669048309326,0.08640447607636453,0.0,0.014400746012727422,0.003217734618099435
T,1,19,19,20|21|22,18,18,missing,0.5804926156997681,-0.4290892521202564,-0.019239366054534912,0.02019332128763196,0.0,0.00336555354793866,0.0007520067467823191
T,1,20,20,23|24|25,18,18,missing,0.5332301259040833,-0.3462042804419994,0.028023123741149902,0.06269165039062502,0.028023123741149902,0.038471732139587406,0.008596209127943195
T,1,21,21,26,18,18,missing,0.5669288039207458,-0.4031547008514404,-0.005675554275512695,0.005741229981184037,0.0,0.0009568716635306729,0.0002138055260539869
T,1,22,22,27,18,18,missing,0.5792158842086792,-0.4354903942108154,-0.017962634563446045,0.02659446337819099,0.0,0.004432410563031832,0.00099038764364652
T,1,23,23,28,18,18,missing,0.5875871181488037,-0.41635294303894044,-0.026333868503570557,0.007457012206316005,0.0,0.0012428353677193342,0.00027770189015030285
T,1,24,24,29,18,18,missing,0.3834763765335083,-0.17169052848815916,0.17777687311172485,0.23720540234446527,0.17777687311172485,0.2173111068358024,0.04855647552877242
T,1,25,25,30,18,18,missing,0.5551855564117432,-0.3956537052452564,0.00606769323348999,0.01324222558736804,0.00606769323348999,0.008274730831384663,0.0018489242035148116
T,1,26,26,31,18,18,missing,0.5595510005950928,-0.4092918888390064,0.0017022490501403809,0.0003959580063819801,0.0017022490501403809,0.0017682420512040442,0.00039509992442820694
T,1,27,27,32,18,18,missing,0.51995849609375,-0.3300144420623779,0.041294753551483154,0.07888148877024653,0.041294753551483154,0.054441668346524245,0.012164567082210581
T,1,28,28,33,18,18,missing,0.5446902513504028,-0.3728207355201244,0.016562998294830322,0.03607519531250003,0.016562998294830322,0.02257553084691366,0.005044326666402176
T,1,29,29,34,18,18,missing,0.5829485058784485,-0.4234359889388084,-0.021695256233215332,0.014540058106183973,0.0,0.002423343017697329,0.0005414771368568433
T,1,30,30,35,18,18,missing,0.5858003497123718,-0.40678419060111043,-0.024547100067138672,0.0021117402315140033,0.0,0.00035195670525233386,7.864198657220564e-05
T,1,31,31,36,18,18,missing,0.549908459186554,-0.40069101286530495,0.0113447904586792,0.00820491796731948,0.0113447904586792,0.01271227678656578,0.0028404593105692457
T,1,32,32,37,18,18,missing,0.5691797733306885,-0.4203344073951244,-0.007926523685455322,0.011438476562499966,0.0,0.001906412760416661,0.00042597309404371515
T,1,33,33,38,18,18,missing,0.5594527721405029,-0.40258275554180145,0.0018004775047302246,0.006313175290822981,0.0018004775047302246,0.0028526733865340548,0.0006374076663715214
T,1,34,34,39,18,18,missing,0.5531628131866455,-0.3999211422562599,0.008090436458587646,0.008974788576364523,0.008090436458587646,0.009586234554648401,0.0021419695032779155
T,1,35,35,40,18,18,missing,0.5161383748054504,-0.3484039874732494,0.045114874839782715,0.06049194335937502,0.045114874839782715,0.05519686539967855,0.012333309986173586
T,1,36,36,41,18,18,missing,0.5579894185066223,-0.4014609103262424,0.00326383113861084,0.007435020506382006,0.00326383113861084,0.004503001223007841,0.00100616057722361
T,1,37,37,42,18,18,missing,0.5717628002166748,-0.4239859156966209,-0.01050955057144165,0.015089984863996486,0.0,0.0025149974773327477,0.0005619566125320225
T,1,38,38,43,18,18,missing,0.6043460965156555,-0.46096298552155496,-0.04309284687042236,0.052067054688930525,0.0,0.008677842448155088,0.001938996356936158
T,1,39,39,44,18,18,missing,0.5965730547904968,-0.4649444498777389,-0.03531980514526367,0.05604851904511449,0.0,0.009341419840852414,0.00208726756082957
T,1,40,40,45,18,18,missing,0.6581361293792725,-0.524820464527607,-0.0968828797340393,0.11592453369498257,0.0,0.019320755615830427,0.0043170724723532675
T,1,41,41,46|47|48,18,18,missing,0.6204371452331543,-0.45293405485749244,-0.05918389558792114,0.04403812402486801,0.0,0.007339687337478001,0.0016399960120785488
T,2,0,1,1|2,18,18,missing,0.5465316772460938,-0.3962255968511105,0.014721572399139404,0.01267033398151396,0.014721572399139404,0.01683329472939173,0.003761268696744132
T,2,1,2,2|3,18,18,missing,0.5465348362922668,-0.3945978351294994,0.014718413352966309,0.014298095703125013,0.014718413352966309,0.017101429303487143,0.0038211812804820598
T,2,2,3,3|4,18,18,missing,0.5620979070663452,-0.4150111271202564,-0.0008446574211120605,0.006115196287631963,0.0,0.001019199381271994,0.0002277321694977452
T,2,3,4,4|5,18,18,missing,0.5495149493217468,-0.3849631344437599,0.011738300323486328,0.02393279638886453,0.011738300323486328,0.015727099721630416,0.003514098031578834
T,2,4,5,5|6,18,18,missing,0.5384814739227295,-0.3721168400108814,0.022771775722503662,0.03677909082174302,0.022771775722503662,0.028901624192794167,0.006457842989679995
T,2,5,6,6|7,18,18,missing,0.5718176364898682,-0.42429385319948193,-0.01056438684463501,0.015397922366857497,0.0,0.0025663203944762494,0.0005734243189306035
T,2,6,7,7|8,18,18,missing,0.5970110893249512,-0.4212583004593849,-0.03575783967971802,0.012362369626760461,0.0,0.0020603949377934103,0.00046037921316265475
T,2,7,8,8|9,18,18,missing,0.6011866331100464,-0.40577233073711394,-0.03993338346481323,0.0031236000955104926,0.0,0.0005206000159184154,0.00011632402181965415
T,2,8,9,9|10,18,18,missing,0.602040708065033,-0.41848664811849595,-0.040787458419799805,0.00959071728587152,0.0,0.0015984528809785865,0.0003571618557802369
T,2,9,10,10|11,18,18,missing,0.5842487215995789,-0.40636626774668694,-0.022995471954345703,0.0025296630859374947,0.0,0.0004216105143229158,9.42055881058217e-05
T,2,10,11,11|12,18,18,missing,0.5513033866882324,-0.36098630095124246,0.009949862957000732,0.04790962988138198,0.009949862957000732,0.017934801270564397,0.004007391760539699
T,2,11,12,12|13,18,18,missing,0.5423256754875183,-0.3437846027076244,0.018927574157714844,0.06511132812500003,0.018927574157714844,0.029779462178548183,0.0066539890555398435
T,2,12,13,13|14,18,18,missing,0.5706197619438171,-0.40443051481842995,-0.009366512298583984,0.004465416014194479,0.0,0.0007442360023657465,0.00016629374247220975
T,2,13,14,14|15,18,18,missing,0.5740764141082764,-0.4224021373748779,-0.012823164463043213,0.013506206542253485,0.0,0.002251034423708914,0.0005029761225772675
T,2,14,15,15|16,18,18,missing,0.5677170753479004,-0.4002730631589889,-0.006463825702667236,0.008622867673635515,0.0,0.0014371446122725857,0.0003211187785714417
T,2,15,16,16|17,18,18,missing,0.5771417617797852,-0.39314600700736047,-0.015888512134552002,0.015749923825263967,0.0,0.002624987304210661,0.0005865329833166354
T,2,16,17,17|18,18,18,missing,0.5704026222229004,-0.38826266813874244,-0.009149372577667236,0.020633262693881993,0.0,0.003438877115646999,0.0007683903273224633
T,2,17,18,18|19,18,18,missing,0.6275187730789185,-0.48892125651836393,-0.0662655234336853,0.0800253256857395,0.0,0.013337554280956584,0.002980172700267361
T,2,18,19,19|20|21|22,18,18,missing,0.6301433444023132,-0.506254958665371,-0.06889009475708008,0.09735902783274653,0.0,0.01622650463879109,0.0036256861735387536
T,2,19,20,20|21|22|23|24|25,18,18,missing,0.5538902282714844,-0.3768241915762424,0.007363021373748779,0.032071739256382015,0.007363021373748779,0.012708311249812448,0.0028395732422447813
T,2,20,21,23|24|25|26,18,18,missing,0.537590503692627,-0.34418053386211395,0.0236627459526062,0.06471539697051049,0.0236627459526062,0.03444864544769128,0.007697281717607073
T,2,21,22,26|27,18,18,missing,0.5815779566764832,-0.4264935870826244,-0.02032470703125,0.017597656249999982,0.0,0.0029329427083333304,0.0006553432216057169
T,2,22,23,27|28,18,18,missing,0.5959861278533936,-0.4348964572012424,-0.0347328782081604,0.026000526368617993,0.0,0.004333421061436332,0.0009682692099326878
