modality,window_size,start_unit,end_unit,positions,sample_index,sample_id,baseline,class_probability,hybrid_final_intensity,classification_probability_drop,regression_absolute_delta,positive_classification_drop,combined_raw_score,combined_score
V,3,24,26,25|26|27,14,14,zero,0.6411586403846741,0.19349382624924186,-0.008388757705688477,0.007413015380501736,0.0,0.001235502563416956,0.010242073588202713
V,3,25,27,26|27|28,14,14,zero,0.6410381197929382,0.19406575813293458,-0.008268237113952637,0.006841083496809008,0.0,0.0011401805828015015,0.009451873090895254
V,3,26,28,27|28|29,14,14,zero,0.6413832306861877,0.1935158313751221,-0.008613348007202148,0.007391010254621494,0.0,0.0012318350424369157,0.01021167055960845
V,3,27,29,28|29|30,14,14,zero,0.6424965858459473,0.1928999026656151,-0.00972670316696167,0.00800693896412849,0.0,0.0013344898273547484,0.011062658564361574
V,3,28,30,29|30|31,14,14,zero,0.6433566212654114,0.1922619822561741,-0.010586738586425781,0.008644859373569486,0.0,0.0014408098955949143,0.01194403104796606
V,3,29,31,30|31|32,14,14,zero,0.6441050171852112,0.1928669151157141,-0.011335134506225586,0.008039926514029488,0.0,0.001339987752338248,0.011108235282638618
V,3,30,32,31|32|33,14,14,zero,0.6440621614456177,0.19336184919774535,-0.01129227876663208,0.007544992431998243,0.0,0.0012574987386663738,0.01042441756079673
V,3,31,33,32|33|34,14,14,zero,0.6441813707351685,0.1928779109656811,-0.011411488056182861,0.008028930664062489,0.0,0.0013381551106770816,0.011093043043212937
V,3,32,34,33|34|35,14,14,zero,0.6443004608154297,0.1932298587203026,-0.011530578136444092,0.007676982909440994,0.0,0.0012794971515734989,0.010606780083133647
V,4,0,3,1|2|3|4,14,14,zero,0.6428766250610352,0.20174272761642936,-0.01010674238204956,0.0008358859866857693,0.0,0.0001393143311142949,0.0011548884424955332
V,4,1,4,2|3|4|5,14,14,zero,0.6422734260559082,0.20407441169917587,-0.009503543376922607,0.003167570069432274,0.0,0.000527928344905379,0.004376422289942412
V,4,2,5,3|4|5|6,14,14,zero,0.641392171382904,0.2055262263953686,-0.008622288703918457,0.004619384765625012,0.0,0.000769897460937502,0.00638229873719103
V,4,3,6,4|5|6|7,14,14,zero,0.6418329477310181,0.20513028181493284,-0.00906306505203247,0.004223440185189248,0.0,0.0007039066975315413,0.005835248269666077
V,4,4,7,5|6|7|8,14,14,zero,0.6429462432861328,0.20359048689305784,-0.010176360607147217,0.002683645263314244,0.0,0.000447274210552374,0.003707815357269067
V,4,5,8,6|7|8|9,14,14,zero,0.6439885497093201,0.20282058943212036,-0.011218667030334473,0.0019137478023767696,0.0,0.00031895796706279494,0.0026440989010706
V,4,6,9,7|8|9|10,14,14,zero,0.6447030305862427,0.2027765926063061,-0.01193314790725708,0.0018697509765625009,0.0,0.0003116251627604168,0.002583311393624935
V,4,7,10,8|9|10|11,14,14,zero,0.6447807550430298,0.2003349231719971,-0.01201087236404419,0.0005719184577464842,0.0,9.531974295774737e-05,0.0007901819475645594
V,4,8,11,9|10|11|12,14,14,zero,0.644135594367981,0.19811321101486684,-0.011365711688995361,0.002793630614876752,0.0,0.0004656051024794587,0.0038597748510117214
V,4,9,12,10|11|12|13,14,14,zero,0.6434895992279053,0.1965074275672436,-0.010719716548919678,0.0043994140624999956,0.0,0.0007332356770833326,0.006078379749705721
V,4,10,13,11|12|13|14,14,14,zero,0.6440401673316956,0.19219600715637208,-0.011270284652709961,0.00871083447337151,0.0,0.0014518057455619182,0.012035184484520189
V,4,11,14,12|13|14|15,14,14,zero,0.6450614333152771,0.19084318196177485,-0.012291550636291504,0.010063659667968738,0.0,0.001677276611328123,0.013904293677451834
V,4,12,15,13|14|15|16,14,14,zero,0.645547091960907,0.18868745833039285,-0.012777209281921387,0.012219383299350739,0.0,0.002036563883225123,0.01688271459460197
V,4,13,16,14|15|16|17,14,14,zero,0.6467101573944092,0.18592682869136337,-0.013940274715423584,0.014980012938380222,0.0,0.00249666882306337,0.020696894177593704
