method,repeat,k_text,k_audio,k_vision,sample_index,sample_id,baseline,class_probability,hybrid_final_intensity,classification_probability_drop,regression_absolute_delta
random,32,11,11,10,3,03,missing,0.4668269157409668,-0.0926715513154864,0.07107186317443848,0.05386394976824521
random,33,11,11,10,3,03,missing,0.43317216634750366,-0.11193548161387441,0.10472661256790161,0.07312788006663322
random,34,11,11,10,3,03,missing,0.4758138060569763,-0.046441960433870534,0.062084972858428955,0.00763435888662934
random,35,11,11,10,3,03,missing,0.49204567074775696,-0.020092735389620045,0.045853108167648315,0.01871486615762115
random,36,11,11,10,3,03,missing,0.43348726630210876,-0.11576297721862791,0.10441151261329651,0.07695537567138672
random,37,11,11,10,3,03,missing,0.5198806524276733,0.03870045320093634,0.018018126487731934,0.07750805474817754
random,38,11,11,10,3,03,missing,0.5607942938804626,0.011945138595625779,-0.022895514965057373,0.05075274014286697
random,39,11,11,10,3,03,missing,0.5855079293251038,0.03849560011327269,-0.047609150409698486,0.07730320166051388
random,40,11,11,10,3,03,missing,0.43940892815589905,-0.11512506352216004,0.09848985075950623,0.07631746197491884
random,41,11,11,10,3,03,missing,0.47363370656967163,-0.06089128263890741,0.06426507234573364,0.022083681091666217
random,42,11,11,10,3,03,missing,0.5567570924758911,0.012592677017301341,-0.01885831356048584,0.05140027856454253
random,43,11,11,10,3,03,missing,0.5496389865875244,0.028870509048551346,-0.01174020767211914,0.06767811059579254
random,44,11,11,10,3,03,missing,0.5503702759742737,0.011110623733699344,-0.012471497058868408,0.04991822528094054
random,45,11,11,10,3,03,missing,0.4466637969017029,-0.07941006620824335,0.09123498201370239,0.04060246466100216
random,46,11,11,10,3,03,missing,0.48164424300193787,-0.030623315902799347,0.05625453591346741,0.008184285644441847
random,47,11,11,10,3,03,missing,0.581809401512146,0.06457999836802485,-0.04391062259674072,0.10338759991526604
random,48,11,11,10,3,03,missing,0.4479525685310364,-0.08693031462132929,0.0899462103843689,0.048122713074088094
random,49,11,11,10,3,03,missing,0.5099121332168579,-0.04825671873465178,0.027986645698547363,0.009449117187410587
random,50,11,11,10,3,03,missing,0.4495190382003784,-0.08069964848309753,0.08837974071502686,0.04189204693585634
top,0,15,10,5,4,04,missing,0.09940095245838165,0.9114122395753861,0.4693334549665451,0.9606863194555044
random,1,15,10,5,4,04,missing,0.4155421853065491,0.3013894695580006,0.15319222211837769,0.35066354943811895
random,2,15,10,5,4,04,missing,0.39630526304244995,0.3095723689734936,0.1724291443824768,0.35884644885361194
random,3,15,10,5,4,04,missing,0.5195438265800476,-0.011898310638405362,0.04919058084487915,0.037375769241712986
random,4,15,10,5,4,04,missing,0.3962184488773346,0.2703296170175076,0.17251595854759216,0.3196036968976259
random,5,15,10,5,4,04,missing,0.34310245513916016,0.3807108997344971,0.2256319522857666,0.42998497961461546
random,6,15,10,5,4,04,missing,0.17078498005867004,0.7361395188808442,0.3979494273662567,0.7854135987609625
random,7,15,10,5,4,04,missing,0.4200859069824219,0.2560534861624241,0.14864850044250488,0.30532756604254246
random,8,15,10,5,4,04,missing,0.42705121636390686,0.1262377837687731,0.1416831910610199,0.17551186364889143
random,9,15,10,5,4,04,missing,0.3382849097251892,0.40072820686697963,0.23044949769973755,0.45000228674709797
random,10,15,10,5,4,04,missing,0.3798072040081024,0.31850317414999013,0.18892720341682434,0.36777725403010847
random,11,15,10,5,4,04,missing,0.25797587633132935,0.5014748157501221,0.3107585310935974,0.5507488956302404
random,12,15,10,5,4,04,missing,0.1441613733768463,0.7668474505186081,0.42457303404808044,0.8161215303987265
random,13,15,10,5,4,04,missing,0.33753708004951477,0.3629812664330006,0.231197327375412,0.41225534631311894
random,14,15,10,5,4,04,missing,0.4628034234046936,0.17849732624888423,0.10593098402023315,0.2277714061290026
random,15,15,10,5,4,04,missing,0.4008547067642212,0.20864981306493285,0.16787970066070557,0.2579238929450512
random,16,15,10,5,4,04,missing,0.3729049861431122,0.2401936038374901,0.19582942128181458,0.28946768371760845
