scenario_id,scenario,modality_combination,missing_rate_percent,position,seed_2026_raw_accuracy,seed_2026_raw_macro_f1,seed_2026_raw_weighted_f1,seed_2026_raw_mae,seed_2026_raw_pearson,seed_2027_raw_accuracy,seed_2027_raw_macro_f1,seed_2027_raw_weighted_f1,seed_2027_raw_mae,seed_2027_raw_pearson,seed_2028_raw_accuracy,seed_2028_raw_macro_f1,seed_2028_raw_weighted_f1,seed_2028_raw_mae,seed_2028_raw_pearson,ensemble_raw_accuracy,ensemble_raw_macro_f1,ensemble_raw_weighted_f1,ensemble_raw_mae,ensemble_raw_pearson,ensemble_cal_accuracy,seed_2028_cal_accuracy,ensemble_cal_macro_f1,seed_2028_cal_macro_f1,ensemble_cal_weighted_f1,seed_2028_cal_weighted_f1,ensemble_cal_mae,seed_2028_cal_mae,ensemble_cal_pearson,seed_2028_cal_pearson
28,A_50_Head,A,50,Head,0.6181318681318682,0.6101238630650395,0.626548263199847,0.5865351788822438,0.6639662217342136,0.6195054945054945,0.6100253972436306,0.626908652684952,0.6043443760251278,0.6603696783515609,0.6098901098901099,0.6045138861588898,0.6178299369755876,0.5785136988570729,0.6710884068331101,0.6208791208791209,0.6121899710310944,0.6288554662043477,0.583323239700207,0.6681630223245857,0.6208791208791209,0.6098901098901099,0.6121899710310944,0.6045138861588898,0.6288554662043477,0.6178299369755876,0.5733311197497633,0.5785524338212805,0.665774966829742,0.6679704319207516
29,A_50_Middle,A,50,Middle,0.6195054945054945,0.6095896870388794,0.6264595317975986,0.5840212382007759,0.6638041595112912,0.6291208791208791,0.6179550570712897,0.6353073006426344,0.6030394956674222,0.6613584580196926,0.614010989010989,0.6070746306673459,0.6221162068318844,0.5759182024010263,0.6711567348584672,0.6167582417582418,0.6068807256634146,0.6243820206464301,0.5814538809501535,0.6683649758871355,0.6167582417582418,0.614010989010989,0.6068807256634146,0.6070746306673459,0.6243820206464301,0.6221162068318844,0.5718032883978534,0.576772541802745,0.6660747193715872,0.668116932548613
30,A_50_Tail,A,50,Tail,0.6153846153846154,0.6055088315863304,0.623068739263886,0.5854810691837754,0.6631932732901222,0.6263736263736264,0.6138210955049797,0.6318134958624045,0.6036585752985307,0.6619449529657522,0.6167582417582418,0.6082016091688883,0.625104599527075,0.5768786174460099,0.6719912631484082,0.6222527472527473,0.6122511503237411,0.6294127339970358,0.582456070090552,0.6687138933043437,0.6222527472527473,0.6167582417582418,0.6122511503237411,0.6082016091688883,0.6294127339970358,0.625104599527075,0.5715230033853169,0.5765627955284257,0.6666429704582773,0.6692061842124044
31,V_10_Head,V,10,Head,0.6236263736263736,0.6131377525438995,0.6294692381864812,0.5901410565967415,0.6637476143370803,0.6263736263736264,0.6170278630378873,0.6335389096203901,0.6068257064978172,0.660135038834056,0.6181318681318682,0.6088151582577338,0.6254024630255722,0.5753674414008856,0.673182768370093,0.625,0.6143835773980838,0.6320590358561998,0.5850483807547516,0.6685943021621472,0.625,0.6181318681318682,0.6143835773980838,0.6088151582577338,0.6320590358561998,0.6254024630255722,0.5735195875641901,0.5759805534174972,0.6663702170414978,0.6702570657679023
32,V_10_Middle,V,10,Middle,0.6277472527472527,0.6155758076658461,0.6328889048138889,0.5885310364006967,0.6641732737069912,0.625,0.6151354277403333,0.632224615483162,0.6044286515891224,0.6610748446958475,0.6195054945054945,0.6097079306144982,0.6267004243798057,0.5745376263550677,0.6734929416299379,0.6263736263736264,0.6145068903170913,0.6328526298442885,0.5834608160355043,0.6691042285023466,0.6263736263736264,0.6195054945054945,0.6145068903170913,0.6097079306144982,0.6328526298442885,0.6267004243798057,0.5726647912005967,0.5752100739005012,0.6669438398656456,0.6706388477188205
33,V_10_Tail,V,10,Tail,0.6291208791208791,0.6163479937073126,0.6334504596062926,0.5919435105521927,0.662762897979209,0.6304945054945055,0.6195836479061281,0.6373077710333089,0.6084284031825079,0.6592998786656616,0.6153846153846154,0.6055350027541674,0.6224901913009704,0.5787117355349627,0.6709463676459073,0.6263736263736264,0.6142271381882677,0.63268957033555,0.5874001404727663,0.6672527304003117,0.6263736263736264,0.6153846153846154,0.6142271381882677,0.6055350027541674,0.63268957033555,0.6224901913009704,0.5749673885523235,0.5782197542486119,0.665069340911497,0.6680889354083637
34,V_20_Head,V,20,Head,0.6263736263736264,0.6157936507936507,0.6321435112506542,0.5893000262165136,0.6633859035519111,0.6277472527472527,0.618258074004406,0.6349746198646009,0.6055078927509405,0.6607509794201263,0.6195054945054945,0.6107418686912175,0.6270955304282412,0.5753769913258461,0.672668846791175,0.6222527472527473,0.611781590877284,0.6289389430666361,0.584383061919839,0.6684508385785978,0.6222527472527473,0.6195054945054945,0.611781590877284,0.6107418686912175,0.6289389430666361,0.6270955304282412,0.5734557763699156,0.5762755934226808,0.6661859914222735,0.6696907659552651
35,V_20_Middle,V,20,Middle,0.6277472527472527,0.6151952216926392,0.6326214428258267,0.5879559843790728,0.6639068299722648,0.6304945054945055,0.619089419031388,0.6373815270329292,0.6045091169589496,0.6616761798862874,0.6195054945054945,0.6105041240642936,0.6269653136877213,0.5735014558534374,0.6742020608269649,0.625,0.6136693435925286,0.6317208964381336,0.5829033934521478,0.6693151173314169,0.625,0.6195054945054945,0.6136693435925286,0.6105041240642936,0.6317208964381336,0.6269653136877213,0.5723927240102883,0.5745042349245031,0.6672022976986086,0.6713879137524468
36,V_20_Tail,V,20,Tail,0.6304945054945055,0.6172891441242043,0.6347487685518879,0.5922573448087161,0.6619304856550213,0.6332417582417582,0.62261343150568,0.6399413292570987,0.6100621178623412,0.6589074463488901,0.6153846153846154,0.6055555555555555,0.6224162742019884,0.5804117749557718,0.669859330216577,0.625,0.613014223964139,0.6312766568874772,0.5885943700747066,0.6664091899208585,0.625,0.6153846153846154,0.613014223964139,0.6055555555555555,0.6312766568874772,0.6224162742019884,0.5757721554448371,0.579722248360924,0.6642915486084505,0.6670655259218378
37,V_30_Head,V,30,Head,0.6195054945054945,0.6089275838831291,0.6251972280669681,0.5888371145209441,0.6626858309474248,0.625,0.6151170149236375,0.632451393066426,0.6054887189683351,0.6610796023970811,0.6167582417582418,0.6087312566441422,0.6244843603641792,0.5753967825241468,0.6721842809264513,0.6222527472527473,0.6119519170813275,0.6289739549570116,0.5843339097300619,0.6680829159211187,0.6222527472527473,0.6167582417582418,0.6119519170813275,0.6087312566441422,0.6289739549570116,0.6244843603641792,0.5733555232902423,0.5765876085280881,0.6657952806251057,0.6691950834817492
38,V_30_Middle,V,30,Middle,0.6222527472527473,0.6092627884453272,0.6272998486360223,0.5874295957836804,0.6634281989796029,0.6291208791208791,0.617015136846763,0.6357740996277079,0.60481634648046,0.6620964563199132,0.614010989010989,0.605642083089626,0.6216735755780001,0.5731487113081819,0.6745234384376532,0.6208791208791209,0.6085375681253001,0.6272174447365483,0.5827339505742648,0.6692985036165457,0.6208791208791209,0.614010989010989,0.6085375681253001,0.605642083089626,0.6272174447365483,0.6216735755780001,0.5725287421600886,0.5740806212881273,0.6672503385403062,0.6717631262431727
39,V_30_Tail,V,30,Tail,0.6277472527472527,0.6137235255220069,0.6316921603833549,0.5929394218006304,0.6608732137379718,0.6318681318681318,0.6209315268823036,0.6383782904676367,0.6119066515507606,0.6585343215123377,0.6126373626373627,0.6033279102870578,0.6199054269389509,0.5816859366515508,0.6695784876435369,0.6208791208791209,0.608057691726024,0.6269984187856225,0.5898209556650656,0.6657606305761906,0.6208791208791209,0.6126373626373627,0.608057691726024,0.6033279102870578,0.6269984187856225,0.6199054269389509,0.5766266971780977,0.5807133853541134,0.6637439817396813,0.6669018219330328
40,V_40_Head,V,40,Head,0.6208791208791209,0.6101756605069636,0.6264134494005319,0.5884871535453495,0.661930656679177,0.6222527472527473,0.6121182826337993,0.6296012495773928,0.6058662258866396,0.6609504684285077,0.6126373626373627,0.6046959298557921,0.6201739553515605,0.5757818521911299,0.6718006313360839,0.6208791208791209,0.6102383810007408,0.6276289105066035,0.5846235728566791,0.6676044604271544,0.6208791208791209,0.6126373626373627,0.6102383810007408,0.6046959298557921,0.6276289105066035,0.6201739553515605,0.573449585516729,0.5768498925341519,0.6653128292799204,0.6687788407091787
