scenario_id,scenario,modality_combination,missing_rate_percent,replicate,mean_actual_missing_rate,mean_effective_gap_count,mean_primitive_gap_count,seed_2026_raw_accuracy,seed_2026_raw_macro_f1,seed_2026_raw_weighted_f1,seed_2026_raw_mae,seed_2026_raw_pearson,seed_2027_raw_accuracy,seed_2027_raw_macro_f1,seed_2027_raw_weighted_f1,seed_2027_raw_mae,seed_2027_raw_pearson,seed_2028_raw_accuracy,seed_2028_raw_macro_f1,seed_2028_raw_weighted_f1,seed_2028_raw_mae,seed_2028_raw_pearson,ensemble_raw_accuracy,ensemble_raw_macro_f1,ensemble_raw_weighted_f1,ensemble_raw_mae,ensemble_raw_pearson,ensemble_cal_accuracy,seed_2028_cal_accuracy,ensemble_cal_macro_f1,seed_2028_cal_macro_f1,ensemble_cal_weighted_f1,seed_2028_cal_weighted_f1,ensemble_cal_mae,seed_2028_cal_mae,ensemble_cal_pearson,seed_2028_cal_pearson
26,V_40_MG2,V,40,2,0.4002302951742184,7.434065934065934,7.446428571428571,0.6236263736263736,0.6111360413139191,0.628863802513655,0.5921684463641473,0.6603013951969272,0.6167582417582418,0.6062950728496432,0.6240158747562894,0.6110635885538963,0.6588073380051742,0.6098901098901099,0.6016989083772556,0.6175712007267076,0.5790017371035212,0.6708777317027255,0.6153846153846154,0.6036522772993402,0.6222592002794207,0.5886235939536667,0.6659300858062939,0.6153846153846154,0.6098901098901099,0.6036522772993402,0.6016989083772556,0.6222592002794207,0.6175712007267076,0.5761956128389353,0.5787087495021603,0.6638346615629054,0.6680752537286836
27,V_40_MG3,V,40,3,0.4002302951742184,7.306318681318682,7.321428571428571,0.6181318681318682,0.6056069530919,0.6237675976309895,0.5880862623657827,0.6635768222370393,0.625,0.6141843195324806,0.6320725059720362,0.6067275180798638,0.6626072665904912,0.6098901098901099,0.6018919747581473,0.6175379150990309,0.5760634728390109,0.6731721622230196,0.6167582417582418,0.6056072021153348,0.6233847678564413,0.5848146678586473,0.6691734965225695,0.6167582417582418,0.6098901098901099,0.6056072021153348,0.6018919747581473,0.6233847678564413,0.6175379150990309,0.5734891154031668,0.5768708988152199,0.6670970826473639,0.6704349669924697
28,V_50_MG1,V,50,1,0.512593395480767,8.787087912087912,9.364010989010989,0.6236263736263736,0.6104985399139925,0.6285293373972193,0.5889844293654948,0.6611912898717979,0.6195054945054945,0.6079952117919051,0.6263326434352591,0.6111364667764404,0.6604155180488616,0.6098901098901099,0.602041806228968,0.6174656377837373,0.5782768820709252,0.6716910071335047,0.6208791208791209,0.6094043351353042,0.6270729582325597,0.5862194615938179,0.6671310973381195,0.6208791208791209,0.6098901098901099,0.6094043351353042,0.602041806228968,0.6270729582325597,0.6174656377837373,0.5743749135456189,0.5782848733508815,0.6651129637156435,0.6689373461798985
29,V_50_MG2,V,50,2,0.512593395480767,8.743131868131869,9.248626373626374,0.6181318681318682,0.6067196876347843,0.6229257553517402,0.589217010946883,0.6614504589922514,0.6208791208791209,0.610243312517914,0.6277965798385936,0.6089005385331072,0.6610261011140134,0.614010989010989,0.6062372004711379,0.6215764717869285,0.5775949665355485,0.6727885335458529,0.6208791208791209,0.6095834899239025,0.6272792802772144,0.5859730115890394,0.6677893355868623,0.6208791208791209,0.614010989010989,0.6095834899239025,0.6062372004711379,0.6272792802772144,0.6215764717869285,0.5743062039289774,0.5776726682465319,0.6657039177213155,0.6700183828976687
30,V_50_MG3,V,50,3,0.512593395480767,8.744505494505495,9.24587912087912,0.6181318681318682,0.6070493357798812,0.6234179977712412,0.5891236252878066,0.6610670856113764,0.625,0.613837776828224,0.6313346657402308,0.6089461318288858,0.6599960363274127,0.6153846153846154,0.60815734414662,0.6228091859549076,0.579064748219245,0.6716439017765946,0.6208791208791209,0.6097027034038806,0.626919921817772,0.5860430811883219,0.6669508983755041,0.6208791208791209,0.6153846153846154,0.6097027034038806,0.60815734414662,0.626919921817772,0.6228091859549076,0.5748504971411257,0.5792860154362989,0.6648719739496393,0.6688692150802032
31,A+V_10_MG1,A+V,10,1,0.10534294452739595,2.0934065934065935,2.0934065934065935,0.6208791208791209,0.6100227351435076,0.6271617142781379,0.5897292147011874,0.6631518894059504,0.6291208791208791,0.6189076421976365,0.6363758774806179,0.6042033372712987,0.660975926503739,0.614010989010989,0.6048499994298164,0.62142366109944,0.576128162382232,0.6716802115542471,0.6263736263736264,0.6154644115143265,0.6331594343476713,0.5844549274365435,0.6681435858698446,0.6263736263736264,0.614010989010989,0.6154644115143265,0.6048499994298164,0.6331594343476713,0.62142366109944,0.5733109845353953,0.5765194232484305,0.6659636891408333,0.6688135824711441
32,A+V_10_MG2,A+V,10,2,0.10534294452739595,2.129120879120879,2.129120879120879,0.6222527472527473,0.6110300197275174,0.6292121747266666,0.5899435770749063,0.663620769559938,0.6263736263736264,0.6162516711979685,0.6335257571306994,0.6047642505471851,0.6612459523412293,0.6181318681318682,0.6092128658843149,0.6254670824889345,0.5758307785982941,0.6723517745095702,0.625,0.6142034245405866,0.6318479121570866,0.5846467408054805,0.6685950374361449,0.625,0.6181318681318682,0.6142034245405866,0.6092128658843149,0.6318479121570866,0.6254670824889345,0.5733352093409761,0.5760665752071438,0.6663668678222281,0.6694422368163232
33,A+V_10_MG3,A+V,10,3,0.10534294452739595,2.10989010989011,2.10989010989011,0.6222527472527473,0.6105403010946389,0.6287417563066003,0.5877629992767022,0.6640092882974081,0.6291208791208791,0.6184492417855735,0.6362386443252194,0.6034838875939885,0.6612041420930762,0.6208791208791209,0.6115531082465699,0.6281945112716472,0.5750869421881961,0.6724992489610075,0.6263736263736264,0.615219293285331,0.633276893125535,0.5834298775678044,0.6687345716494506,0.6263736263736264,0.6208791208791209,0.615219293285331,0.6115531082465699,0.633276893125535,0.6281945112716472,0.5721149516552414,0.575470267220431,0.6665455464595407,0.669610982914271
34,A+V_20_MG1,A+V,20,1,0.20141871735878028,3.868131868131868,3.868131868131868,0.6208791208791209,0.6103119611530866,0.6273897996744224,0.5883875409202589,0.6622319736822928,0.635989010989011,0.6252817422278897,0.6423021294952803,0.604256743278641,0.6605639229938497,0.6153846153846154,0.6074264152418937,0.6232103177915372,0.5746881984133314,0.6726614682079439,0.625,0.6137247516452357,0.631697064763838,0.5833839526529604,0.6678209011685364,0.625,0.6153846153846154,0.6137247516452357,0.6074264152418937,0.631697064763838,0.6232103177915372,0.572866644966515,0.5756012629051949,0.6657854533377956,0.6699389158975547
35,A+V_20_MG2,A+V,20,2,0.20141871735878028,3.868131868131868,3.868131868131868,0.6195054945054945,0.6090260822633816,0.625570188171895,0.5862040762267597,0.6642820296921931,0.6387362637362637,0.6270779397537405,0.6451131179215227,0.6009876526032503,0.66371788109105,0.6126373626373627,0.6049469788126776,0.6200809554552,0.5736391023824831,0.6745304577354115,0.6208791208791209,0.6099520326080109,0.6277926101992236,0.5814844608620737,0.670249543310235,0.6208791208791209,0.6126373626373627,0.6099520326080109,0.6049469788126776,0.6277926101992236,0.6200809554552,0.571208366337686,0.5745699499748075,0.6680090815365604,0.6716037211929416
36,A+V_20_MG3,A+V,20,3,0.20141871735878028,3.9258241758241756,3.9258241758241756,0.625,0.6130734986451394,0.6315224855908069,0.5895976740457527,0.6616663721533425,0.6387362637362637,0.6268174820074991,0.6449635750360976,0.6047520553386145,0.6608438481209922,0.6181318681318682,0.6095012863291587,0.6256518798349778,0.5755237112701922,0.6724563451590388,0.6304945054945055,0.619264415959958,0.6371779696011008,0.5850815614924216,0.667666715820989,0.6304945054945055,0.6181318681318682,0.619264415959958,0.6095012863291587,0.6371779696011008,0.6256518798349778,0.5730127671778257,0.5757734552846997,0.6655465889237583,0.6696092292040177
37,A+V_30_MG1,A+V,30,1,0.30199961759170707,5.5673076923076925,5.5673076923076925,0.6263736263736264,0.6164103323525858,0.6322793532672341,0.5875513737222978,0.6634818409882368,0.6304945054945055,0.6192171537467037,0.6370321840725194,0.6057374299923469,0.6626100132093842,0.614010989010989,0.6061665443564065,0.6219817810430486,0.5738699474873451,0.6738607822268703,0.6277472527472527,0.617828307087206,0.6345245031671597,0.5834150439257914,0.6692054802138662,0.6277472527472527,0.614010989010989,0.617828307087206,0.6061665443564065,0.6345245031671597,0.6219817810430486,0.5724920311210738,0.5749351680849444,0.6671261280862497,0.671120689989327
38,A+V_30_MG2,A+V,30,2,0.30199961759170707,5.583791208791209,5.583791208791209,0.6236263736263736,0.613394757283741,0.6302405087100165,0.5889150300728423,0.6606623181232157,0.6318681318681318,0.6200887514756128,0.6381118146578963,0.6046236723374862,0.6616848515334387,0.6126373626373627,0.6047966011852458,0.6201530934465771,0.5763087412854145,0.6709378508877519,0.625,0.6142592010792339,0.6318461950116429,0.5839442964370325,0.6670309028973734,0.625,0.6126373626373627,0.6142592010792339,0.6047966011852458,0.6318461950116429,0.6201530934465771,0.5734525275683721,0.577422850718947,0.6649540916746595,0.668114431921576
39,A+V_30_MG3,A+V,30,3,0.30199961759170707,5.681318681318682,5.681318681318682,0.6195054945054945,0.6093573006925609,0.6264312898896811,0.5891751585794347,0.6610541838301838,0.6263736263736264,0.6141667356989332,0.6326953546927945,0.605936310305209,0.6614045510810964,0.6112637362637363,0.6041300662659886,0.6194545192082138,0.5753330883293689,0.672546175860675,0.6181318681318682,0.6076760562224929,0.6252308109870043,0.5846495932588975,0.6675279674881465,0.6181318681318682,0.6112637362637363,0.6076760562224929,0.6041300662659886,0.6252308109870043,0.6194545192082138,0.573622243571276,0.5762964435349945,0.6655083786551667,0.6697923209215254
40,A+V_40_MG1,A+V,40,1,0.4002302951742184,7.361263736263736,7.3695054945054945,0.6071428571428571,0.5989406824390257,0.6146128908745637,0.5887542012669555,0.6603347083650798,0.6277472527472527,0.6158336625081408,0.6333198713603085,0.6071211550957881,0.6637654428728357,0.6057692307692307,0.5997880371026151,0.6146674116863965,0.5753298775385042,0.6729736154533674,0.6153846153846154,0.6058639382892629,0.6226013687203271,0.5846048045439488,0.6683024201983669,0.6153846153846154,0.6057692307692307,0.6058639382892629,0.5997880371026151,0.6226013687203271,0.6146674116863965,0.5730369377626658,0.5759720084068704,0.6662150358262869,0.670254545189037
41,A+V_40_MG2,A+V,40,2,0.4002302951742184,7.407967032967033,7.417582417582418,0.6153846153846154,0.607177674029177,0.62198687346181,0.5891178434735144,0.6619929293335393,0.625,0.6131128777317819,0.630572268237269,0.6073285696802886,0.663921591737956,0.6071428571428571,0.6008456005352197,0.6155713073324225,0.5753498987223093,0.6719785030613344,0.6208791208791209,0.6106657822083353,0.6274747824461409,0.5846565708504382,0.6686040213172172,0.6208791208791209,0.6071428571428571,0.6106657822083353,0.6008456005352197,0.6274747824461409,0.6155713073324225,0.5726660897772992,0.575921389784541,0.6665789328007191,0.6692729610157826
