scenario_id,scenario,modality_combination,missing_rate_percent,missing_rate_target,position,accuracy,macro_f1,weighted_f1,mae,pearson,recall_negative,recall_neutral,recall_positive,f1_negative,f1_neutral,f1_positive,mae_negative,mae_neutral,mae_positive
11,T_40_Middle,T,40,0.4,Middle,0.5384615384615384,0.519340837504127,0.5420344580096845,0.6655956332336416,0.5268529171244725,0.4077669902912621,0.5217391304347826,0.6272189349112426,0.49557522123893805,0.43243243243243246,0.6300148588410104,0.9117685124567412,0.29154342789526866,0.7191873275008075
12,T_40_Tail,T,40,0.4,Tail,0.5398351648351648,0.5211741046141639,0.5431225537068589,0.6671965538247765,0.5296074202983552,0.45145631067961167,0.4782608695652174,0.6272189349112426,0.5181058495821727,0.4200477326968974,0.6253687315634219,0.9097941388348931,0.30726299831724685,0.7152813813434198
13,T_50_Head,T,50,0.5,Head,0.40384615384615385,0.3664205263906928,0.38377382488755934,0.726791394270629,0.34676833595842926,0.1262135922330097,0.7228260869565217,0.3994082840236686,0.20717131474103587,0.4208860759493671,0.4712041884816754,1.0556795328349164,0.16749484492870775,0.8308139047282335
14,T_50_Middle,T,50,0.5,Middle,0.5206043956043956,0.5022313556849464,0.5240651478521099,0.6722107361183389,0.515738400571889,0.3737864077669903,0.5380434782608695,0.6005917159763313,0.4666666666666667,0.42950108459869846,0.6105263157894737,0.9253527110858449,0.2727135328333015,0.7354067081927195
15,T_50_Tail,T,50,0.5,Tail,0.5315934065934066,0.512132090611411,0.5351576863811327,0.6721315382683015,0.5195789620687349,0.41262135922330095,0.4945652173913043,0.6242603550295858,0.4956268221574344,0.41743119266055045,0.6233382570162481,0.9217260716826592,0.28849150264716666,0.7288572562296363
16,A_10_Head,A,10,0.1,Head,0.5824175824175825,0.5640277736740873,0.5840575824846689,0.6537788291819967,0.554397536278501,0.5825242718446602,0.45652173913043476,0.650887573964497,0.5985037406483791,0.4397905759162304,0.6537890044576523,0.8703069252513566,0.35521154320272413,0.6843456718740026
17,A_10_Middle,A,10,0.1,Middle,0.5892857142857143,0.572447169303517,0.5911551891191674,0.6526618041609834,0.5577040379792502,0.5922330097087378,0.47282608695652173,0.650887573964497,0.6084788029925187,0.453125,0.6557377049180327,0.8705068239670934,0.3543471600050512,0.6822884918669977
18,A_10_Tail,A,10,0.1,Tail,0.5837912087912088,0.5674300289622707,0.5864398768583123,0.6501208218019251,0.5594516590585119,0.5970873786407767,0.4673913043478261,0.6390532544378699,0.6074074074074074,0.44329896907216493,0.6515837104072398,0.8728981829673341,0.3533611374947688,0.6758949209511633
19,A_20_Head,A,20,0.2,Head,0.5824175824175825,0.5639162705735168,0.5839280445072372,0.6524657764686987,0.5576042277788289,0.5825242718446602,0.45652173913043476,0.650887573964497,0.5970149253731343,0.4409448818897638,0.6537890044576523,0.8611206644513074,0.3521796355995795,0.6887667912482862
20,A_20_Middle,A,20,0.2,Middle,0.5934065934065934,0.57818376918634,0.5960681603997801,0.6499120113593373,0.5629617691553457,0.6067961165048543,0.4891304347826087,0.6420118343195266,0.6142506142506142,0.46272493573264784,0.6575757575757576,0.8626958622588116,0.35147874757809483,0.6826878907985588
