scenario_id,scenario,modality_combination,missing_rate_percent,replicate,mean_actual_missing_rate,mean_effective_gap_count,mean_primitive_gap_count,q2b_raw_accuracy,q2b_raw_macro_f1,q2b_raw_weighted_f1,q2b_raw_mae,q2b_raw_pearson,r2_raw_accuracy,r2_raw_macro_f1,r2_raw_weighted_f1,r2_raw_mae,r2_raw_pearson,q2b_cal_oof_accuracy,q2b_cal_oof_macro_f1,q2b_cal_oof_weighted_f1,q2b_cal_oof_mae,q2b_cal_oof_pearson,r2_cal_oof_accuracy,r2_cal_oof_macro_f1,r2_cal_oof_weighted_f1,r2_cal_oof_mae,r2_cal_oof_pearson
13,A_50_MG1,A,50,1,0.512593395480767,8.767857142857142,9.29532967032967,0.5989010989010989,0.5969377721590111,0.6057366990363198,0.5813797852536152,0.6524883729929243,0.6153846153846154,0.6056607464916639,0.62333021063366,0.5841959268878122,0.6652602218555425,0.5989010989010989,0.5969377721590111,0.6057366990363198,0.5870099903666056,0.6511650610321857,0.6153846153846154,0.6056607464916639,0.62333021063366,0.5699424408277967,0.6635549866201154
14,A_50_MG2,A,50,2,0.512593395480767,8.740384615384615,9.296703296703297,0.6043956043956044,0.6019035269917118,0.61111828809035,0.5825818376922673,0.6515547763351246,0.6181318681318682,0.6083695840635391,0.6260099947153522,0.5838229306820002,0.6646614284359682,0.6043956043956044,0.6019035269917118,0.61111828809035,0.5880748252816252,0.6502604483394396,0.6181318681318682,0.6083695840635391,0.6260099947153522,0.5702847620284819,0.6629094880854032
15,A_50_MG3,A,50,3,0.512593395480767,8.762362637362637,9.271978021978022,0.5934065934065934,0.5914156881030395,0.6008032568265707,0.5822591918551332,0.6527228715049518,0.6181318681318682,0.6086995606198212,0.6262341405655216,0.5844828148505518,0.6644974816614582,0.5934065934065934,0.5914156881030395,0.6008032568265707,0.5872424647922699,0.6514054978105046,0.6181318681318682,0.6086995606198212,0.6262341405655216,0.5710947660599108,0.6627965560386273
16,V_10_MG1,V,10,1,0.10534294452739595,2.14010989010989,2.14010989010989,0.6126373626373627,0.6027392700123132,0.619635933324099,0.5887167871530566,0.6485241196242073,0.6236263736263736,0.611137331062143,0.6283168958383781,0.588576199527789,0.6642163828214667,0.6126373626373627,0.6027392700123132,0.619635933324099,0.5856254193547008,0.6475219967764311,0.6236263736263736,0.611137331062143,0.6283168958383781,0.5741247556273427,0.6625007778427512
17,V_10_MG2,V,10,2,0.10534294452739595,2.1565934065934065,2.1565934065934065,0.614010989010989,0.6036819359017053,0.6212265306098214,0.5891541770076031,0.6487588806821323,0.6304945054945055,0.6181481863604875,0.6354376937637805,0.5898760644985097,0.6633599432763215,0.614010989010989,0.6036819359017053,0.6212265306098214,0.5864200292802775,0.6477584711626275,0.6304945054945055,0.6181481863604875,0.6354376937637805,0.5749281944567031,0.6615933478445664
18,V_10_MG3,V,10,3,0.10534294452739595,2.118131868131868,2.118131868131868,0.6098901098901099,0.5997977814562718,0.616857254146112,0.5897793405699533,0.6482516485960756,0.6291208791208791,0.6161811753980994,0.6340090508882626,0.5891877214864387,0.6640133973653701,0.6098901098901099,0.5997977814562718,0.616857254146112,0.5865667577081329,0.6472728280488284,0.6291208791208791,0.6161811753980994,0.6340090508882626,0.5745428692619879,0.6623235457530827
19,V_20_MG1,V,20,1,0.20141871735878028,3.9038461538461537,3.9038461538461537,0.6195054945054945,0.6097954718237738,0.6269037728029797,0.5884089561813808,0.6506895180887337,0.6263736263736264,0.6146864594488597,0.6316706984096565,0.5893825527771817,0.6627315119203734,0.6195054945054945,0.6097954718237738,0.6269037728029797,0.584884032013734,0.6496950639966297,0.6263736263736264,0.6146864594488597,0.6316706984096565,0.5752192407443628,0.6609921590718155
20,V_20_MG2,V,20,2,0.20141871735878028,3.8873626373626373,3.8873626373626373,0.6167582417582418,0.6071408936974975,0.6242041476303087,0.5890785909493218,0.6504541788094906,0.6222527472527473,0.60893502744137,0.6268626188193339,0.5890809513915044,0.6629903407194394,0.6167582417582418,0.6071408936974975,0.6242041476303087,0.5853829696846532,0.6494614071599862,0.6222527472527473,0.60893502744137,0.6268626188193339,0.5747446850099406,0.6612660574842985
21,V_20_MG3,V,20,3,0.20141871735878028,3.907967032967033,3.907967032967033,0.6126373626373627,0.6029044194288097,0.6205384675518353,0.5885545311106758,0.6510194164603426,0.6318681318681318,0.6200666111629899,0.6370287531629379,0.589516488425843,0.6633512206907527,0.6126373626373627,0.6029044194288097,0.6205384675518353,0.5848720626180152,0.650039860196512,0.6318681318681318,0.6200666111629899,0.6370287531629379,0.5750318018815347,0.6615897768100373
22,V_30_MG1,V,30,1,0.30199961759170707,5.652472527472527,5.652472527472527,0.6236263736263736,0.6123360613260442,0.6312558757584448,0.5880592809478332,0.6527480473222823,0.6263736263736264,0.6144259523991614,0.6318031156703259,0.5888290303953729,0.6627112862334913,0.6236263736263736,0.6123360613260442,0.6312558757584448,0.5839481379612462,0.6518115407009802,0.6263736263736264,0.6144259523991614,0.6318031156703259,0.5745739648261896,0.661030001259971
23,V_30_MG2,V,30,2,0.30199961759170707,5.6291208791208796,5.6291208791208796,0.6208791208791209,0.6101688554661704,0.6284837579105288,0.588746699269165,0.6519792279350186,0.6236263736263736,0.6112584112235679,0.6285072910608003,0.5887186332595545,0.663134406926495,0.6208791208791209,0.6101688554661704,0.6284837579105288,0.5838254286597718,0.6510713014536145,0.6236263736263736,0.6112584112235679,0.6285072910608003,0.5749893659666017,0.6614493153162242
