sample_index,sample_id,baseline,phi_T_cls,phi_T_reg,phi_A_cls,phi_A_reg,phi_V_cls,phi_V_reg,cls_efficiency_residual,reg_efficiency_residual
76,225770$_$6,zero,3.0531005859375,-0.6398406982421875,-0.2713623046875,0.06582336425781249,0.688232421875,-0.288677978515625,0.0,1.1102230246251565e-16
77,236021$_$12,zero,-0.7318267822265625,-0.26920572916666674,0.2628631591796875,0.042220052083333334,1.204071044921875,0.4398763020833334,0.0,0.0
78,236021$_$1,zero,2.5335439046223955,-0.4310994466145833,-0.4917093912760417,0.14930826822916668,0.13309224446614584,-0.2083455403645833,0.0,0.0
79,236021$_$3,zero,5.613321940104166,-1.9944661458333335,0.08939615885416667,-0.045247395833333315,0.4266764322916667,-0.14388020833333331,0.0,4.440892098500626e-16
80,236021$_$2,zero,2.9786173502604165,-0.7364990234375,-0.4068806966145833,0.0968505859375,0.9477945963541667,-0.3361328125,0.0,0.0
81,236021$_$5,zero,2.3905029296875,-0.5638570149739583,-0.033935546875,-0.006877644856770828,1.0904541015625,-0.4749684651692708,0.0,2.220446049250313e-16
82,236021$_$4,zero,5.528401692708333,-1.9569661458333334,-0.5953776041666667,0.18287760416666665,0.3799641927083333,-0.12122395833333333,8.881784197001252e-16,0.0
83,237009$_$11,zero,3.827738444010417,-1.2356563568115235,0.13260904947916666,-0.04039268493652349,0.6431681315104167,-0.4680915832519531,0.0,0.0
84,237009$_$12,zero,5.494547526041667,-2.0059570312500004,0.04081217447916667,0.005859374999999963,0.7551676432291666,-0.43271484375,8.881784197001252e-16,0.0
85,237009$_$4,zero,1.0074055989583333,0.24453125000000003,0.2740681966145833,0.028906249999999984,-0.19431559244791669,-0.11484375,2.220446049250313e-16,2.7755575615628914e-17
86,237009$_$7,zero,5.6396484375,-2.0760091145833335,-0.2330322265625,0.05406901041666669,0.5772705078125,-0.25852864583333335,0.0,4.440892098500626e-16
87,237009$_$9,zero,4.6300048828125,-1.7808756510416666,-0.06787109375,0.13162434895833336,0.7469482421875,-0.3280924479166667,0.0,2.220446049250313e-16
88,241629$_$10,zero,6.280843098958334,-2.1939453125,0.07967122395833333,-0.05722656250000006,0.10677083333333334,-0.055078124999999964,0.0,4.440892098500626e-16
89,241629$_$0,zero,1.839777628580729,0.5285807291666668,0.09289042154947916,-0.0061848958333333565,0.05597941080729167,-0.09309895833333336,0.0,0.0
90,241629$_$3,zero,2.4287109375,1.1588216145833334,-0.07958984375,-0.05084635416666661,-0.58935546875,-0.41656901041666666,0.0,1.1102230246251565e-16
91,241629$_$5,zero,4.372395833333334,-1.329052734375,0.23750813802083334,-0.11359863281249998,0.4936116536458333,-0.3499267578125,0.0,2.220446049250313e-16
92,241629$_$8,zero,4.4136962890625,-1.41650390625,-0.0035400390625,0.007519531250000044,0.56884765625,-0.27070312500000004,0.0,0.0
93,243646$_$11,zero,4.921549479166667,-1.6447265625000003,0.08390299479166667,-0.04999999999999999,0.05411783854166667,0.028320312499999997,8.881784197001252e-16,2.220446049250313e-16
94,243646$_$12,zero,4.977701822916667,-1.4894531250000003,0.010416666666666668,-0.07148437499999999,-0.15071614583333334,0.24765625000000002,8.881784197001252e-16,0.0
95,243646$_$9,zero,2.6039479573567705,-0.45536295572916663,0.03859456380208333,-0.0004801432291666372,0.13736470540364584,-0.046402994791666666,0.0,0.0
96,243646$_$8,zero,1.7945149739583333,-0.315966796875,0.06953938802083334,-0.04760742187500003,0.28511555989583337,-0.11367187499999999,0.0,0.0
97,247318$_$12,zero,5.041829427083334,-1.6447265625000003,0.06075032552083332,-0.015576171874999982,0.3524983723958333,-0.26352539062499997,0.0,2.220446049250313e-16
98,247318$_$1,zero,0.882080078125,-0.14847005208333333,-0.157470703125,-0.003450520833333323,0.8740234375,-0.24436848958333335,0.0,0.0
99,247318$_$3,zero,3.446004231770833,-1.0808268229166669,0.07600911458333333,-0.07486979166666662,0.36336263020833337,-0.28492838541666665,0.0,0.0
100,247318$_$2,zero,0.40667724609375,0.04295247395833335,-0.11602783203125,-0.027164713541666663,0.84228515625,-0.33649088541666666,0.0,0.0
101,247318$_$5,zero,1.4386800130208335,-0.3354166666666667,0.11781819661458334,0.012923177083333329,0.6357625325520834,-0.34254557291666665,0.0,0.0
102,247318$_$7,zero,5.264322916666666,-1.8907226562500004,0.048746744791666664,-0.013671874999999927,0.3226725260416667,-0.15771484374999997,0.0,4.440892098500626e-16
