sample_index,sample_id,baseline,cls_efficiency_residual,reg_efficiency_residual
260,Arh2TKRi_mg$_$16,zero,5.551115123125783e-17,0.0
261,Arh2TKRi_mg$_$19,zero,5.551115123125783e-17,0.0
262,Arh2TKRi_mg$_$32,zero,0.0,0.0
263,Arh2TKRi_mg$_$28,zero,0.0,0.0
264,Arh2TKRi_mg$_$3,zero,0.0,2.7755575615628914e-17
265,AxNy9TeTLq8$_$0,zero,0.0,1.1102230246251565e-16
266,BSKAHXFYF_I$_$1,zero,4.440892098500626e-16,5.551115123125783e-17
267,BSKAHXFYF_I$_$3,zero,0.0,2.7755575615628914e-17
268,BSKAHXFYF_I$_$7,zero,0.0,0.0
269,BSKAHXFYF_I$_$8,zero,0.0,5.551115123125783e-17
270,Baz0VVQ-E9E$_$10,zero,0.0,0.0
271,Baz0VVQ-E9E$_$1,zero,0.0,1.1102230246251565e-16
272,Baz0VVQ-E9E$_$5,zero,4.440892098500626e-16,0.0
273,Baz0VVQ-E9E$_$7,zero,0.0,0.0
274,CJGuudyvA0Y$_$4,zero,0.0,5.551115123125783e-17
275,CPjbogfLHR4$_$2,zero,2.7755575615628914e-17,0.0
276,CPjbogfLHR4$_$5,zero,5.551115123125783e-17,0.0
277,DdUJojoFU_c$_$11,zero,1.3877787807814457e-16,2.7755575615628914e-17
278,DdUJojoFU_c$_$15,zero,5.551115123125783e-17,0.0
279,DdUJojoFU_c$_$14,zero,0.0,0.0
280,DdUJojoFU_c$_$17,zero,0.0,1.1102230246251565e-16
281,DdUJojoFU_c$_$16,zero,0.0,0.0
282,DdUJojoFU_c$_$2,zero,0.0,0.0
283,DdUJojoFU_c$_$6,zero,0.0,5.551115123125783e-17
284,DdUJojoFU_c$_$8,zero,1.1102230246251565e-16,2.7755575615628914e-17
285,DlbYiwOnTyk$_$1,zero,0.0,1.1102230246251565e-16
286,E8MuzHUhUHk$_$15,zero,0.0,5.551115123125783e-17
287,E8MuzHUhUHk$_$14,zero,0.0,2.7755575615628914e-17
288,E8MuzHUhUHk$_$16,zero,0.0,0.0
289,E8MuzHUhUHk$_$2,zero,0.0,5.551115123125783e-17
290,E8MuzHUhUHk$_$9,zero,2.220446049250313e-16,0.0
291,EEjCkc82oyk$_$7,zero,0.0,2.220446049250313e-16
292,EEjCkc82oyk$_$9,zero,4.440892098500626e-16,0.0
293,EQxkXiWAm08$_$8,zero,0.0,0.0
294,ET1cU5_A2YM$_$1,zero,0.0,0.0
295,ET1cU5_A2YM$_$3,zero,0.0,5.551115123125783e-17
296,ET1cU5_A2YM$_$6,zero,0.0,0.0
297,EmmuWoCUgXs$_$22,zero,0.0,0.0
298,EmmuWoCUgXs$_$7,zero,8.881784197001252e-16,2.220446049250313e-16
299,Es9MkKsMsjU$_$10,zero,2.220446049250313e-16,0.0
300,Es9MkKsMsjU$_$12,zero,0.0,2.220446049250313e-16
301,Es9MkKsMsjU$_$2,zero,0.0,2.220446049250313e-16
302,Es9MkKsMsjU$_$7,zero,8.881784197001252e-16,0.0
303,Ezn3p5FWF_U$_$4,zero,0.0,0.0
304,F1U26PLiXjM$_$1,zero,0.0,2.7755575615628914e-17
305,F6JV-K840EY$_$2,zero,0.0,0.0
306,FB_b1dm0SRY$_$10,zero,0.0,1.1102230246251565e-16
307,FB_b1dm0SRY$_$0,zero,0.0,1.1102230246251565e-16
308,FB_b1dm0SRY$_$6,zero,0.0,5.551115123125783e-17
309,FB_b1dm0SRY$_$9,zero,0.0,2.220446049250313e-16
310,FB_b1dm0SRY$_$8,zero,4.440892098500626e-16,0.0
311,FxxJB8hBpyQ$_$1,zero,4.440892098500626e-16,1.1102230246251565e-16
312,Fy0Uid9afM8$_$0,zero,1.1102230246251565e-16,0.0
313,Fy0Uid9afM8$_$3,zero,0.0,0.0
314,Fy0Uid9afM8$_$5,zero,0.0,0.0
315,Fy0Uid9afM8$_$4,zero,0.0,0.0
316,H1DpVwktfDQ$_$0,zero,0.0,0.0
317,HGicRLwgtkM$_$1,zero,1.3877787807814457e-16,0.0
318,HGicRLwgtkM$_$3,zero,1.1102230246251565e-16,0.0
319,HGicRLwgtkM$_$2,zero,1.6653345369377348e-16,1.1102230246251565e-16
320,HGicRLwgtkM$_$6,zero,0.0,6.938893903907228e-17
321,HmXXW45eZL4$_$1,zero,0.0,0.0
322,HmXXW45eZL4$_$4,zero,8.881784197001252e-16,0.0
323,IM6HW1HwHhM$_$11,zero,4.440892098500626e-16,1.1102230246251565e-16
324,IM6HW1HwHhM$_$15,zero,0.0,0.0
325,IM6HW1HwHhM$_$17,zero,0.0,0.0
326,IUmxJNs2zaY$_$3,zero,0.0,0.0
327,IUmxJNs2zaY$_$2,zero,0.0,1.1102230246251565e-16
328,JAnRCQ9A0vI$_$1,zero,0.0,0.0
329,JAnRCQ9A0vI$_$0,zero,3.3306690738754696e-16,5.551115123125783e-17
330,JAnRCQ9A0vI$_$3,zero,0.0,0.0
331,JAnRCQ9A0vI$_$2,zero,2.220446049250313e-16,0.0
332,JAnRCQ9A0vI$_$5,zero,0.0,0.0
333,JAnRCQ9A0vI$_$4,zero,1.6653345369377348e-16,0.0
334,JAnRCQ9A0vI$_$8,zero,0.0,0.0
335,JOK1SSmPtFw$_$10,zero,0.0,0.0
336,JOK1SSmPtFw$_$13,zero,0.0,0.0
337,JOK1SSmPtFw$_$14,zero,0.0,0.0
338,JOK1SSmPtFw$_$16,zero,0.0,5.551115123125783e-17
339,JOK1SSmPtFw$_$0,zero,0.0,1.1102230246251565e-16
340,JOK1SSmPtFw$_$5,zero,1.1102230246251565e-16,5.551115123125783e-17
341,JOK1SSmPtFw$_$4,zero,0.0,5.551115123125783e-17
342,JOK1SSmPtFw$_$8,zero,1.1102230246251565e-16,0.0
343,JPT38CA3sGI$_$1,zero,0.0,5.551115123125783e-17
344,JPT38CA3sGI$_$0,zero,0.0,2.7755575615628914e-17
345,JPT38CA3sGI$_$5,zero,1.3877787807814457e-17,2.7755575615628914e-17
346,JVpF99zuQhA$_$0,zero,0.0,5.551115123125783e-17
347,JVpF99zuQhA$_$2,zero,0.0,0.0
348,JVpF99zuQhA$_$4,zero,4.440892098500626e-16,0.0
349,K0m1tO3Ybyc$_$15,zero,0.0,1.3877787807814457e-17
350,K0m1tO3Ybyc$_$8,zero,0.0,5.551115123125783e-17
351,K8gp7ncdUl8$_$5,zero,0.0,0.0
352,KDjl2exStlI$_$10,zero,0.0,1.1102230246251565e-16
353,KDjl2exStlI$_$13,zero,0.0,0.0
354,KDjl2exStlI$_$5,zero,4.440892098500626e-16,0.0
355,KDjl2exStlI$_$4,zero,0.0,0.0
356,KkKWFZZmmCM$_$1,zero,0.0,0.0
357,KpMCvUyQCXg$_$1,zero,1.1102230246251565e-16,0.0
358,KpMCvUyQCXg$_$3,zero,0.0,0.0
359,KpMCvUyQCXg$_$5,zero,5.551115123125783e-17,0.0
360,L1eFHRQGFeg$_$2,zero,0.0,5.551115123125783e-17
361,MCsvw5-7lVE$_$1,zero,0.0,0.0
362,MCsvw5-7lVE$_$2,zero,0.0,0.0
363,MCsvw5-7lVE$_$4,zero,0.0,0.0
364,MMpo2bDk-DU$_$10,zero,0.0,1.1102230246251565e-16
365,MMpo2bDk-DU$_$17,zero,0.0,0.0
366,MMpo2bDk-DU$_$16,zero,2.220446049250313e-16,0.0
367,MMpo2bDk-DU$_$19,zero,2.220446049250313e-16,5.551115123125783e-17
368,MjaaudUc5-4$_$1,zero,8.881784197001252e-16,0.0
369,MjaaudUc5-4$_$0,zero,2.220446049250313e-16,0.0
370,MjaaudUc5-4$_$3,zero,0.0,0.0
371,MjaaudUc5-4$_$6,zero,0.0,2.220446049250313e-16
372,MoQmPA7Q07Q$_$1,zero,0.0,0.0
373,MoQmPA7Q07Q$_$2,zero,0.0,0.0
374,N1X63d_jgmw$_$5,zero,4.440892098500626e-16,0.0
375,N5xfBtD6rLY$_$7,zero,0.0,0.0
376,NoZsdSGnNpI$_$7,zero,2.220446049250313e-16,0.0
377,Nrurc5sMUOE$_$5,zero,0.0,0.0
378,Nrurc5sMUOE$_$7,zero,0.0,1.1102230246251565e-16
379,Nrurc5sMUOE$_$8,zero,0.0,0.0
380,NzvNW7vP-Co$_$5,zero,0.0,0.0
381,NzvNW7vP-Co$_$4,zero,2.220446049250313e-16,0.0
382,NzvNW7vP-Co$_$7,zero,1.1102230246251565e-16,0.0
383,OLP0nCKwU6k$_$6,zero,0.0,0.0
384,OrYBtyO0aPI$_$1,zero,0.0,0.0
385,OrYBtyO0aPI$_$4,zero,0.0,0.0
386,PboaYD5hlG8$_$10,zero,5.551115123125783e-17,0.0
387,PboaYD5hlG8$_$3,zero,2.220446049250313e-16,5.551115123125783e-17
388,PboaYD5hlG8$_$2,zero,0.0,4.163336342344337e-17
389,PboaYD5hlG8$_$7,zero,2.220446049250313e-16,1.1102230246251565e-16
390,PboaYD5hlG8$_$9,zero,0.0,1.1102230246251565e-16
391,PboaYD5hlG8$_$8,zero,8.881784197001252e-16,2.220446049250313e-16
392,Pt-D0LUHDSc$_$2,zero,0.0,0.0
393,PwapK9d8IGk$_$4,zero,0.0,0.0
394,PyQrAYl1bFs$_$0,zero,0.0,0.0
395,PyQrAYl1bFs$_$3,zero,0.0,0.0
396,PyQrAYl1bFs$_$4,zero,4.440892098500626e-16,1.1102230246251565e-16
397,Q4WzApjaCNI$_$0,zero,0.0,2.7755575615628914e-17
398,Q7S0tX4FUNA$_$4,zero,0.0,5.551115123125783e-17
399,Q7S0tX4FUNA$_$7,zero,0.0,0.0
400,Q7S0tX4FUNA$_$8,zero,4.440892098500626e-16,1.1102230246251565e-16
401,Qa6Yz62V-Yc$_$0,zero,1.1102230246251565e-16,0.0
402,QjcQx8_PQfw$_$10,zero,0.0,1.1102230246251565e-16
403,QjcQx8_PQfw$_$7,zero,0.0,0.0
404,QpchvHpGFc8$_$3,zero,0.0,5.551115123125783e-17
405,RArhIHk4Qs4$_$13,zero,0.0,0.0
406,RArhIHk4Qs4$_$17,zero,8.881784197001252e-16,0.0
407,RArhIHk4Qs4$_$16,zero,0.0,0.0
408,RArhIHk4Qs4$_$19,zero,4.440892098500626e-16,0.0
409,RArhIHk4Qs4$_$1,zero,0.0,0.0
410,RArhIHk4Qs4$_$2,zero,0.0,2.220446049250313e-16
411,RArhIHk4Qs4$_$7,zero,5.551115123125783e-17,0.0
412,RArhIHk4Qs4$_$6,zero,0.0,0.0
413,RArhIHk4Qs4$_$8,zero,0.0,0.0
414,RArhIHk4Qs4$_$21,zero,0.0,2.7755575615628914e-17
415,ROcTx5VEn7o$_$11,zero,0.0,5.551115123125783e-17
416,ROcTx5VEn7o$_$1,zero,0.0,0.0
417,ROcTx5VEn7o$_$5,zero,0.0,0.0
418,ROcTx5VEn7o$_$9,zero,0.0,0.0
419,RrGpzInAwCg$_$0,zero,2.220446049250313e-16,0.0
420,RzOFxDk26p0$_$1,zero,0.0,1.1102230246251565e-16
421,RzOFxDk26p0$_$0,zero,0.0,5.551115123125783e-17
422,SHa756SwGJQ$_$0,zero,0.0,0.0
423,SHa756SwGJQ$_$2,zero,0.0,2.7755575615628914e-17
424,SHa756SwGJQ$_$4,zero,0.0,0.0
425,SHa756SwGJQ$_$7,zero,1.1102230246251565e-16,1.1102230246251565e-16
426,SHa756SwGJQ$_$6,zero,0.0,0.0
427,TH32jop4FiI$_$15,zero,0.0,1.1102230246251565e-16
428,TH32jop4FiI$_$17,zero,0.0,5.551115123125783e-17
429,TWszOxkOV0w$_$1,zero,0.0,0.0
430,TXCXFYIc3Yo$_$16,zero,0.0,0.0
431,TXCXFYIc3Yo$_$2,zero,1.1102230246251565e-16,2.7755575615628914e-17
432,TXCXFYIc3Yo$_$7,zero,0.0,0.0
433,TXCXFYIc3Yo$_$6,zero,0.0,5.551115123125783e-17
434,TYJzg5IJN8o$_$11,zero,1.1102230246251565e-16,0.0
435,TYJzg5IJN8o$_$10,zero,0.0,0.0
436,TYJzg5IJN8o$_$14,zero,4.440892098500626e-16,5.551115123125783e-17
437,TYJzg5IJN8o$_$0,zero,0.0,0.0
438,TYJzg5IJN8o$_$4,zero,0.0,0.0
439,TYJzg5IJN8o$_$7,zero,0.0,0.0
440,Uc_6d-fkZEc$_$3,zero,0.0,0.0
441,UlTJmndbGHM$_$1,zero,4.440892098500626e-16,0.0
442,UlTJmndbGHM$_$4,zero,0.0,2.220446049250313e-16
443,VbV9S4svrTg$_$13,zero,0.0,1.3877787807814457e-17
444,VbV9S4svrTg$_$3,zero,0.0,0.0
445,VbV9S4svrTg$_$7,zero,0.0,0.0
446,VbV9S4svrTg$_$8,zero,0.0,0.0
447,VinxKpWioTo$_$1,zero,4.440892098500626e-16,0.0
448,VinxKpWioTo$_$0,zero,0.0,0.0
449,VinxKpWioTo$_$3,zero,0.0,1.3877787807814457e-17
450,VinxKpWioTo$_$5,zero,0.0,0.0
451,ViyQVpGW05w$_$1,zero,2.220446049250313e-16,1.1102230246251565e-16
452,ViyQVpGW05w$_$4,zero,0.0,1.1102230246251565e-16
453,ViyQVpGW05w$_$6,zero,4.440892098500626e-16,0.0
454,Vuay0mVKkik$_$3,zero,8.881784197001252e-16,2.220446049250313e-16
455,WmQF5RmbsVQ$_$6,zero,2.220446049250313e-16,1.1102230246251565e-16
456,Wrcf2xtqbkQ$_$9,zero,4.440892098500626e-16,0.0
