scenario_id,scenario,modality_combination,missing_rate_percent,missing_rate_target,position,accuracy,macro_f1,weighted_f1,mae,pearson,recall_negative,recall_neutral,recall_positive,f1_negative,f1_neutral,f1_positive,mae_negative,mae_neutral,mae_positive,composite_score
26,A_40_Middle,A,40,0.4,Middle,0.614010989010989,0.5966718593691827,0.6154024593973458,0.8493194633910617,0.44746637281338036,0.6893203883495146,0.46195652173913043,0.650887573964497,0.662004662004662,0.4521276595744681,0.6758832565284179,0.9313747757702198,0.7714761968540109,0.8416856370381349,0.5937606833491329
27,A_40_Tail,A,40,0.4,Tail,0.6153846153846154,0.5970065771403174,0.6170428261304663,0.841427257704129,0.45723234191118467,0.6601941747572816,0.47282608695652173,0.665680473372781,0.6445497630331753,0.46153846153846156,0.684931506849315,0.933977581488276,0.761239307973048,0.828673459038403,0.5972869454670185
28,A_50_Head,A,50,0.5,Head,0.6071428571428571,0.5916220341935036,0.6100528354751311,0.8628141633490776,0.4462399103253005,0.6844660194174758,0.47282608695652173,0.6331360946745562,0.654292343387471,0.45077720207253885,0.6697965571205008,0.9273712753670887,0.7889652994015942,0.8636704529663162,0.5893500201363255
29,A_50_Middle,A,50,0.5,Middle,0.6112637362637363,0.5939656579590308,0.6129740183986625,0.846527661636963,0.4496529581745076,0.6941747572815534,0.45652173913043476,0.6449704142011834,0.6635730858468677,0.4444444444444444,0.6738794435857806,0.9234469974214591,0.7607012547390617,0.8463698974287016,0.5931766162962384
30,A_50_Tail,A,50,0.5,Tail,0.6167582417582418,0.6005575437873812,0.6187926177700372,0.8374990718848594,0.45709698651351727,0.6699029126213593,0.483695652173913,0.6568047337278107,0.6555819477434679,0.4671916010498688,0.6788990825688074,0.9232957997513049,0.7547594779778434,0.8302504308742179,0.5988116036910467
31,V_10_Head,V,10,0.1,Head,0.6167582417582418,0.5963686675650485,0.6169707862780618,0.8550447873914471,0.44776141287953447,0.6504854368932039,0.45652173913043476,0.6834319526627219,0.6473429951690821,0.45528455284552843,0.6864784546805349,0.9569739153228917,0.8075516456333192,0.8187765558222695,0.5939683482680855
32,V_10_Middle,V,10,0.1,Middle,0.6153846153846154,0.5950483542226794,0.6157024806134599,0.8535436561924743,0.44801479768445585,0.6456310679611651,0.45652173913043476,0.6834319526627219,0.6456310679611651,0.4540540540540541,0.685459940652819,0.9547144830660913,0.8054246073993652,0.8180783148965186,0.5934833038068982
33,V_10_Tail,V,10,0.1,Tail,0.6153846153846154,0.5947449503066938,0.6155715281394495,0.8554960155941465,0.4470417837747066,0.6504854368932039,0.45108695652173914,0.6834319526627219,0.648910411622276,0.44986449864498645,0.685459940652819,0.9569193200361961,0.8067489246959272,0.8202186901805669,0.5930015027336584
34,V_20_Head,V,20,0.2,Head,0.6112637362637363,0.5912713846428305,0.6116032084238482,0.8540049612849623,0.44892142739879304,0.6407766990291263,0.45652173913043476,0.6775147928994083,0.639225181598063,0.4540540540540541,0.6805349182763745,0.9536161758728976,0.8054785079363248,0.8197119352821063,0.5916970569692598
35,V_20_Middle,V,20,0.2,Middle,0.6126373626373627,0.5921701323202261,0.6128914427694916,0.8542330537073233,0.4470615476604564,0.6359223300970874,0.45652173913043476,0.6834319526627219,0.6390243902439025,0.4540540540540541,0.6834319526627219,0.9544025123553369,0.8052374243979221,0.8198552055163144,0.5917811728455677
36,V_20_Tail,V,20,0.2,Tail,0.6098901098901099,0.5906225779569342,0.6106239585195131,0.8563868859168756,0.44412920638901765,0.6407766990291263,0.45652173913043476,0.6745562130177515,0.6439024390243903,0.450402144772118,0.6775631500742942,0.9540527713240929,0.8059851010532483,0.8243003652690077,0.5897948997326091
