sample_index,sample_id,baseline,main_modality,ratio,k,RandomComp_cls_mean,RandomComp_reg_mean,RandomSuff_cls_mean,RandomSuff_reg_mean
6,0y022OlZ3W0$_$8,missing,T,0.1,2,0.020629876562500038,0.018896484374999998,0.16296387031249998,0.039052734374999995
6,0y022OlZ3W0$_$8,missing,T,0.2,3,0.11051024765625002,0.0373046875,0.2169677740625,0.05027832031249999
6,0y022OlZ3W0$_$8,missing,T,0.3,4,0.15498046250000003,0.051943359374999984,0.21746826484374995,0.03903320312499999
7,101787$_$11,missing,T,0.1,4,-0.015814174296875018,0.09212890624999999,1.7078979839062498,0.1211328125
7,101787$_$11,missing,T,0.2,7,0.6680557597851561,0.22545898437500003,1.5423630038242186,0.26484375
7,101787$_$11,missing,T,0.3,10,0.6727814067578123,0.218935546875,1.6659958128554688,0.2790771484375001
8,101787$_$13,missing,A,0.1,2,0.006677246718750052,0.0112109375,0.33514404359375016,0.216875
8,101787$_$13,missing,A,0.2,4,0.022570801406250052,0.022343750000000006,0.26317749085937514,0.17161132812500002
8,101787$_$13,missing,A,0.3,6,0.057598877578125054,0.048398437500000016,0.15800170960937504,0.11060546875000002
9,101787$_$1,missing,A,0.1,2,0.04189455874999994,0.010908203125000038,0.48315432437500005,0.11206542968750004
9,101787$_$1,missing,A,0.2,4,0.09038088687499997,0.02323242187500003,0.37009280093749986,0.08095703125000002
9,101787$_$1,missing,A,0.3,5,0.11804201968749997,0.029257812500000046,0.3231201446874999,0.07050781250000006
10,101787$_$5,missing,T,0.1,2,0.3152527230468746,0.11537109374999995,4.737339820214844,1.1860565185546874
10,101787$_$5,missing,T,0.2,4,0.30249027187499955,0.07765624999999993,4.2549637215820315,1.11969970703125
10,101787$_$5,missing,T,0.3,6,0.6497925179687496,0.16876953124999994,3.390065039941406,0.984901123046875
11,101787$_$7,missing,T,0.1,1,0.3924560234375001,0.15261718749999983,3.631909148437501,1.1699169921874997
11,101787$_$7,missing,T,0.2,2,0.5749145195312501,0.2189453124999999,3.285281340820313,1.0944439697265624
11,101787$_$7,missing,T,0.3,3,1.0931335136718752,0.419296875,2.265156523925782,0.7901904296875
12,101787$_$9,missing,A,0.1,2,-0.04611823906249999,0.015263671874999996,0.6001953874999998,0.13118652343749998
12,101787$_$9,missing,A,0.2,4,-0.09582527031249999,0.027851562499999993,0.4982910906249998,0.11606445312499998
12,101787$_$9,missing,A,0.3,6,-0.14841316093749998,0.040634765625,0.42304695,0.1059228515625
13,102408$_$2,missing,T,0.1,1,-0.4176574363281251,0.012399239540100098,0.16975095937500004,0.0777972412109375
13,102408$_$2,missing,T,0.2,2,-0.6257964744140624,0.016465015411376953,0.3534850730468751,0.0522149658203125
13,102408$_$2,missing,T,0.3,3,-0.7484725608398437,0.024961242675781252,0.5663634910156249,0.03936912536621094
14,102408$_$5,missing,T,0.1,3,-0.10788573468750026,0.0551171875,1.4228118971484371,0.5244824218749999
14,102408$_$5,missing,T,0.2,6,-0.23127440656250026,0.06964843750000001,0.9895324767031246,0.4162646484375
14,102408$_$5,missing,T,0.3,9,-0.17382811750000027,0.07609375,0.5320632949570312,0.23580078125000004
15,102408$_$9,missing,A,0.1,3,-0.03446049015625006,0.006874999999999999,0.9193848065625001,0.350625
15,102408$_$9,missing,A,0.2,6,-0.08931278507812505,0.019062499999999993,0.6935425214062502,0.23998046875000006
15,102408$_$9,missing,A,0.3,9,-0.13723758976562506,0.029384765625000003,0.5118774823437502,0.16497070312500003
16,102858$_$20,missing,T,0.1,3,0.3028076546874999,0.12820312499999997,3.2519989388671875,0.921435546875
16,102858$_$20,missing,T,0.2,5,0.4312500374999999,0.1770703125,2.6463638680664063,0.7822128295898437
16,102858$_$20,missing,T,0.3,8,0.9006897347656251,0.32599609375,1.9688263314453127,0.625185546875
17,102858$_$21,missing,T,0.1,3,0.29407351007812466,0.09007812499999993,3.129174828437499,0.8188085937499998
17,102858$_$21,missing,T,0.2,6,0.6073486565624997,0.18464843749999993,2.5676956414257806,0.66521484375
17,102858$_$21,missing,T,0.3,9,0.8381347893749999,0.22414062499999998,2.30683138361328,0.62861328125
18,102858$_$1,missing,A,0.1,3,-0.060803258281250064,0.009792480468749998,0.470214879375,0.11485839843750001
18,102858$_$1,missing,A,0.2,5,-0.12553714500000002,0.026628417968749995,0.428814732890625,0.09834312438964843
18,102858$_$1,missing,A,0.3,7,-0.17200931296875002,0.035075683593750004,0.39953006492187504,0.09189817428588867
19,102858$_$0,missing,T,0.1,1,0.487841765625,0.09299804687499999,0.925097625,0.15130859375
