sample_index,sample_id,baseline,phi_T_cls,phi_T_reg,contribution_T_cls,contribution_T_reg,combined_contribution_T,phi_A_cls,phi_A_reg,contribution_A_cls,contribution_A_reg,combined_contribution_A,phi_V_cls,phi_V_reg,contribution_V_cls,contribution_V_reg,combined_contribution_V,main_modality,TEXT_MISSING_OOD_CAUTION,zero_missing_main_modality_agreement
597,lO87-4Kf0cQ$_$2,missing,-0.0865275065104166,0.1232533772786458,0.07218997182333566,0.41141656083829664,0.24180326633081614,-0.5959269205729166,-0.0493876139322916,0.4971823335709678,0.16485456805047152,0.3310184508107197,-0.5161539713541666,-0.1269419352213541,0.4306276946056964,0.42372887111123186,0.42717828285846415,V,False,True
598,lO87-4Kf0cQ$_$5,missing,0.749725341796875,0.4181753158569336,0.3618487914807123,0.5785950423473967,0.47022191691405446,-0.900115966796875,-0.2127328872680664,0.43443359403767695,0.29434112739371054,0.3643873607156938,-0.422088623046875,-0.0918344497680664,0.20371761448161077,0.1270638302588927,0.16539072237025174,T,True,True
599,lWf5hHRHIDs$_$11,missing,3.210662841796875,0.4209676106770833,0.6320446967648914,0.43118581621765806,0.5316152564912747,0.085113525390625,-0.0826090494791666,0.01675527920458983,0.08461423046145633,0.05068475483302308,1.784027099609375,0.4727254231770833,0.35120002403051875,0.4841999533208856,0.4176999886757022,T,True,False
600,lawHYX5eB20$_$1,missing,2.6077677408854165,-0.1257242838541666,0.7466911336362577,0.35354020778983025,0.550115670713044,0.7571818033854166,-0.0566202799479166,0.2168064779214727,0.1592178131722275,0.18801214554685008,0.1274820963541666,-0.1732706705729166,0.036502388442269586,0.48724197903794236,0.26187218374010596,T,True,True
601,lawHYX5eB20$_$2,missing,-0.5164388020833334,0.3337320963541667,0.29433454697247285,0.6964843750000002,0.4954094609862365,-1.0887044270833333,0.0193522135416666,0.6204865378817747,0.040387228260869434,0.330436883071322,0.1494547526041666,-0.1260823567708333,0.08517891514575263,0.2631283967391304,0.17415365594244153,T,True,False
602,mHGaQ_nv9UY$_$13,missing,2.9010009765625,1.7366210937500002,0.6766028926090423,0.875233782852643,0.7759183377308426,0.47723388671875,0.1284179687499999,0.11130565994761417,0.06472093710010822,0.0880132985238612,0.90936279296875,0.1191406249999999,0.21209144744334357,0.06004528004724869,0.13606836374529613,T,True,False
603,mHGaQ_nv9UY$_$14,missing,2.513020833333333,0.6827799479166667,0.7829217585315147,0.7494818837990426,0.7662018211652786,0.5823567708333333,0.0945963541666666,0.18143096191876681,0.10383763310226536,0.1426342975105161,-0.1144205729166666,-0.1336263020833333,0.03564727954971856,0.14668048309869217,0.09116388132420536,T,True,False
604,mHGaQ_nv9UY$_$17,missing,1.4514567057291667,0.7156046549479167,0.604982870323259,0.592120857069748,0.5985518636965035,0.2411905924479166,0.3086710611979167,0.10053085037820966,0.25540718893512726,0.17796901965666845,0.7065226236979167,0.1842692057291667,0.2944862792985313,0.1524719539951248,0.22347911664682804,T,True,True
605,mHGaQ_nv9UY$_$22,missing,-0.7601725260416666,0.7791666666666668,0.4414044041205935,0.7269193391642371,0.5841618716424153,-0.3690592447916666,0.2690104166666666,0.21429921557508735,0.2509718172983478,0.23263551643671757,-0.5929361979166666,0.0236979166666666,0.344296380304319,0.0221088435374149,0.18320261192086695,T,True,True
606,mHGaQ_nv9UY$_$5,missing,-1.3032385508219402,1.2976562500000002,0.8036676392566705,0.8773563104552509,0.8405119748559606,0.1998742421468099,-0.0097167968749999,0.12325637561368444,0.006569608134429301,0.06491299187405687,0.1185010274251302,-0.1716796875,0.07307598512964512,0.11607408141031991,0.09457503326998251,T,True,False
607,mHGaQ_nv9UY$_$4,missing,3.4351806640625,-0.8562337239583333,0.8332148990347604,0.6838472337770383,0.7585310664058993,-0.435302734375,0.3830729166666667,0.10558417717771067,0.3059484193011648,0.20576629823943773,-0.2523193359375,-0.0127766927083333,0.061200923787528866,0.010204346921796979,0.03570263535466292,T,True,True
608,mLW-jn67gRE$_$20,missing,4.198771158854166,1.3531575520833334,0.8045925925925925,0.7996498922745461,0.8021212424335693,0.5820719401041667,0.0997395833333333,0.11153996101364524,0.05894121268082485,0.08524058684723504,0.4376627604166666,0.2392903645833333,0.08386744639376216,0.1414088950446291,0.11263817071919563,T,True,True
