sample_index,sample_id,baseline,main_modality,TEXT_MISSING_OOD_CAUTION,ratio,n_candidates,k,M_full,y_attr_full,CompTopK_cls,CompTopK_reg,RandomComp_cls_mean,RandomComp_reg_mean,GainComp_cls,GainComp_reg,SuffTopK_cls,SuffTopK_reg,RandomSuff_cls_mean,RandomSuff_reg_mean,GainSuff_cls,GainSuff_reg,F_comp_cls,F_comp_reg,F_suff_cls,F_suff_reg,FaithfulnessScore_ratio
342,JOK1SSmPtFw$_$8,missing,T,True,0.3,14,5,0.5878906000000002,0.19557292163372034,-0.5014648687499998,0.11054687499999999,-0.6390625249999999,0.10343399047851562,0.1375976562500001,0.0071128845214843694,0.8657226812499998,0.125146484375,0.6974060308593749,0.11357818603515628,-0.16831665039062493,-0.011568298339843727,0.23405276797627325,0.0011854807535807282,-0.28630558829319025,-0.0019280497233072878,-0.013248847321660887
343,JPT38CA3sGI$_$1,missing,V,False,0.1,18,2,0.28948975,0.25045573413372035,0.03582764062499999,0.015039062499999978,-0.06634788122558595,0.017910156250000003,0.10217552185058594,-0.0028710937500000255,0.524688716796875,0.319921875,0.4765685996093751,0.2876953125,-0.04812011718749992,-0.0322265625,0.3529491766164755,-0.0004785156250000043,-0.16622333248126211,-0.00537109375,0.04521905869005335
343,JPT38CA3sGI$_$1,missing,V,False,0.2,18,4,0.28948975,0.25045573413372035,-0.08739900198364259,0.01933593750000001,-0.11191329565429689,0.0321435546875,0.024514293670654302,-0.012807617187499988,0.403594966796875,0.23416748046875002,0.3665954550781251,0.2199795913696289,-0.03699951171874993,-0.01418788909912111,0.0846807494562583,-0.0021346028645833313,-0.12780896010926063,-0.0023646481831868515,-0.01190686542519313
343,JPT38CA3sGI$_$1,missing,V,False,0.3,18,6,0.28948975,0.25045573413372035,-0.150176998046875,0.06943359375,-0.12597961035156252,0.04573730468750001,-0.02419738769531249,0.023696289062499987,0.270660396484375,0.13603515625,0.2925964316406251,0.1637591552734375,0.02193603515625009,0.0277239990234375,-0.08358604789725575,0.003949381510416665,0.07577456328483757,0.00462066650390625,0.00018964085047618495
344,JPT38CA3sGI$_$0,missing,V,False,0.1,16,2,0.48681637,0.4582682341337203,0.1108398075,0.0546875,0.03906246375,0.020019531249999955,0.07177734375,0.03466796875000004,0.5288085575,0.18300781249999998,0.6376220340625,0.22264648437499995,0.10881347656249996,0.039638671874999976,0.14744203509007905,0.005777994791666674,0.2235201191824769,0.006606445312499996,0.09583664859418066
344,JPT38CA3sGI$_$0,missing,V,False,0.2,16,4,0.48681637,0.4582682341337203,0.22167965125,0.091796875,0.09462887000000002,0.04471679687499996,0.12705078124999997,0.04708007812500004,0.35449215125,0.13124999999999998,0.5126464481249999,0.18328124999999995,0.15815429687499993,0.05203124999999997,0.2609824321798542,0.007846679687500007,0.32487398071888834,0.008671874999999996,0.15059374189656063
344,JPT38CA3sGI$_$0,missing,V,False,0.3,16,5,0.48681637,0.4582682341337203,0.28808590125,0.11406249999999996,0.136767541875,0.05932617187499996,0.151318359375,0.054736328125,0.24414058875,0.095703125,0.4364989871874999,0.15962890624999998,0.1923583984374999,0.06392578124999998,0.31083188213888097,0.009122721354166667,0.3951346239709974,0.010654296874999997,0.18143588108476125
345,JPT38CA3sGI$_$5,missing,T,True,0.1,16,2,0.34814453999999995,0.3652994841337204,0.97656250875,0.17382812500000003,0.28168946187499994,0.05804687500000001,0.694873046875,0.11578125000000002,1.0737304774999998,0.09453125000000007,1.829522713828125,0.18928710937500007,0.7557922363281251,0.094755859375,1.9959268956167013,0.019296875,2.170908857049053,0.015792643229166667,1.0504813177237304
345,JPT38CA3sGI$_$5,missing,T,True,0.2,16,4,0.34814453999999995,0.3652994841337204,1.0747070399999998,0.18789062500000003,0.6988281337499999,0.12262695312500002,0.37587890625,0.06526367187500001,0.877441415,0.0830078125,1.3711242763281248,0.15348632812500002,0.4936828613281249,0.07047851562500002,1.0796602657899914,0.010877278645833335,1.4180358631856234,0.011746419270833336,0.6300799567230703
345,JPT38CA3sGI$_$5,missing,T,True,0.3,16,5,0.34814453999999995,0.3652994841337204,1.3864746181249998,0.22626953125000004,0.6548706142187498,0.10871093750000002,0.73160400390625,0.11755859375000002,0.51074219625,0.03457031249999998,1.3873413173437499,0.16791503906250005,0.8765991210937499,0.13334472656250007,2.101431498752649,0.019593098958333336,2.5179099553989697,0.02222412109375001,1.1652896685509253
