sample_index,sample_id,baseline,phi_T_cls,phi_T_reg,contribution_T_cls,contribution_T_reg,combined_contribution_T,phi_A_cls,phi_A_reg,contribution_A_cls,contribution_A_reg,combined_contribution_A,phi_V_cls,phi_V_reg,contribution_V_cls,contribution_V_reg,combined_contribution_V,main_modality,TEXT_MISSING_OOD_CAUTION,zero_missing_main_modality_agreement
51,130456$_$3,zero,3.1605224609375,-0.8582845052083334,0.9050265659955258,0.7694429042519041,0.8372347351237149,-0.225341796875,0.1825358072916667,0.06452740492170023,0.16364140426649548,0.11408440459409785,0.1063232421875,-0.0746419270833333,0.030446029082774047,0.06691569148160033,0.04868086028218719,T,False,True
52,130456$_$5,zero,5.326090494791667,-1.6821289062500002,0.9365090721767501,0.916028504573495,0.9262687883751226,-0.2227376302083333,-0.0442382812499999,0.03916490183733042,0.024090619017230322,0.03162776042728037,0.1383463541666666,-0.1099609374999999,0.02432602598591951,0.059880876409274565,0.042103451197597036,T,False,True
53,130456$_$4,zero,2.0415541330973306,-0.2960866292317708,0.747512278563344,0.5293370942427896,0.6384246864030668,-0.2990220387776692,-0.0187917073567708,0.10948651418232844,0.033595396705021346,0.07154095544367489,0.3905550638834635,-0.2444753011067708,0.14300120725432747,0.43706750905218894,0.2900343581532582,T,False,True
54,130456$_$7,zero,4.98199462890625,-1.6090169270833337,0.8483692601908246,0.7537436335356369,0.8010564468632307,-0.53314208984375,0.2689127604166667,0.09078720352547447,0.1259721247979505,0.10837966416171249,0.3572998046875,-0.2567708333333333,0.060843536283700914,0.12028424166641247,0.09056388897505668,T,False,True
55,130456$_$6,zero,2.930231730143229,-0.8266601562500001,0.7740169392240847,0.763025058590229,0.7685209989071569,-0.3591817220052083,0.07685546875,0.09487738946780096,0.07093924643951685,0.08290831795365891,0.4963328043619791,-0.1798828125,0.13110567130811437,0.16603569497025417,0.14857068313918426,T,False,False
56,188343$_$13,zero,1.0498250325520833,0.6578531901041667,0.6381089587030316,0.5467500845451472,0.5924295216240894,-0.0133921305338541,-0.0739339192708332,0.008140059728808909,0.061447412918498374,0.034793736323653644,-0.5819956461588542,-0.4714192708333333,0.35375098156815954,0.3918025025363544,0.37277674205225697,T,False,True
57,188343$_$12,zero,5.863525390625,-2.113541666666667,0.9433969675544033,0.9455901200046604,0.9444935437795319,0.0787353515625,-0.0242838541666666,0.012667923638934715,0.010864499592217143,0.01176621161557593,0.2730712890625,-0.0973307291666666,0.04393510880666195,0.04354538040312242,0.04374024460489219,T,False,True
58,188343$_$5,zero,3.502237955729166,-1.1104817708333334,0.7811711531829155,0.7079943549726051,0.7445827540777603,-0.1664632161458333,0.1143229166666666,0.03712947668403187,0.07288726548231773,0.0550083710831748,0.8146158854166666,-0.3436848958333333,0.1816993701330526,0.21911837954507718,0.2004088748390649,T,False,True
59,188343$_$9,zero,1.208674112955729,-0.110107421875,0.5494400051791428,0.22791590863149389,0.38867795690531837,0.0299784342447916,0.0322265624999999,0.013627619628951378,0.06670709520921753,0.04016735741908445,0.9611765543619792,-0.340771484375,0.43693237519190575,0.7053769961592886,0.5711546856755971,V,False,False
60,188343$_$8,zero,5.369669596354167,-1.9032552083333332,0.9014864809476316,0.8709408329857594,0.8862136569666955,-0.0187581380208333,0.0545572916666666,0.0031492082576202586,0.024965739140797204,0.014057473699208732,0.5680338541666666,-0.2274739583333333,0.09536431079474812,0.10409342787344336,0.09972886933409575,T,False,True
