sample_index,sample_id,baseline,main_modality,ratio,k,RandomComp_cls_mean,RandomComp_reg_mean,RandomSuff_cls_mean,RandomSuff_reg_mean
14,102408$_$5,zero,A,0.3,9,0.41377564226562474,0.12703124999999998,1.065951545585937,0.347578125
15,102408$_$9,zero,T,0.1,3,0.14084468562499994,0.04474609374999999,4.125878865312501,0.9271484375000002
15,102408$_$9,zero,T,0.2,6,0.4030623980273436,0.0660107421875,3.327954060625,0.7471484375
15,102408$_$9,zero,T,0.3,9,0.9136703081835936,0.12369689941406252,2.5430099077929684,0.5380810546875
16,102858$_$20,zero,T,0.1,3,0.3887695687499999,0.11906249999999993,4.392095984765625,1.6004315185546876
16,102858$_$20,zero,T,0.2,5,0.6594238656249999,0.21437499999999998,4.047073401757812,1.4725866699218748
16,102858$_$20,zero,T,0.3,8,1.3938249963012699,0.46605468750000006,3.390092124291992,1.2293896484375002
17,102858$_$21,zero,T,0.1,3,0.38728945246093716,0.10833984374999991,3.9101715325390627,1.3477972412109376
17,102858$_$21,zero,T,0.2,6,0.8097000359570309,0.2322265624999999,3.609307885078125,1.1892340087890625
17,102858$_$21,zero,T,0.3,9,1.12332766046875,0.28668945312499994,3.4019027947460936,1.092548828125
18,102858$_$1,zero,T,0.1,3,-0.19826625571777345,0.053475227355957035,1.121386683125,0.228603515625
18,102858$_$1,zero,T,0.2,5,0.05330806984374994,0.04709381103515625,0.85987545265625,0.16725097656250001
18,102858$_$1,zero,T,0.3,7,0.162383997578125,0.061475830078125,0.630792200703125,0.1308935546875
19,102858$_$0,zero,A,0.1,1,0.239501921875,0.07461914062499996,0.4592773125,0.1523583984375
19,102858$_$0,zero,A,0.2,1,0.22221676562499998,0.07071289062499997,0.47617184375,0.1571533203125
19,102858$_$0,zero,A,0.3,1,0.25097653124999997,0.07732421874999997,0.4491210625,0.149482421875
20,102858$_$4,zero,T,0.1,5,0.10545651171875008,0.02875976562500001,0.8416259453125001,0.18221679687500006
20,102858$_$4,zero,T,0.2,10,0.20673825000000007,0.048515625,0.7695922539062501,0.1448388671875
20,102858$_$4,zero,T,0.3,15,0.38886715625000007,0.07307617187500001,0.6059814140625001,0.09672363281250002
21,102858$_$6,zero,V,0.1,3,0.13735350906250005,0.07137207031250001,1.0435394221484373,0.5064648437500001
21,102858$_$6,zero,V,0.2,6,0.27119139968750006,0.14131347656249998,0.9284515315234373,0.4525878906250001
21,102858$_$6,zero,V,0.3,8,0.36353759109375006,0.1886053466796875,0.84556884109375,0.413232421875
22,102858$_$10,zero,T,0.1,1,0.17224120468749993,0.06160156250000002,2.8321105894531255,0.9620996093750002
