sample_index,sample_id,baseline,main_modality,TEXT_MISSING_OOD_CAUTION,ratio,n_candidates,k,M_full,y_attr_full,CompTopK_cls,CompTopK_reg,RandomComp_cls_mean,RandomComp_reg_mean,GainComp_cls,GainComp_reg,SuffTopK_cls,SuffTopK_reg,RandomSuff_cls_mean,RandomSuff_reg_mean,GainSuff_cls,GainSuff_reg,F_comp_cls,F_comp_reg,F_suff_cls,F_suff_reg,FaithfulnessScore_ratio
3,0utROiKxejc$_$4,zero,T,False,0.2,33,7,4.1591797,-1.4347005158662798,0.7138672000000001,0.3515625,0.05258790312500015,0.07203125000000002,0.661279296875,0.27953125,1.2519531375000001,0.04453124999999991,2.2919494753906258,0.5061718750000002,1.0399963378906256,0.46164062500000025,0.1589926825913094,0.04658854166666667,0.2500483659896348,0.0769401041666667,0.1331424236035694
3,0utROiKxejc$_$4,zero,T,False,0.3,33,10,4.1591797,-1.4347005158662798,0.9091797000000001,0.32968750000000013,0.22119141875000015,0.118125,0.68798828125,0.21156250000000015,0.5468750125000001,0.15312499999999996,1.304718030078125,0.22964843750000002,0.7578430175781248,0.07652343750000007,0.1654143762616517,0.03526041666666669,0.1822096879748756,0.012753906250000011,0.0989095967882985
4,0y022OlZ3W0$_$3,zero,T,False,0.1,17,2,2.04479978,0.8699869841337203,0.16088864718749996,0.03671875000000002,0.008990453828124956,0.02550781250000001,0.151898193359375,0.01121093750000001,0.7453613034375,0.07460937499999998,1.0649413815624995,0.17386718749999996,0.31958007812499956,0.09925781249999999,0.07428508187451639,0.001868489583333335,0.15628910222002143,0.016542968749999998,0.06224641060696779
4,0y022OlZ3W0$_$3,zero,T,False,0.2,17,4,2.04479978,0.8699869841337203,0.30517575656249996,0.07265624999999998,0.09110410128906246,0.03484375000000001,0.2140716552734375,0.03781249999999997,0.46411130343749996,0.002343749999999978,0.7965865841992187,0.10884765625,0.33247528076171873,0.10650390625000002,0.10469071479591155,0.006302083333333329,0.16259543913207952,0.01775065104166667,0.07283472207574777
4,0y022OlZ3W0$_$3,zero,T,False,0.3,17,6,2.04479978,0.8699869841337203,0.585357641328125,0.17812499999999998,0.19623410617187495,0.05388671874999999,0.38912353515625,0.12423828124999999,0.21786496554687496,0.057812500000000044,0.6104644528515625,0.09404296875,0.3925994873046875,0.03623046874999995,0.1902989958543785,0.02070638020833333,0.19199889355709632,0.006038411458333326,0.10226067026953538
5,0y022OlZ3W0$_$5,zero,T,False,0.1,22,3,2.5268555,-0.8784505158662798,0.2756347968749999,0.07500000000000007,0.09980471874999992,0.026367187499999993,0.175830078125,0.048632812500000074,2.22949221875,0.4296875000000001,2.623165924804687,0.6824748229980468,0.3936737060546869,0.25278732299804674,0.069584512664253,0.008105468750000013,0.15579583013704454,0.04213122049967446,0.068904258012743
5,0y022OlZ3W0$_$5,zero,T,False,0.2,22,5,2.5268555,-0.8784505158662798,0.4401855781249999,0.08203125,0.1434448554687499,0.058789062499999975,0.29674072265625,0.023242187500000025,1.268798859375,0.017187500000000022,2.1951385810546866,0.44762207031250006,0.9263397216796867,0.43043457031250004,0.11743473468170829,0.0038736979166666707,0.3665976764726001,0.07173909505208334,0.1399113010307646
5,0y022OlZ3W0$_$5,zero,T,False,0.3,22,7,2.5268555,-0.8784505158662798,0.6514892890624999,0.12109375,0.19736331249999992,0.07980468749999996,0.4541259765625,0.04128906250000004,0.6105957343749999,0.22109374999999998,1.6210739448242186,0.23344482421875004,1.0104782104492187,0.012351074218750063,0.1797197334167967,0.006881510416666674,0.39989536819729127,0.002058512369791677,0.1471387811001366
6,0y022OlZ3W0$_$8,zero,T,False,0.1,13,2,0.6586914,0.2735026091337204,0.7944335875,0.15078124999999998,0.11340331406250001,0.023779296874999977,0.6810302734375,0.127001953125,0.34472655625000004,0.021484375,0.8575683531249998,0.16416992187499999,0.5128417968749998,0.14268554687499999,1.0339124505421649,0.0211669921875,0.7785755488829076,0.023780924479166663,0.46435897902293477
6,0y022OlZ3W0$_$8,zero,T,False,0.2,13,3,0.6586914,0.2735026091337204,0.8139648375,0.16054687499999998,0.2451171812500001,0.05137695312499997,0.56884765625,0.109169921875,0.26074218125000004,0.005468750000000022,0.7010864195312501,0.12861328125,0.44034423828125,0.12314453124999997,0.8636013657512975,0.018194986979166668,0.6685127052949905,0.020524088541666662,0.3927082866417803
6,0y022OlZ3W0$_$8,zero,T,False,0.3,13,4,0.6586914,0.2735026091337204,0.83398436875,0.169921875,0.4655273375000001,0.09173828124999997,0.36845703124999996,0.07818359375000003,0.16235350937500004,0.002539062500000022,0.4922485289062501,0.09354492187499999,0.32989501953125006,0.09100585937499997,0.5593764726145314,0.013030598958333339,0.5008331954813051,0.015167643229166661,0.27210197757083415
7,101787$_$11,zero,T,False,0.1,32,4,1.19348148,-0.5659505158662798,2.789917026875,0.4750000000000001,0.10360568654296873,0.029570312500000008,2.6863113403320313,0.44542968750000006,1.2081299175,0.13164062500000007,2.4163696635937506,0.513354263305664,1.2082397460937506,0.38171363830566396,2.2508175740728356,0.07423828125000001,1.0123648786983037,0.06361893971761066,0.8502599184346875
7,101787$_$11,zero,T,False,0.2,32,7,1.19348148,-0.5659505158662798,2.809478794453125,0.4726562500000001,1.011982761738281,0.16951660156250004,1.797496032714844,0.3031396484375001,1.0227051128125,0.041015625,2.1055160869335943,0.40231201171875003,1.0828109741210943,0.36129638671875003,1.506093355232868,0.050523274739583346,0.9072701043094444,0.060216064453125,0.6310256996837552
7,101787$_$11,zero,T,False,0.3,32,10,1.19348148,-0.5659505158662798,2.7159424175,0.4401367187500001,0.9419601787304686,0.14925048828125004,1.7739822387695314,0.29088623046875006,0.980346714375,0.11250000000000004,2.2222961772656253,0.3875869750976563,1.2419494628906254,0.2750869750976563,1.4863915210297276,0.048481038411458344,1.040609714598094,0.045847829182942716,0.6553325258055556
8,101787$_$13,zero,V,False,0.1,19,2,0.03100586000000005,0.12281901538372034,0.21374511781250005,0.14560546875,0.11070556703125005,0.08480957031250001,0.10303955078125,0.06079589843749998,1.18334961,0.78779296875,1.211700440078125,0.7959570312500001,0.028350830078125,0.008164062500000013,3.323121102273814,0.01013264973958333,0.9143405710260553,0.0013606770833333355,1.0622387500306965
8,101787$_$13,zero,V,False,0.2,19,4,0.03100586000000005,0.12281901538372034,0.39953613343750005,0.27587890625,0.22785034242187505,0.17453125,0.171685791015625,0.10134765625,1.036621094375,0.7127929687500001,1.128143311171875,0.75169921875,0.091522216796875,0.03890624999999992,5.537026032807731,0.016891276041666667,2.9516763966707638,0.006484374999999987,2.1280195201300405
8,101787$_$13,zero,V,False,0.3,19,6,0.03100586000000005,0.12281901538372034,0.615234375625,0.41591796875,0.4384033209375001,0.3205859375,0.17683105468749993,0.09533203125,0.8375244146875,0.6034179687500001,0.9691360479882813,0.663125,0.1316116333007813,0.059707031249999876,5.702965559476182,0.015888671875,4.244597269790655,0.009951171874999979,2.4933506682542093
9,101787$_$1,zero,T,False,0.1,16,2,0.043945339999999944,-0.3020833283662797,0.29443362124999994,0.024218750000000067,0.04548342593749995,0.047607421874999986,0.2489501953125,-0.02338867187499992,0.7666015899999999,0.1083984375,0.8572738922460938,0.07028320312499999,0.0906723022460939,-0.038115234375000015,5.664867547843582,-0.0038981119791666533,2.063250369566476,-0.0063525390625000025,1.9294668165920978
9,101787$_$1,zero,T,False,0.2,16,4,0.043945339999999944,-0.3020833283662797,0.29345705874999994,0.0439453125,0.21218264468749998,0.06693359375,0.08127441406249997,-0.022988281250000006,0.6098633087499999,0.12753906250000002,0.6209472931250001,0.12482421875000001,0.011083984375000133,-0.002714843750000015,1.8494012029784521,-0.003831380208333334,0.25221632506825703,-0.0004524739583333358,0.5243334184700107
9,101787$_$1,zero,T,False,0.3,16,5,0.043945339999999944,-0.3020833283662797,0.46044924624999994,0.03769531250000002,0.31112063296874987,0.07756835937499998,0.14932861328125008,-0.03987304687499996,0.33398440249999994,0.18339843749999996,0.5108520755312501,0.16529296875000002,0.17686767303125017,-0.018105468749999937,3.3979761063435605,-0.006645507812499993,4.024628058474276,-0.0030175781249999895,1.8532352697200842
10,101787$_$5,zero,T,False,0.1,17,2,3.9619140999999996,-1.5378255158662797,2.5244140999999996,1.01328125,0.23334964687499954,0.07988281250000004,2.291064453125,0.9333984374999998,1.4023437874999996,0.0234375,4.182968177148437,1.2055279541015624,2.7806243896484375,1.1820904541015624,0.5782719708266844,0.15556640624999998,0.701838459296727,0.19701507568359375,0.4081729780142513
10,101787$_$5,zero,T,False,0.2,17,4,3.9619140999999996,-1.5378255158662797,4.7663574593749996,1.92734375,0.24633792812499955,0.05250000000000005,4.52001953125,1.87484375,0.7871094124999996,0.0859375,3.68507083828125,1.06736328125,2.8979614257812503,0.98142578125,1.1408673374272964,0.3124739583333333,0.7314547012330603,0.16357096354166667,0.5870917401338391
10,101787$_$5,zero,T,False,0.3,17,6,3.9619140999999996,-1.5378255158662797,4.5657959359374996,1.7875,0.5064453499999996,0.10054687500000004,4.0593505859375,1.686953125,0.5234375374999996,0.09218750000000009,3.243096961328125,0.95625,2.7196594238281255,0.8640625,1.0245930272300636,0.2811588541666667,0.686450707595457,0.14401041666666667,0.5340532514147135
