sample_index,sample_id,baseline,main_modality,comparison,n_candidates,top20_k,top20_jaccard,position_spearman
31,121128$_$10,zero,T,w1_vs_w3,15,3,0.2,0.3799307558483066
31,121128$_$10,zero,T,w3_vs_w5,15,3,0.5,0.8571428571428571
31,121128$_$10,zero,T,w1_vs_w5,15,3,0.2,0.02508976689564289
32,121128$_$1,zero,T,w1_vs_w3,29,6,0.2,0.46557458168147764
32,121128$_$1,zero,T,w3_vs_w5,29,6,0.7142857142857143,0.8050252555212004
32,121128$_$1,zero,T,w1_vs_w5,29,6,0.2,0.42216748768472895
33,121128$_$0,zero,T,w1_vs_w3,11,3,0.2,-0.3545454545454546
33,121128$_$0,zero,T,w3_vs_w5,11,3,0.0,0.5545454545454546
33,121128$_$0,zero,T,w1_vs_w5,11,3,0.0,-0.21818181818181823
34,121128$_$5,zero,T,w1_vs_w3,7,2,0.0,0.642857142857143
34,121128$_$5,zero,T,w3_vs_w5,7,2,0.0,0.5929994533288809
34,121128$_$5,zero,T,w1_vs_w5,7,2,0.3333333333333333,0.4076871241636057
35,125344$_$0,zero,T,w1_vs_w3,48,10,0.42857142857142855,0.5417933130699087
35,125344$_$0,zero,T,w3_vs_w5,48,10,0.6666666666666666,0.9157620495006514
35,125344$_$0,zero,T,w1_vs_w5,48,10,0.42857142857142855,0.4397524967433782
36,125676$_$0,zero,T,w1_vs_w3,13,3,0.5,0.5164835164835164
36,125676$_$0,zero,T,w3_vs_w5,13,3,0.2,0.8131868131868131
36,125676$_$0,zero,T,w1_vs_w5,13,3,0.5,0.3681318681318681
37,125676$_$4,zero,T,w1_vs_w3,27,6,0.3333333333333333,0.319951156223481
37,125676$_$4,zero,T,w3_vs_w5,27,6,1.0,0.6233211233211233
37,125676$_$4,zero,T,w1_vs_w5,27,6,0.3333333333333333,0.355976190989102
38,128059$_$11,zero,T,w1_vs_w3,38,8,0.45454545454545453,0.36198500902241865
38,128059$_$11,zero,T,w3_vs_w5,38,8,0.7777777777777778,0.7605864974286027
38,128059$_$11,zero,T,w1_vs_w5,38,8,0.45454545454545453,0.3632981348108918
39,128059$_$12,zero,T,w1_vs_w3,16,4,0.6,0.7235294117647059
39,128059$_$12,zero,T,w3_vs_w5,16,4,1.0,0.961764705882353
39,128059$_$12,zero,T,w1_vs_w5,16,4,0.6,0.6823529411764706
40,128059$_$2,zero,V,w1_vs_w3,14,3,0.2,-0.11208791208791209
40,128059$_$2,zero,V,w3_vs_w5,14,3,0.5,0.8373626373626375
40,128059$_$2,zero,V,w1_vs_w5,14,3,0.2,-0.059340659340659345
41,128059$_$7,zero,V,w1_vs_w3,48,10,0.3333333333333333,0.7622908772970599
41,128059$_$7,zero,V,w3_vs_w5,48,10,0.5384615384615384,0.873870214056523
41,128059$_$7,zero,V,w1_vs_w5,48,10,0.17647058823529413,0.585294734696911
42,128059$_$6,zero,T,w1_vs_w3,48,10,0.3333333333333333,0.40231226437591194
42,128059$_$6,zero,T,w3_vs_w5,48,10,0.6666666666666666,0.8358662613981763
42,128059$_$6,zero,T,w1_vs_w5,48,10,0.17647058823529413,0.25782288933966296
43,128059$_$9,zero,V,w1_vs_w3,22,5,0.42857142857142855,0.8091473743647659
43,128059$_$9,zero,V,w3_vs_w5,22,5,0.6666666666666666,0.9141727837380011
43,128059$_$9,zero,V,w1_vs_w5,22,5,0.42857142857142855,0.7210615471485038
44,128763$_$12,zero,T,w1_vs_w3,18,4,0.3333333333333333,0.762641898864809
44,128763$_$12,zero,T,w3_vs_w5,18,4,0.6,0.8059855521155831
44,128763$_$12,zero,T,w1_vs_w5,18,4,0.3333333333333333,0.6491228070175438
45,128763$_$3,zero,T,w1_vs_w3,24,5,0.42857142857142855,0.5695652173913043
45,128763$_$3,zero,T,w3_vs_w5,24,5,0.6666666666666666,0.9347826086956521
45,128763$_$3,zero,T,w1_vs_w5,24,5,0.42857142857142855,0.4539130434782608
46,128763$_$2,zero,T,w1_vs_w3,12,3,0.2,0.5594405594405596
46,128763$_$2,zero,T,w3_vs_w5,12,3,0.5,0.8391608391608393
46,128763$_$2,zero,T,w1_vs_w5,12,3,0.2,0.5174825174825175
47,128763$_$5,zero,T,w1_vs_w3,10,2,0.3333333333333333,0.309090909090909
47,128763$_$5,zero,T,w3_vs_w5,10,2,0.0,0.5878787878787878
47,128763$_$5,zero,T,w1_vs_w5,10,2,0.0,0.04242424242424241
48,128763$_$7,zero,T,w1_vs_w3,16,4,0.6,0.45
48,128763$_$7,zero,T,w3_vs_w5,16,4,0.3333333333333333,0.3911764705882353
48,128763$_$7,zero,T,w1_vs_w5,16,4,0.3333333333333333,0.19117647058823528
49,128763$_$8,zero,T,w1_vs_w3,8,2,1.0,0.5000000000000001
49,128763$_$8,zero,T,w3_vs_w5,8,2,1.0,0.9700772721497398
49,128763$_$8,zero,T,w1_vs_w5,8,2,1.0,0.5868368683374969
50,130456$_$11,zero,T,w1_vs_w3,34,7,0.4,0.41665393430099307
50,130456$_$11,zero,T,w3_vs_w5,34,7,0.5555555555555556,0.7448433919022154
50,130456$_$11,zero,T,w1_vs_w5,34,7,0.2727272727272727,0.08204736440030558
51,130456$_$3,zero,T,w1_vs_w3,19,4,0.3333333333333333,0.5982456140350877
51,130456$_$3,zero,T,w3_vs_w5,19,4,0.3333333333333333,0.8070175438596491
51,130456$_$3,zero,T,w1_vs_w5,19,4,0.14285714285714285,0.27543859649122804
52,130456$_$5,zero,T,w1_vs_w3,11,3,1.0,0.4727272727272727
52,130456$_$5,zero,T,w3_vs_w5,11,3,0.5,0.8545454545454546
52,130456$_$5,zero,T,w1_vs_w5,11,3,0.5,0.3454545454545455
53,130456$_$4,zero,T,w1_vs_w3,23,5,0.25,0.4446640316205534
53,130456$_$4,zero,T,w3_vs_w5,23,5,1.0,0.9031620553359685
53,130456$_$4,zero,T,w1_vs_w5,23,5,0.25,0.5039525691699606
