bootstrap_repeat,mean_D_zero_minus_missing
205,-0.43210023259548663
206,-0.3917153830708886
207,0.09930472705602178
208,-0.11225551824407935
209,-0.014868500423576939
210,-0.06308231930668014
211,-0.008751954057242809
212,-0.29149861420501355
213,-0.3237504770254071
214,0.10788978193321581
215,-0.05642908047686486
216,-0.2832467168441784
217,0.2814238165993235
218,-0.17308219998767332
219,0.06481621177558015
220,0.018672048341073725
221,-0.17343733293623248
222,0.1380144586501011
223,-0.054527244938504915
224,-0.15031429562782864
225,0.10096732081632677
226,0.002705468978341464
227,-0.0705025778597337
228,0.026285485935942005
229,-0.2561831295048203
230,-0.04884145789220723
231,-0.06363783474882506
232,0.06052803932726344
233,-0.3311763931055193
234,-0.28028523987020393
235,0.1120703113534436
236,-0.3271195892957234
237,-0.1918265674116163
238,-0.0951162440789998
239,-0.17069810444984757
240,0.002184791908993936
241,0.13746656241863023
242,-0.28145644405847303
243,0.2456725326754191
244,0.18960569611432243
245,-0.05032569650088959
246,-0.055425509835756344
247,-0.3935769326046908
248,-0.015113856715312811
249,-0.21243154476544998
250,-0.5076448358659027
251,-0.015492293575253975
252,0.07835460034959257
253,-0.3006959471076687
254,-0.18913214688990843
255,-0.26515034537323845
256,0.19497724116239715
257,0.21689439554691586
258,-0.4610238849580201
259,-0.22783936318547224
260,0.36232305734379033
261,-0.02295245470291064
262,-0.30232490348730956
263,-0.03179331068443999
264,-0.1719111806754512
265,-0.09878946905590384
266,-0.18703891147559326
267,0.17631265162760043
268,-0.1868513764030301
269,-0.3697382153176021
270,-0.10843711100477219
271,0.04656888667321101
272,-0.22923597174439936
273,-0.0820921088717165
274,-0.21213462941452269
275,0.05287756365531339
276,-0.03666166246916783
277,0.19009928587257893
278,-0.3885274607306161
279,-0.0738061605726073
280,0.09118147901045887
281,-0.37152150786416854
282,0.3298253582273478
283,-0.2018002463245445
284,0.03782706422954681
285,-0.41688825941195884
286,-0.22010583038337442
287,-0.013043140721698798
288,0.13968650424744697
289,0.017982310950776972
290,-0.22914132553208996
291,0.5868365545384687
292,-0.06948204167200894
293,0.24189233410531844
294,0.06324138545761081
295,0.081422240420317
296,-0.27499765688606387
297,0.2644331212559707
298,-0.2804323548926812
299,0.19690932663109564
300,0.36370497492822224
301,-0.2056363975912625
302,0.03864009627328986
303,-0.16717862878674034
304,-0.23540312157497564
305,-0.011172923312418927
306,0.04343897834779464
307,-0.10589672176680971
308,0.005057620759834757
309,0.10420594318723031
310,0.37996606957041695
311,-0.3867204188978562
312,0.22202916824720273
313,-0.18462779757426345
314,0.18674415258247157
315,0.08108123929698369
