scenario_id,scenario,modality_combination,missing_rate_percent,missing_rate_target,position,runtime_seconds,accuracy,macro_f1,weighted_f1,mae,pearson,recall_negative,recall_neutral,recall_positive,f1_negative,f1_neutral,f1_positive,mae_negative,mae_neutral,mae_positive,composite_score,task_loss,weight_text,missing_region_weight_text,weight_audio,missing_region_weight_audio,weight_vision,missing_region_weight_vision
45,V_50_Tail,V,50,0.5,Tail,0.4595193862915039,0.6346153846153846,0.6211723666052024,0.6399275397392504,0.6148092150688171,0.658643019084617,0.6893203883495146,0.5434782608695652,0.650887573964497,0.662004662004662,0.4975124378109453,0.704,0.7492772340774536,0.4830295741558075,0.6045933961868286,0.6773735913205662,1.3731035950419668,0.4422453195720572,,0.26590946648851443,,0.2918452221307474,0.3129055312917202
46,T+A_10_Head,T+A,10,0.1,Head,0.4619717597961426,0.6167582417582418,0.6085013609508675,0.6257825865299212,0.5955488681793213,0.6553521360661897,0.6601941747572816,0.5815217391304348,0.6094674556213018,0.649164677804296,0.49195402298850577,0.6843853820598007,0.7182680368423462,0.4128316044807434,0.620222806930542,0.670523862345548,1.3308991743968084,0.44843374968650185,0.3973934530713069,0.2810991388394235,0.30954947232202507,0.27046710655928324,
47,T+A_10_Middle,T+A,10,0.1,Middle,0.46373486518859863,0.6167582417582418,0.6090604895072365,0.6253079668506096,0.5993281006813049,0.651142583200234,0.6504854368932039,0.5978260869565217,0.606508875739645,0.6426858513189448,0.5034324942791762,0.6810631229235881,0.7310699224472046,0.4163965880870819,0.6186198592185974,0.6692963202263194,1.3374061833371174,0.44975570570585527,0.39968483019074635,0.2795102375629303,0.31643494302757613,0.27073405918861015,
48,T+A_10_Tail,T+A,10,0.1,Tail,0.46410679817199707,0.6195054945054945,0.6091172226881466,0.626565972156471,0.6029819250106812,0.6461489004553015,0.6650485436893204,0.5543478260869565,0.6272189349112426,0.6555023923444976,0.48687350835322196,0.6849757673667205,0.7310910820960999,0.4349351227283478,0.6163846254348755,0.6684444106613455,1.346999330835028,0.44824670583156906,0.3973560951743665,0.28278480416744955,0.30883545656084516,0.2689684900009814,
49,T+A_20_Head,T+A,20,0.2,Head,0.4597625732421875,0.6016483516483516,0.595614696352507,0.611890214833679,0.5993435382843018,0.6408383050810169,0.6213592233009708,0.6032608695652174,0.5887573964497042,0.628992628992629,0.4900662251655629,0.6677852348993288,0.7391289472579956,0.3846074938774109,0.63104647397995,0.6595800434134438,1.336736866406032,0.4396593627536504,0.3941582655491759,0.2859400052330078,0.3157756596045641,0.2744006336516056,
50,T+A_20_Middle,T+A,20,0.2,Middle,0.46902012825012207,0.6057692307692307,0.5992862686482376,0.614736749359307,0.6049572229385376,0.630086702939871,0.6067961165048543,0.6195652173913043,0.5976331360946746,0.6234413965087282,0.5055432372505543,0.6688741721854304,0.7726327776908875,0.38502228260040283,0.6224924325942993,0.6583724486777901,1.3489429688715673,0.443616015577818,0.39710506148127667,0.2836496419908664,0.31838738008675327,0.2727343506226346,
51,T+A_20_Tail,T+A,20,0.2,Tail,0.4638237953186035,0.6043956043956044,0.5950732307138423,0.6125653446058384,0.6053677201271057,0.6361145861610209,0.6213592233009708,0.5597826086956522,0.6183431952662722,0.6352357320099256,0.4779582366589327,0.6720257234726688,0.7303320169448853,0.413066565990448,0.633890688419342,0.6584485453070248,1.3503688115340013,0.4412912176687983,0.3963498055535946,0.2884076212464624,0.31400003190659775,0.270301163542135,
52,T+A_30_Head,T+A,30,0.3,Head,0.4646756649017334,0.5810439560439561,0.5762679408274374,0.5932857116384554,0.6098759770393372,0.6141965945813309,0.5485436893203883,0.6304347826086957,0.5739644970414202,0.5931758530183727,0.48132780082987553,0.654300168634064,0.7980863451957703,0.34816113114356995,0.6376398801803589,0.6420541247765698,1.3573530637300932,0.4321114456343861,0.3915765572308092,0.28968051617970303,0.3182422839858022,0.2782080340902514,
53,T+A_30_Middle,T+A,30,0.3,Middle,0.46210432052612305,0.592032967032967,0.5870913870276927,0.6024348088975022,0.6081994771957397,0.6178614348906283,0.5679611650485437,0.6358695652173914,0.5828402366863905,0.6077922077922078,0.4968152866242038,0.6566666666666666,0.7941128611564636,0.3527877926826477,0.6339319944381714,0.6485631574715104,1.360582933321104,0.435999120999386,0.39453374100887206,0.2886276572769948,0.3202167702027129,0.2753732209044873,
54,T+A_30_Tail,T+A,30,0.3,Tail,0.46752095222473145,0.5906593406593407,0.5812684452262289,0.5999473584170154,0.6043999791145325,0.629418129291602,0.5533980582524272,0.5815217391304348,0.6183431952662722,0.6015831134564644,0.47555555555555556,0.6666666666666666,0.7546262145042419,0.3817516267299652,0.6340470314025879,0.649969813868082,1.3500149119031297,0.4318671510125886,0.392515849778198,0.2958776700488994,0.31869650694419305,0.2722551797576439,
55,T+A_40_Head,T+A,40,0.4,Head,0.4721395969390869,0.5769230769230769,0.5709171529484028,0.5876489431176931,0.6166379451751709,0.5940709699540356,0.47572815533980584,0.7010869565217391,0.5710059171597633,0.5568181818181818,0.50390625,0.652027027027027,0.8435630202293396,0.31845226883888245,0.6406603455543518,0.6340913045251145,1.3780018366300142,0.42416009622401424,0.38844039035064054,0.29403548172059324,0.3206947738976905,0.2818044245127882,
56,T+A_40_Middle,T+A,40,0.4,Middle,0.46332311630249023,0.5782967032967034,0.5746887841747084,0.5907602039872003,0.6120924353599548,0.6033134901726076,0.5194174757281553,0.6467391304347826,0.5769230769230769,0.5944444444444444,0.4817813765182186,0.6478405315614618,0.8362826704978943,0.3265506625175476,0.6308984756469727,0.6380670414643419,1.3823902659363798,0.4264063311923541,0.39035940662663854,0.294822815740879,0.323078953038436,0.2787708514285031,
57,T+A_40_Tail,T+A,40,0.4,Tail,0.46065354347229004,0.5645604395604396,0.5551168893111859,0.5753197253209417,0.6106473207473755,0.6052687491594708,0.5,0.5760869565217391,0.5976331360946746,0.5628415300546448,0.452991452991453,0.6495176848874598,0.812245786190033,0.3517899811267853,0.6286959648132324,0.6303492427788261,1.38885681445782,0.42316749512138147,0.389794589975364,0.3023374859345223,0.32208588354482365,0.2744950238588877,
58,T+A_50_Head,T+A,50,0.5,Head,0.4631533622741699,0.554945054945055,0.5456672559910202,0.5633337081894024,0.6374984383583069,0.5564156045379838,0.4029126213592233,0.7119565217391305,0.5621301775147929,0.50920245398773,0.4934086629001883,0.6343906510851419,0.9132687449455261,0.29946285486221313,0.653444766998291,0.6111321090053224,1.4384184931660746,0.41446695784424825,0.38455074970229264,0.2999335123741604,0.32356590882635317,0.28559951831374475,
59,T+A_50_Middle,T+A,50,0.5,Middle,0.46899986267089844,0.5508241758241759,0.5420582033496686,0.559543458214347,0.6305751800537109,0.5689089487030305,0.39805825242718446,0.6902173913043478,0.5680473372781065,0.5157232704402516,0.4819734345351044,0.6284779050736498,0.9103832244873047,0.2976454794406891,0.6412809491157532,0.6128999002980762,1.4346471841518695,0.415908643097127,0.3860412694230864,0.3017460301067278,0.32598050113468735,0.28234533253006855,
60,T+A_50_Tail,T+A,50,0.5,Tail,0.46532320976257324,0.5398351648351648,0.5285160785802224,0.5483024620569008,0.6471955180168152,0.5387891898780245,0.4077669902912621,0.6032608695652174,0.5857988165680473,0.5106382978723404,0.45030425963488846,0.6246056782334385,0.9114096760749817,0.34544670581817627,0.650431215763092,0.5978521484886183,1.4736252171652657,0.4142912081799744,0.3872964368087833,0.30835832657669654,0.32498723927429457,0.27735046032853766,
