scenario_id,hybrid_accuracy,hybrid_macro_f1,hybrid_mae_raw,hybrid_pearson_raw,hybrid_mae_calibrated,hybrid_pearson_calibrated,seed_2028_accuracy,seed_2028_macro_f1,seed_2028_mae_raw,seed_2028_pearson_raw,seed_2028_mae_calibrated,seed_2028_pearson_calibrated,scenario,modality_combination,missing_rate_percent,position
37,0.6167582417582418,0.6087312566441422,0.5752735366737778,0.6723016002542916,0.5761706786026012,0.6689435836696059,0.6167582417582418,0.6087312566441422,0.5753967825241468,0.6721842809264513,0.5765876085280881,0.6691950834817492,V_30_Head,V,30,Head
38,0.614010989010989,0.605642083089626,0.5732554242874568,0.6744238573663035,0.5741657417440807,0.6713252431667841,0.614010989010989,0.605642083089626,0.5731487113081819,0.6745234384376532,0.5740806212881273,0.6717631262431727,V_30_Middle,V,30,Middle
39,0.6126373626373627,0.6033279102870578,0.5813952327961778,0.6697788532738511,0.5802528225836519,0.6667613459028376,0.6126373626373627,0.6033279102870578,0.5816859366515508,0.6695784876435369,0.5807133853541134,0.6669018219330328,V_30_Tail,V,30,Tail
40,0.6126373626373627,0.6046959298557921,0.5758275744556399,0.6718418338222124,0.5765544627300331,0.6684494967850175,0.6126373626373627,0.6046959298557921,0.5757818521911299,0.6718006313360839,0.5768498925341519,0.6687788407091787,V_40_Head,V,40,Head
41,0.6126373626373627,0.6043961776580424,0.5738298199374924,0.6743661920674604,0.5744735157619466,0.6712963338725043,0.6126373626373627,0.6043961776580424,0.5738073381298519,0.6745502301771668,0.574451035714002,0.6718145631597586,V_40_Middle,V,40,Middle
42,0.6167582417582418,0.6079261014334251,0.5816319143256315,0.6704180273806768,0.5803311540911813,0.6674852362576271,0.6167582417582418,0.6079261014334251,0.5819188250167356,0.6703835775353046,0.5806735041558251,0.6677812931141925,V_40_Tail,V,40,Tail
43,0.6112637362637363,0.6040096325901009,0.5760116422119048,0.6720979142901568,0.5767352731361821,0.6687070161828004,0.6112637362637363,0.6040096325901009,0.5760393703745289,0.6721902351041102,0.5770080990220655,0.6691692765139399,V_50_Head,V,50,Head
44,0.6098901098901099,0.6021045164432249,0.574509511711997,0.674205322918604,0.5749898794518067,0.6712204108241767,0.6098901098901099,0.6021045164432249,0.5743930857464835,0.6744341021574575,0.574960479046699,0.6717777823200345,V_50_Middle,V,50,Middle
45,0.6126373626373627,0.6045077275288024,0.581170458096888,0.6710258318340895,0.5799642028130019,0.668191974760441,0.6126373626373627,0.6045077275288024,0.5813098659759367,0.6711505287276781,0.580213241888681,0.6686333743623631,V_50_Tail,V,50,Tail
76,0.6153846153846154,0.6062693903508527,0.5753169807472399,0.6723340607556599,0.5758318257894489,0.6690114930056235,0.6153846153846154,0.6062693903508527,0.5755411958997394,0.6720099954514783,0.5763687492138246,0.6690533490121108,A+V_10_Head,A+V,10,Head
77,0.6153846153846154,0.6062693903508527,0.5731958315636103,0.674341661629229,0.5738107753081964,0.6711594144243112,0.6153846153846154,0.6062693903508527,0.5733289451102962,0.6741957234753082,0.5741525789424777,0.671371982699034,A+V_10_Middle,A+V,10,Middle
78,0.6167582417582418,0.6059474198693214,0.5778468747756311,0.6721411359519471,0.5768239793624852,0.6689817125225223,0.6167582417582418,0.6059474198693214,0.5779223034547253,0.6718921892031422,0.5771213179134896,0.6690792720492542,A+V_10_Tail,A+V,10,Tail
79,0.6085164835164835,0.6013192191990504,0.57562971985029,0.6709278852266235,0.5767203522160813,0.6675090741278624,0.6085164835164835,0.6013192191990504,0.5758948102798108,0.6706701370643717,0.5773142439828632,0.6676246451515679,A+V_20_Head,A+V,20,Head
80,0.6153846153846154,0.6065068793282538,0.5719740564719988,0.6749089609601527,0.5731553891410212,0.6717424836193646,0.6153846153846154,0.6065068793282538,0.5721084197348618,0.6749781755780658,0.5733120854276713,0.6721618034870935,A+V_20_Middle,A+V,20,Middle
