scenario_id,hybrid_accuracy,hybrid_macro_f1,hybrid_mae_raw,hybrid_pearson_raw,hybrid_mae_calibrated,hybrid_pearson_calibrated,seed_2028_accuracy,seed_2028_macro_f1,seed_2028_mae_raw,seed_2028_pearson_raw,seed_2028_mae_calibrated,seed_2028_pearson_calibrated,modality_combination,missing_rate_percent
27,0.6098901098901099,0.6018919747581473,0.5760156304503863,0.6732331729519498,0.5765446995762351,0.6701495659777995,0.6098901098901099,0.6018919747581473,0.5760634728390109,0.6731721622230196,0.5768708988152199,0.6704349669924697,V,40
28,0.6098901098901099,0.602041806228968,0.5781000686093019,0.671643680234017,0.5779109451546447,0.6685460919220385,0.6098901098901099,0.602041806228968,0.5782768820709252,0.6716910071335047,0.5782848733508815,0.6689373461798985,V,50
29,0.614010989010989,0.6062372004711379,0.5774105797634347,0.6726497634895929,0.5773996115994323,0.6695271913512737,0.614010989010989,0.6062372004711379,0.5775949665355485,0.6727885335458529,0.5776726682465319,0.6700183828976687,V,50
30,0.6153846153846154,0.60815734414662,0.5789081335272435,0.6715840417219006,0.5788163314094255,0.6684635350993019,0.6153846153846154,0.60815734414662,0.579064748219245,0.6716439017765946,0.5792860154362989,0.6688692150802032,V,50
31,0.614010989010989,0.6048499994298164,0.5758372219586438,0.671957457171923,0.5760442911528624,0.6687367456978227,0.614010989010989,0.6048499994298164,0.576128162382232,0.6716802115542471,0.5765194232484305,0.6688135824711441,A+V,10
32,0.6181318681318682,0.6092128658843149,0.5757173873934445,0.6726109984531476,0.5757740145347603,0.6693403352611486,0.6181318681318682,0.6092128658843149,0.5758307785982941,0.6723517745095702,0.5760665752071438,0.6694422368163232,A+V,10
33,0.6208791208791209,0.6115531082465699,0.5746723931937755,0.6727772947238305,0.5749315347524462,0.6695366450926786,0.6208791208791209,0.6115531082465699,0.5750869421881961,0.6724992489610075,0.575470267220431,0.669610982914271,A+V,10
34,0.6153846153846154,0.6074264152418937,0.5745294391576733,0.6726729577919192,0.575310891327614,0.669602172715593,0.6153846153846154,0.6074264152418937,0.5746881984133314,0.6726614682079439,0.5756012629051949,0.6699389158975547,A+V,20
35,0.6126373626373627,0.6049469788126776,0.5731371386079015,0.6745768738066235,0.5742179881174814,0.6712861191723436,0.6126373626373627,0.6049469788126776,0.5736391023824831,0.6745304577354115,0.5745699499748075,0.6716037211929416,A+V,20
36,0.6181318681318682,0.6095012863291587,0.5756028404316076,0.67242604168419,0.5755980516668532,0.6692342939627246,0.6181318681318682,0.6095012863291587,0.5755237112701922,0.6724563451590388,0.5757734552846997,0.6696092292040177,A+V,20
37,0.614010989010989,0.6061665443564065,0.5739476393744513,0.673828734707833,0.5745515792299757,0.67075198124155,0.614010989010989,0.6061665443564065,0.5738699474873451,0.6738607822268703,0.5749351680849444,0.671120689989327,A+V,30
38,0.6126373626373627,0.6047966011852458,0.575975289895803,0.670916122373034,0.5770055090739177,0.6677523689004897,0.6126373626373627,0.6047966011852458,0.5763087412854145,0.6709378508877519,0.577422850718947,0.668114431921576,A+V,30
39,0.6112637362637363,0.6041300662659886,0.5751251240066447,0.6723875367491198,0.575995744956293,0.6692941982572345,0.6112637362637363,0.6041300662659886,0.5753330883293689,0.672546175860675,0.5762964435349945,0.6697923209215254,A+V,30
40,0.6057692307692307,0.5997880371026151,0.5751585074055653,0.6726797911187169,0.5756969007793036,0.6696033731302862,0.6057692307692307,0.5997880371026151,0.5753298775385042,0.6729736154533674,0.5759720084068704,0.670254545189037,A+V,40
41,0.6071428571428571,0.6008456005352197,0.5753543794851055,0.6719676274924311,0.5756684544331425,0.6689118807384029,0.6071428571428571,0.6008456005352197,0.5753498987223093,0.6719785030613344,0.575921389784541,0.6692729610157826,A+V,40
42,0.6098901098901099,0.6041356770023211,0.5758623233412976,0.6717557151516192,0.5766316980188692,0.6686695006682928,0.6098901098901099,0.6041356770023211,0.5760650718482313,0.6720407476011194,0.577014177471645,0.6693094380479093,A+V,40
43,0.6057692307692307,0.600341637196132,0.5778932390018152,0.6707644090668221,0.5785208246751801,0.6676366269806565,0.6057692307692307,0.600341637196132,0.5780368445052223,0.6710026415164394,0.5789452341928423,0.6682160028579947,A+V,50
44,0.6112637362637363,0.6052953304672326,0.5776061934961395,0.6692307440323582,0.578681175822216,0.6661503722190611,0.6112637362637363,0.6052953304672326,0.5778815544282014,0.669483806831593,0.5790413012564346,0.6667502063990337,A+V,50
