sample_index,sample_id,word_index,word,wordpiece_tokens,wordpiece_start,wordpiece_end,signed_cls_effect,classification_sensitivity,support_cls,regression_effect,combined_score,combined_score_w1,combined_score_w2,combined_score_w3
12,12,24,their,their,25,25,0.393798828125,0.393798828125,0.393798828125,0.11302083730697632,0.030381598735094884,0.026498996044324187,0.02612830431794478,0.036118025740154436
12,12,25,own,own,26,26,0.5322265625,0.5322265625,0.5322265625,0.19531245032946268,0.04528195935863528,0.054403886519211256,0.04927933961109737,0.036275799707335105
12,12,26,",",",",27,27,0.4398600260416667,0.4398600260416667,0.4398600260416667,0.17773430546124777,0.03904152267250839,0.03214578997146646,0.03952690796748298,0.0429985872963547
12,12,27,they,they,28,28,0.20621744791666666,0.20621744791666666,0.20621744791666666,0.0881509780883789,0.01878207788257863,0.008796827481990836,0.01631947025849686,0.027057532305331443
12,12,28,have,have,29,29,0.08626302083333333,0.15559895833333331,0.12093098958333333,0.07916667064030965,0.013738563925417557,0.01143357360674196,0.011272826084727482,0.017084685198897356
12,12,29,let,let,30,30,-0.09684244791666667,0.11572265625,0.009440104166666666,0.09479169050852458,0.00985949845241765,0.017052396431766,0.00568988632707864,0.008777364246443228
12,12,30,their,their,31,31,-0.18147786458333334,0.18147786458333334,0.0,0.11979162693023682,0.011878936404516295,0.017356875300593315,0.007586527161243194,0.011900363069530732
12,12,31,credit,credit,32,32,-0.14957682291666669,0.14957682291666669,0.0,0.1372395952542623,0.013609135012051842,0.01248479522297606,0.015647223574881283,0.012701934275545494
12,12,32,sag,sa ##g,33,34,-0.11702473958333334,0.15511067708333334,0.01904296875,0.15651031335194904,0.016447286254206127,0.02557854818360675,0.015884299157224974,0.011408228572812385
12,12,33,",",",",35,35,0.138427734375,0.15665690104166666,0.14754231770833334,0.07643228769302368,0.01476311975033648,0.010535218347541512,0.01790566148884654,0.014972575897781237
12,12,34,and,and,36,36,0.20157877604166669,0.21329752604166669,0.20743815104166669,0.08085940281550089,0.018118457082015205,0.008141176850822236,0.013638246743537561,0.028110036292655023
12,12,35,credit,credit,37,37,0.13370768229166666,0.2606608072916667,0.19718424479166669,0.13697920242945352,0.023184220191127626,0.01857493016802931,0.016966012206241447,0.03138642685237231
12,12,36,scores,scores,38,38,0.451904296875,0.451904296875,0.451904296875,0.18632800380388895,0.040480138297040176,0.03699919472173023,0.042919728892790054,0.040668328714578934
12,12,37,is,is,39,39,0.597412109375,0.597412109375,0.597412109375,0.2699218690395355,0.0558543637933213,0.054295419384901816,0.0485576065007131,0.06260408854485768
12,12,38,very,very,40,40,0.5282389322916666,0.5282389322916666,0.5282389322916666,0.220182200272878,0.047553968701451996,0.010921363315976026,0.04895876335109977,0.0695568643176699
12,12,39,low,low,41,41,0.659912109375,0.659912109375,0.659912109375,0.3126300672690074,0.06313257767956795,0.07868853169057319,0.06468408008817808,0.05208612244092713
12,12,40,.,.,42,42,0.2626139322916667,0.2626139322916667,0.2626139322916667,0.10807284712791443,0.023503543178432507,0.02472913302466778,0.035247169717652294,0.013374971730070122
13,13,0,for,for,1,1,0.5013834635416666,0.5013834635416666,0.5013834635416666,0.04003906498352686,0.060382887365246385,0.087059387232177,0.07365266142074404,0.029083442297571035
13,13,1,example,example,2,2,0.642333984375,0.642333984375,0.642333984375,0.052018227676550545,0.07791510306312328,0.09211657630665318,0.09951211058616274,0.04604570720552953
13,13,2,",",",",3,3,0.4370930989583333,0.4370930989583333,0.4370930989583333,0.03001300742228826,0.04887148712875681,0.020552668790125114,0.04846197406200884,0.06778626019556652
13,13,3,i,i,4,4,0.4763997395833333,0.4763997395833333,0.4763997395833333,0.05152992904186249,0.06776348532271238,0.09057794137274655,0.06202657411879509,0.05794940551366551
13,13,4,could,could,5,5,0.6624348958333334,0.6624348958333334,0.6624348958333334,0.05730793625116348,0.08317440777937668,0.0990423297165953,0.08459207177103169,0.07171278999536213
13,13,5,take,take,6,6,0.484619140625,0.484619140625,0.484619140625,0.03383788963158925,0.05461796281656645,0.033774383155649255,0.05775742595028471,0.06555888054413014
13,13,6,a,a,7,7,0.35563151041666663,0.35563151041666663,0.35563151041666663,0.02817382663488388,0.042655577984380015,0.02221868548886318,0.04245271373421021,0.05649575253334358
13,13,7,set,set,8,8,-0.0352783203125,0.32303873697916663,0.14388020833333334,0.02545573314030965,0.028087000026563072,0.02524384520494448,0.030570949909356243,0.02659314631806583
13,13,8,of,of,9,9,0.0281982421875,0.18729654947916669,0.10774739583333334,0.011083975434303284,0.01488652743619272,0.023750309794175715,0.006232481491683555,0.017133780632566983
13,13,9,data,data,10,10,0.1474609375,0.21842447916666669,0.18294270833333334,0.006429029007752736,0.015730281223275473,0.02011936329152041,0.016829331433944127,0.011983937835558513
13,13,10,and,and,11,11,0.2925618489583333,0.2925618489583333,0.2925618489583333,0.008902994294961294,0.02409402503654457,0.023107340289045958,0.028141580905513566,0.021174826130339587
13,13,11,from,from,12,12,0.255126953125,0.255126953125,0.255126953125,0.019059238334496815,0.029712929935049807,0.0405888436639639,0.032856751849813313,0.019393334924961723
13,13,12,that,that,13,13,0.12565104166666666,0.15787760416666666,0.14176432291666666,0.0211588516831398,0.02465208286971757,0.037728292202903385,0.025825562832812104,0.014496890235222652
13,13,13,data,data,14,14,-0.13521321614583331,0.14725748697916669,0.006022135416666667,0.012906891604264576,0.010298091221989042,0.01319561551802459,0.01344521365701963,0.004963066412320867
13,13,14,",",",",15,15,-0.1236572265625,0.1529541015625,0.0146484375,0.008496098220348358,0.007408256219914082,0.014056253377528676,0.004245852885009918,0.005727093486005136
13,13,15,i,i,16,16,-0.09187825520833334,0.12117513020833334,0.0146484375,0.00690104067325592,0.006179442572062312,0.0,0.0050545904405798715,0.011625588755906115
13,13,16,can,can,17,17,0.017578124999999997,0.12402343750000001,0.07080078125,0.01715496430794398,0.017386965003983068,0.02474529627547176,0.011120114394661583,0.019650288486380223
13,13,17,find,find,18,18,-0.10026041666666669,0.10026041666666669,0.0,0.024007176359494526,0.018494847418330556,0.011761350400418527,0.019308541653169455,0.022496583203392918
13,13,18,a,a,19,19,0.06510416666666666,0.15266927083333334,0.10888671875,0.023583988348642983,0.024583510187297694,0.02725883575251377,0.020023054922892938,0.02773806495084879
13,13,19,relationship,relationship,20,20,0.14477539062499997,0.188232421875,0.16650390625,0.011995444695154827,0.019050147877868268,0.008149448345035105,0.01980994267512337,0.02595479601839637
13,13,20,between,between,21,21,0.20003255208333331,0.20166015625,0.20084635416666666,0.015218096474806467,0.023556006781878695,0.017051153460381142,0.022294689925130593,0.030146247754760654
13,13,21,any,any,22,22,0.27978515625,0.2814127604166667,0.2805989583333333,0.019775390625000003,0.031765239754497625,0.03344736556652424,0.030050904375098372,0.0335089138774679
13,13,22,two,two,23,23,0.4891764322916667,0.4891764322916667,0.4891764322916667,0.02124022444089254,0.04518134610641196,0.06433404272478874,0.03380828082528513,0.04548141333926162
13,13,23,of,of,24,24,0.3604329427083333,0.3604329427083333,0.3604329427083333,0.01793618748585383,0.03505148038327522,0.021876634725358887,0.03240438466951972,0.04636953130207866
13,13,24,the,the,25,25,0.30891927083333337,0.30891927083333337,0.30891927083333337,0.015364589790503185,0.030035603055078724,0.012811464587083925,0.026078113869356025,0.045003627549971725
13,13,25,given,given,26,26,0.4573567708333333,0.4573567708333333,0.4573567708333333,0.011914059519767761,0.03612203336112373,0.02880644317982719,0.033925800394632055,0.04300906263006374
13,13,26,factors,factors,27,27,0.5419921875,0.5419921875,0.5419921875,0.022102855145931244,0.048957362991462,0.04863601537241191,0.048843506551205354,0.04816086453077749
13,13,27,or,or,28,28,0.49259440104166663,0.49259440104166663,0.49259440104166663,0.016927073399225872,0.04205990279974988,0.039974990559971106,0.0395732322022355,0.04544770978377751
13,13,28,more,more,29,29,0.22554524739583334,0.2570393880208333,0.24129231770833334,0.009960937003294628,0.021888685809273247,0.007114367332748992,0.02422734040845445,0.028748236797613444
13,13,29,.,.,30,30,0.020222981770833336,0.07710774739583334,0.048665364583333336,0.008528647323449453,0.009437320468298736,0.010900756312548023,0.006874246084265798,0.010560756759093121
14,14,0,he,he,1,1,0.13321940104166666,0.13321940104166666,0.13321940104166666,0.038346352676550545,0.01137399596635652,0.02240796029701958,0.00789133322543014,0.009327562129757655
14,14,1,is,is,2,2,0.020263671874999997,0.197998046875,0.10913085937499999,0.03658854216337204,0.010143422980977613,0.007322325007838615,0.010856961457415671,0.010323701352972059
14,14,2,the,the,3,3,0.049153645833333336,0.12825520833333331,0.08870442708333331,0.02470703174670537,0.007441578280130217,0.0017228961357597375,0.004887190107863508,0.011258314202687232
14,14,3,co,co,4,4,-0.10050455729166669,0.136962890625,0.018229166666666668,0.028580730160077412,0.005280315676937643,0.010911701085593474,0.0034489558637068804,0.003779140684057879
14,14,4,-,-,5,5,-0.152587890625,0.17374674479166666,0.010579427083333334,0.02835286408662796,0.00494224936336494,0.006460876939958747,0.005469057832065339,0.0038074088903048767
14,14,5,founder,founder,6,6,-0.021402994791666685,0.333251953125,0.15592447916666666,0.06790364782015483,0.01698669402493841,0.012778181027588596,0.003941663844236435,0.026742592679635503
14,14,6,of,of,7,7,0.46215820312499994,0.574951171875,0.5185546875,0.1230468600988388,0.04008918646417069,0.0025843551575460938,0.06229637910271947,0.03957563539763999
14,14,7,rossen,ross ##en,8,9,1.4812825520833333,1.4812825520833333,1.4812825520833333,0.3344075232744217,0.11179075184315435,0.2756178997605281,0.10376313588525694,0.05767125143863357
14,14,8,and,and,10,10,0.6551920572916666,0.6551920572916666,0.6551920572916666,0.1697916587193807,0.052938343221230165,0.0257762373929919,0.059537117316297,0.059190037432555576
14,14,9,vettese,vet ##tes ##e,11,13,0.7362467447916667,0.7362467447916667,0.7362467447916667,0.1791340857744217,0.057626091569561874,0.05002818855940527,0.07017006552253259,0.052610789688477565
14,14,10,limited,limited,14,14,0.982177734375,0.982177734375,0.982177734375,0.19430334866046906,0.06974637320596243,0.08775301871638344,0.08221036106186189,0.05586987123526986
14,14,11,and,and,15,15,0.4392903645833333,0.6150716145833334,0.5271809895833334,0.11298826585213344,0.03882408925995529,0.015936827594450278,0.04340248702889743,0.04329080515316716
14,14,12,the,the,16,16,0.5770670572916666,0.5770670572916666,0.5770670572916666,0.1091145599881808,0.040173328900326676,0.028426508145891274,0.04125212388016559,0.044094315182717864
14,14,13,former,former,17,17,0.6000162760416666,0.6000162760416666,0.6000162760416666,0.12734370927015942,0.043987728398475576,0.07735017413921422,0.04071620332152369,0.034162164576472434
14,14,14,executive,executive,18,18,0.29825846354166663,0.29923502604166663,0.29874674479166663,0.06943357984224954,0.022863664385354726,0.0012921775787730469,0.02335503013316171,0.03077792829875961
14,14,15,director,director,19,19,0.4830729166666667,0.4830729166666667,0.4830729166666667,0.11588538189729054,0.037546869375083905,0.053506834885845636,0.03149198101929632,0.036104789462813466
14,14,16,of,of,20,20,0.560546875,0.560546875,0.560546875,0.13313799599806467,0.04335583111337608,0.03571538918463806,0.050446736235911296,0.04205574363200319
14,14,17,uniform,uniform,21,21,0.8007812500000001,0.8007812500000001,0.8007812500000001,0.17975255846977234,0.06026998814267645,0.05032621280256404,0.05559976984308916,0.06782567763000365
14,14,18,final,final,22,22,0.84814453125,0.84814453125,0.84814453125,0.18977861106395721,0.06373807752086144,0.01898413258801354,0.07451352898839986,0.0740172816496498
14,14,19,examination,examination,23,23,0.7996419270833334,0.7996419270833334,0.7996419270833334,0.18893226484457654,0.06169009896350107,0.037648156196739405,0.06240999448595125,0.07079476290607638
14,14,20,(,(,24,24,0.28938802083333337,0.5530598958333333,0.42122395833333337,0.128580704331398,0.037133717732594655,0.015218952378899305,0.019509962071639953,0.056567069879858795
14,14,21,ufe,u ##fe,25,26,0.13248697916666669,0.41959635416666663,0.27604166666666663,0.09638670583566031,0.02626980604361529,0.015936827594450278,0.01536937533901,0.03669965443441776
14,14,22,),),27,27,0.17919921875,0.22021484375,0.19970703125,0.04941405852635702,0.015762578558068785,0.0029929780244973767,0.010195941543449681,0.02424099934508209
14,14,23,courses,courses,28,28,0.001953125000000007,0.119140625,0.060546875,0.02151693155368169,0.005821938915090049,0.008470929734282765,0.0016266741689332652,0.007039359290350031
14,14,24,at,at,29,29,0.21761067708333331,0.2986653645833333,0.2581380208333333,0.0456054483850797,0.017459212302290382,0.007322325007838615,0.02309038333686214,0.01687769197931209
14,14,25,toronto,toronto,30,30,0.617431640625,0.617431640625,0.617431640625,0.08281249304612477,0.037567570865270176,0.05622293392220226,0.04212613344667383,0.028550489204766577
14,14,26,',',31,31,0.13232421875,0.5203450520833333,0.32633463541666663,0.08723958084980646,0.026793476709449864,0.01938263081987624,0.02613121367283161,0.028793160155187476
14,14,27,s,s,32,32,-0.13525390625,0.4029947916666667,0.13387044270833331,0.07509765028953552,0.017265034293192084,0.01895190130898306,0.010740767041191025,0.020068314171954302
