sample_index,sample_id,shapley_T,shapley_A,shapley_V,local_T,local_A,local_V,shapley_main,local_main,top1_agreement,spearman_rank,l1_distance,pearson_aux
39,128059$_$12,0.7858166436131202,0.0928669684196788,0.1213163879672009,0.9320951750480699,0.006090819246240787,0.06181400570568925,T,T,True,1.0,0.2925570628698994,0.9998487185575737
40,128059$_$2,0.4132060445133971,0.0825755952520594,0.5042183602345434,0.5258703813476637,0.005107700013317917,0.4690219186390184,V,T,False,0.5,0.2253286736685331,0.9534782602852339
41,128059$_$7,0.4036794640649627,0.123186722514044,0.4731338134209932,0.019647529416028865,0.9646727497335065,0.0156797208504648,V,A,False,-1.0,1.6829720544389246,-0.9829506673867205
42,128059$_$6,0.6066362701552694,0.0205969492317288,0.3727667806130016,0.49154390171146517,0.016405135475025503,0.4920509628135093,T,V,False,0.5,0.23856836440101525,0.9177178700865738
43,128059$_$9,0.4245725492319355,0.0259197843242702,0.5495076664437941,0.6125436436430772,0.015757598226216807,0.37169875813070585,V,T,False,0.5,0.37594218882228336,0.8001939103164121
44,128763$_$12,0.908642039005328,0.0176349352148629,0.0737230257798092,0.7876334108931751,0.01176250098315023,0.20060408812367483,T,T,True,1.0,0.2537621246877313,0.9839672953845991
45,128763$_$3,0.8971677042435918,0.0039378394503521,0.098894456306056,0.9357420024008628,0.026543727791653884,0.037714269807483373,T,T,True,1.0,0.12236037299714539,0.996285125864029
46,128763$_$2,0.7143469918503249,0.0206313109694605,0.2650216971802145,0.3565529700142088,0.09281980723364976,0.5506272227521414,T,V,False,0.5,0.7155880436722322,0.4280093404433502
47,128763$_$5,0.5996040621936027,0.0305953516811927,0.3698005861252045,0.8706356060630458,0.023693304810227543,0.1056710891267267,T,T,True,1.0,0.5420630877388861,0.8544575609368154
48,128763$_$7,0.8644131276976947,0.0201390883724233,0.1154477839298818,0.7662043617285778,0.028254811162478986,0.20554082710894317,T,T,True,1.0,0.19641753193823402,0.9916974880387239
49,128763$_$8,0.7307711736546746,0.0876884517668475,0.1815403745784778,0.752516629898267,0.09285300636455586,0.15463036373717726,T,T,True,1.0,0.05382002168260126,0.9987191524347941
50,130456$_$11,0.6009485925732918,0.0529552736053529,0.3460961338213553,0.6873300361933864,0.02529111362842917,0.28737885017818454,T,T,True,1.0,0.17276288724018907,0.9872318668403388
51,130456$_$3,0.8372347351237149,0.1140844045940978,0.0486808602821871,0.9124865344853411,0.027148775010473917,0.060364690504185026,T,T,True,0.5,0.173871259167248,0.994184719408709
52,130456$_$5,0.9262687883751226,0.0316277604272803,0.042103451197597,0.962891461403809,0.01541499533373961,0.02169354326245135,T,T,True,1.0,0.07324534605737272,0.9999901335905913
53,130456$_$4,0.6384246864030668,0.0715409554436748,0.2900343581532582,0.7704315807068904,0.16232698629117048,0.06724143300193904,T,T,True,0.5,0.4455858503026385,0.8693015429359776
54,130456$_$7,0.8010564468632307,0.1083796641617124,0.0905638889750566,0.9010622296870073,0.06005888161184341,0.03887888870114921,T,T,True,1.0,0.20001156564755296,0.9999998976790526
55,130456$_$6,0.7685209989071569,0.0829083179536589,0.1485706831391842,0.8666276835858869,0.013600025095848192,0.11977229131826478,T,T,True,1.0,0.1962133693574602,0.99962057494928
56,188343$_$13,0.5924295216240894,0.0347937363236536,0.3727767420522569,0.9729395620202926,0.008814720917355592,0.018245717062351608,T,T,True,1.0,0.7610200807924066,0.8038884381433713
57,188343$_$12,0.944493543779532,0.0117662116155759,0.0437402446048921,0.8671749738518589,0.049108440385574444,0.08371658576256669,T,T,True,1.0,0.1546371398553462,0.999973970116391
58,188343$_$5,0.7445827540777603,0.0550083710831748,0.2004088748390649,0.832610685275666,0.027658067498428626,0.13973124722590546,T,T,True,1.0,0.17605586239581122,0.997374436773046
59,188343$_$9,0.3886779569053183,0.0401673574190844,0.5711546856755971,0.5478203944905726,0.02791598120629111,0.4242636243031362,V,T,False,0.5,0.3182848751705085,0.8394937859747028
60,188343$_$8,0.8862136569666955,0.0140574736992087,0.0997288693340957,0.5766634845150506,0.11309416663484514,0.3102423488501043,T,T,True,1.0,0.61910034490329,0.9399506576009656
61,1HK7Nea0PFo$_$1,0.7950497010586013,0.0185475685548172,0.1864027303865814,0.7496272559241136,0.04835880380220211,0.2020139402736843,T,T,True,1.0,0.09084489026897549,0.999995285486922
62,216097$_$1,0.9664782855633268,0.0198243777097812,0.0136973367268917,0.9673789863126081,0.005443225838925282,0.02717778784846652,T,T,True,0.5,0.028762303741712018,0.999678057835013
63,216097$_$2,0.6779879735148394,0.1418537852387051,0.1801582412464554,0.8620543499052847,0.13106017394908226,0.006885476145633077,T,T,True,0.5,0.36813275278089047,0.9802940421857612
64,216097$_$5,0.6909556829942012,0.0663081953082331,0.2427361216975656,0.9340046396467169,0.05984254853463812,0.006152811818644946,T,T,True,0.5,0.4860979133050313,0.94635325159139
65,216097$_$4,0.8104421869044307,0.0257869456360341,0.1637708674595351,0.6397198547289484,0.019370694478536815,0.34090945079251483,T,T,True,1.0,0.3542771666659593,0.9289239343844696
66,216097$_$7,0.7942558546868672,0.0660975669910565,0.1396465783220763,0.8873671619037701,0.0793596840793727,0.033273154016857265,T,T,True,0.5,0.2127468486104381,0.9902359174065138
67,216097$_$8,0.957005627165504,0.0339242182136328,0.0090701546208633,0.9846704139890088,0.01052249225810011,0.004807093752891162,T,T,True,1.0,0.05532957364700964,0.9998391203990409
68,223431$_$11,0.8262021876425449,0.0179238315471165,0.1558739808103384,0.8741845876649168,0.021357583693511,0.10445782864157224,T,T,True,1.0,0.10283230433753253,0.9974282012272355
69,223431$_$10,0.7367569953424777,0.1556755693713613,0.107567435286161,0.9807582345923777,0.00825067287730072,0.010991092530321732,T,T,True,0.5,0.4880024784997997,0.9974674781232521
70,223431$_$13,0.9084630677555126,0.0118933703623413,0.0796435618821461,0.8897878946181332,0.026172247495309903,0.08403985788655689,T,T,True,1.0,0.03735034627475872,0.9999684898026141
71,223431$_$0,0.5763199298696382,0.0394623178124079,0.3842177523179538,0.0699002421851202,0.19477954349075893,0.735320214324121,T,V,False,-0.5,1.0128393753690361,-0.014753600374884936
72,223431$_$5,0.2897165985588673,0.4106457748082176,0.299637626632915,0.49883205696465216,0.4971766708279647,0.0039912722073831945,A,T,False,-0.5,0.5912927088510638,0.43203150478281327
73,225770$_$3,0.6756731552987065,0.1605626927685982,0.1637641519326953,0.834270821455112,0.025089176471428994,0.14064000207345903,T,T,True,1.0,0.31719533231281094,0.9919465017939691
74,225770$_$5,0.5204109827621017,0.1537212217712524,0.3258677954666458,0.5814891791297323,0.013736489725661093,0.4047743311446067,T,T,True,1.0,0.27996946409118273,0.9689522416972801
75,225770$_$4,0.7376822507646027,0.0819950481018552,0.1803227011335419,0.03466332127261197,0.921982159416279,0.043354519311109056,T,A,False,-1.0,1.6799742226288474,-0.622245985617454
76,225770$_$6,0.702170898382223,0.0669119261826986,0.2309171754350782,0.8442982659103676,0.01394250401333151,0.14175923007630092,T,T,True,1.0,0.28425473505628895,0.9941883779606789
77,236021$_$12,0.3455774387173874,0.0878732120925887,0.5665493491900239,0.5237592778570156,0.12391028918908135,0.352330432953903,V,T,False,0.5,0.42843783247224176,0.605170519741056
78,236021$_$1,0.6743662230809773,0.1724911484051034,0.1531426285139192,0.8740405899088383,0.021099812640990284,0.10485959745017148,T,T,True,0.5,0.3993487336557218,0.9925741558827229
79,236021$_$3,0.9145953298740828,0.0176531767678329,0.0677514933580842,0.8504857674538404,0.023398307672779308,0.12611592487338033,T,T,True,1.0,0.1282191248404849,0.9979234753051079
80,236021$_$2,0.6585723129665709,0.0883556704223044,0.2530720166111246,0.7834867176552791,0.012197097441680908,0.20431618490303996,T,T,True,1.0,0.24982880937741633,0.9990809992816586
81,236021$_$5,0.6096601248164639,0.0081159210871933,0.3822239540963428,0.6357755096615559,0.05371062295298946,0.31051386738545456,T,T,True,1.0,0.14342017342177643,0.9785173550282624
82,236021$_$4,0.8577695557180202,0.086212457532864,0.0560179867491157,0.8213083515480395,0.0526871872861356,0.12600446116582487,T,T,True,0.5,0.1399729488334182,0.9928375903229673
83,237009$_$11,0.7699715035566556,0.0259825572738477,0.2040459391694967,0.7724714881302822,0.03511696542595708,0.19241154644376074,T,T,True,1.0,0.023268785451472002,0.999627131418866
84,237009$_$12,0.8470266914981595,0.0044424050046802,0.1485309034971602,0.8231956386520909,0.01699588144588833,0.15980847990202085,T,T,True,1.0,0.04766210569213736,0.9999807470244482
85,237009$_$4,0.6562000972722659,0.1300781196040561,0.2137217831236779,0.8664705376099369,0.11279065560847094,0.02073880678159209,T,T,True,0.5,0.4205408806753419,0.9694474015073494
86,237009$_$7,0.8717502149732911,0.0293827566853489,0.0988670283413599,0.8990242814706527,0.01961435211080942,0.08136136641853779,T,T,True,1.0,0.05454813299472322,0.9999346224905993
87,237009$_$9,0.8225866488791661,0.0356052912624781,0.1418080598583557,0.8611725617894423,0.043925928050775664,0.09490151015978195,T,T,True,1.0,0.09381309939714758,0.9976220541512044
88,241629$_$10,0.9612378559020583,0.0185663998839875,0.020195744213954,0.7566254386852058,0.09479942818002347,0.14857513313477072,T,T,True,1.0,0.40922483443370516,0.9974293498969452
89,241629$_$0,0.883505376151495,0.0282805178410293,0.0882141060074756,0.9509094708920713,0.017717468605292813,0.03137306050263578,T,T,True,1.0,0.1348081894811526,0.9987479551201872
90,241629$_$3,0.7483132426446286,0.0284799161939156,0.2232068411614558,0.8495761720184809,0.06915935610736124,0.0812644718741578,T,T,True,1.0,0.28388473857459595,0.9686569935421965
91,241629$_$5,0.7990808153248432,0.054954896108547,0.1459642885666098,0.8623466977664762,0.02568526297187215,0.11196803926165158,T,T,True,1.0,0.1265317648832661,0.9998297593062736
