sample_index,sample_id,main_modality,comparison,top_interval_overlap_iou,top20_jaccard,rank_spearman,baseline_agreement,multiscale_stability_threshold,sample_multiscale_stable,explanation_stability
287,E8MuzHUhUHk$_$14,V,w3_vs_w5,1.0,0.6,0.9917440660474718,False,0.4094276094276094,True,Moderate
287,E8MuzHUhUHk$_$14,V,w1_vs_w5,0.3333333333333333,0.3333333333333333,0.894736842105263,False,0.4094276094276094,True,Moderate
288,E8MuzHUhUHk$_$16,T,w1_vs_w2,0.6666666666666666,0.5,0.7903667214012041,True,0.4094276094276094,False,Moderate
288,E8MuzHUhUHk$_$16,T,w2_vs_w3,0.42857142857142855,0.5,0.8336070060207991,True,0.4094276094276094,False,Moderate
288,E8MuzHUhUHk$_$16,T,w1_vs_w3,0.2857142857142857,0.2,0.4980842911877395,True,0.4094276094276094,False,Moderate
289,E8MuzHUhUHk$_$2,V,w1_vs_w3,1.0,0.7142857142857143,0.7692326770428112,False,0.4094276094276094,True,Moderate
289,E8MuzHUhUHk$_$2,V,w3_vs_w5,0.8,0.7142857142857143,0.9075055697688219,False,0.4094276094276094,True,Moderate
289,E8MuzHUhUHk$_$2,V,w1_vs_w5,0.8,0.5,0.6112075977739723,False,0.4094276094276094,True,Moderate
290,E8MuzHUhUHk$_$9,V,w1_vs_w3,1.0,0.42857142857142855,0.6602389363787742,False,0.4094276094276094,True,Moderate
290,E8MuzHUhUHk$_$9,V,w3_vs_w5,0.5714285714285714,0.6666666666666666,0.6615384615384615,False,0.4094276094276094,True,Moderate
290,E8MuzHUhUHk$_$9,V,w1_vs_w5,0.5714285714285714,0.42857142857142855,0.3291547707370511,False,0.4094276094276094,True,Moderate
291,EEjCkc82oyk$_$7,T,w1_vs_w2,0.6,0.42857142857142855,0.5076228119706382,True,0.4094276094276094,True,High
291,EEjCkc82oyk$_$7,T,w2_vs_w3,0.8333333333333334,0.6666666666666666,0.6702428006775834,True,0.4094276094276094,True,High
291,EEjCkc82oyk$_$7,T,w1_vs_w3,0.5,0.42857142857142855,0.1360813099943535,True,0.4094276094276094,True,High
292,EEjCkc82oyk$_$9,T,w1_vs_w2,0.5,0.25,0.3077922077922078,True,0.4094276094276094,False,Moderate
292,EEjCkc82oyk$_$9,T,w2_vs_w3,1.0,0.25,0.20519480519480518,True,0.4094276094276094,False,Moderate
292,EEjCkc82oyk$_$9,T,w1_vs_w3,0.5,0.25,-0.062337662337662345,True,0.4094276094276094,False,Moderate
293,EQxkXiWAm08$_$8,V,w1_vs_w3,0.5,0.2,-0.0577717190274766,True,0.4094276094276094,False,Moderate
293,EQxkXiWAm08$_$8,V,w3_vs_w5,0.6666666666666666,0.2,0.7417582417582418,True,0.4094276094276094,False,Moderate
293,EQxkXiWAm08$_$8,V,w1_vs_w5,0.3333333333333333,0.2,-0.3081158348132085,True,0.4094276094276094,False,Moderate
294,ET1cU5_A2YM$_$1,T,w1_vs_w2,0.3333333333333333,0.42857142857142855,0.6547826086956522,True,0.4094276094276094,False,Moderate
294,ET1cU5_A2YM$_$1,T,w2_vs_w3,0.0,0.25,0.7826086956521738,True,0.4094276094276094,False,Moderate
294,ET1cU5_A2YM$_$1,T,w1_vs_w3,0.0,0.25,0.5226086956521738,True,0.4094276094276094,False,Moderate
295,ET1cU5_A2YM$_$3,V,w1_vs_w3,1.0,1.0,0.8186813186813187,False,0.4094276094276094,True,Moderate
295,ET1cU5_A2YM$_$3,V,w3_vs_w5,0.6,0.5,0.9175824175824175,False,0.4094276094276094,True,Moderate
295,ET1cU5_A2YM$_$3,V,w1_vs_w5,0.6,0.5,0.7087912087912087,False,0.4094276094276094,True,Moderate
296,ET1cU5_A2YM$_$6,T,w1_vs_w2,0.5,0.3333333333333333,0.5699248120300752,True,0.4094276094276094,False,Moderate
296,ET1cU5_A2YM$_$6,T,w2_vs_w3,0.25,0.3333333333333333,0.3293233082706767,True,0.4094276094276094,False,Moderate
296,ET1cU5_A2YM$_$6,T,w1_vs_w3,0.3333333333333333,0.14285714285714285,0.1894736842105263,True,0.4094276094276094,False,Moderate
297,EmmuWoCUgXs$_$22,T,w1_vs_w2,0.25,0.2,0.6285714285714286,True,0.4094276094276094,False,Moderate
297,EmmuWoCUgXs$_$22,T,w2_vs_w3,1.0,0.5,0.8535714285714284,True,0.4094276094276094,False,Moderate
297,EmmuWoCUgXs$_$22,T,w1_vs_w3,0.25,0.2,0.5821428571428571,True,0.4094276094276094,False,Moderate
298,EmmuWoCUgXs$_$7,T,w1_vs_w2,1.0,0.5555555555555556,0.7897631779984722,True,0.4094276094276094,True,High
298,EmmuWoCUgXs$_$7,T,w2_vs_w3,0.6666666666666666,0.4,0.8267379679144383,True,0.4094276094276094,True,High
298,EmmuWoCUgXs$_$7,T,w1_vs_w3,0.6666666666666666,0.2727272727272727,0.6055003819709701,True,0.4094276094276094,True,High
299,Es9MkKsMsjU$_$10,T,w1_vs_w2,0.0,0.6,0.6596491228070176,True,0.4094276094276094,True,High
299,Es9MkKsMsjU$_$10,T,w2_vs_w3,0.25,0.3333333333333333,0.8122807017543859,True,0.4094276094276094,True,High
299,Es9MkKsMsjU$_$10,T,w1_vs_w3,0.0,0.3333333333333333,0.4666666666666667,True,0.4094276094276094,True,High
300,Es9MkKsMsjU$_$12,T,w1_vs_w2,0.6,0.3333333333333333,0.6093056193838529,True,0.4094276094276094,False,Moderate
300,Es9MkKsMsjU$_$12,T,w2_vs_w3,0.6,0.3333333333333333,0.6872586872586873,True,0.4094276094276094,False,Moderate
300,Es9MkKsMsjU$_$12,T,w1_vs_w3,1.0,0.45454545454545453,0.4518952322891228,True,0.4094276094276094,False,Moderate
301,Es9MkKsMsjU$_$2,T,w1_vs_w2,0.0,0.5,0.8106312292358804,True,0.4094276094276094,True,High
301,Es9MkKsMsjU$_$2,T,w2_vs_w3,0.8333333333333334,0.5,0.7783147085472667,True,0.4094276094276094,True,High
301,Es9MkKsMsjU$_$2,T,w1_vs_w3,0.0,0.2857142857142857,0.5276351555421323,True,0.4094276094276094,True,High
302,Es9MkKsMsjU$_$7,T,w1_vs_w2,0.4,0.4,0.6352941176470589,True,0.4094276094276094,False,Moderate
302,Es9MkKsMsjU$_$7,T,w2_vs_w3,0.8333333333333334,0.4,0.8969187675070028,True,0.4094276094276094,False,Moderate
302,Es9MkKsMsjU$_$7,T,w1_vs_w3,0.3333333333333333,0.4,0.4417366946778712,True,0.4094276094276094,False,Moderate
303,Ezn3p5FWF_U$_$4,T,w1_vs_w2,0.0,0.5,0.7047430830039525,True,0.4094276094276094,True,High
303,Ezn3p5FWF_U$_$4,T,w2_vs_w3,0.8571428571428571,0.8,0.9339920948616601,True,0.4094276094276094,True,High
303,Ezn3p5FWF_U$_$4,T,w1_vs_w3,0.0,0.6363636363636364,0.6530961791831356,True,0.4094276094276094,True,High
304,F1U26PLiXjM$_$1,V,w1_vs_w3,0.5,0.42857142857142855,0.4194805194805195,False,0.4094276094276094,True,Moderate
304,F1U26PLiXjM$_$1,V,w3_vs_w5,1.0,1.0,0.8714285714285716,False,0.4094276094276094,True,Moderate
304,F1U26PLiXjM$_$1,V,w1_vs_w5,0.5,0.42857142857142855,0.33896103896103896,False,0.4094276094276094,True,Moderate
305,F6JV-K840EY$_$2,T,w1_vs_w2,0.75,0.6,0.8902255639097743,True,0.4094276094276094,True,High
305,F6JV-K840EY$_$2,T,w2_vs_w3,0.75,0.6,0.9127819548872179,True,0.4094276094276094,True,High
305,F6JV-K840EY$_$2,T,w1_vs_w3,0.5,0.3333333333333333,0.7729323308270677,True,0.4094276094276094,True,High
306,FB_b1dm0SRY$_$10,T,w1_vs_w2,0.3333333333333333,0.25,0.2835160660254672,True,0.4094276094276094,False,Moderate
306,FB_b1dm0SRY$_$10,T,w2_vs_w3,0.0,0.42857142857142855,0.6861538461538461,True,0.4094276094276094,False,Moderate
306,FB_b1dm0SRY$_$10,T,w1_vs_w3,0.0,0.25,0.19503751082077594,True,0.4094276094276094,False,Moderate
307,FB_b1dm0SRY$_$0,V,w1_vs_w3,1.0,1.0,0.898119658119658,False,0.4094276094276094,True,Moderate
307,FB_b1dm0SRY$_$0,V,w3_vs_w5,0.5714285714285714,0.3333333333333333,0.9452991452991453,False,0.4094276094276094,True,Moderate
307,FB_b1dm0SRY$_$0,V,w1_vs_w5,0.5714285714285714,0.3333333333333333,0.7866666666666666,False,0.4094276094276094,True,Moderate
308,FB_b1dm0SRY$_$6,T,w1_vs_w2,1.0,0.5,0.35714285714285715,True,0.4094276094276094,False,Moderate
308,FB_b1dm0SRY$_$6,T,w2_vs_w3,0.0,0.0,0.10989010989010989,True,0.4094276094276094,False,Moderate
308,FB_b1dm0SRY$_$6,T,w1_vs_w3,0.0,0.0,-0.32967032967032966,True,0.4094276094276094,False,Moderate
309,FB_b1dm0SRY$_$9,T,w1_vs_w2,0.0,0.3333333333333333,0.31008547008547005,False,0.4094276094276094,False,Low
309,FB_b1dm0SRY$_$9,T,w2_vs_w3,1.0,0.3333333333333333,0.4393162393162393,False,0.4094276094276094,False,Low
309,FB_b1dm0SRY$_$9,T,w1_vs_w3,0.0,0.2,0.2287179487179487,False,0.4094276094276094,False,Low
310,FB_b1dm0SRY$_$8,T,w1_vs_w2,0.5,0.3333333333333333,0.362406015037594,True,0.4094276094276094,True,High
310,FB_b1dm0SRY$_$8,T,w2_vs_w3,0.8,1.0,0.7624060150375939,True,0.4094276094276094,True,High
310,FB_b1dm0SRY$_$8,T,w1_vs_w3,0.4,0.3333333333333333,0.07518796992481201,True,0.4094276094276094,True,High
