sample_index,cosine_similarity,relative_l2_error,max_abs_error,mean_abs_error,sample_id
346,0.9999999773694909,0.00021285470630745567,0.0029163360595703125,7.50642620068002e-05,JVpF99zuQhA$_$0
347,0.9999999781132535,0.00020935113531435427,0.0038290023803710938,7.43867501071396e-05,JVpF99zuQhA$_$2
348,0.9999999791760817,0.00020411299971600296,0.0011820793151855469,6.75110352639317e-05,JVpF99zuQhA$_$4
349,0.9999999783045885,0.00020832615834276403,0.0029649734497070312,6.79128406810096e-05,K0m1tO3Ybyc$_$15
350,0.9999999780761394,0.00020947773185045986,0.001949310302734375,6.982506935576998e-05,K0m1tO3Ybyc$_$8
351,0.9999999778268529,0.00021066812487964868,0.0029649734497070312,6.857648777645123e-05,K8gp7ncdUl8$_$5
352,0.9999999767322649,0.00021622009323727807,0.0036249160766601562,6.914998379177935e-05,KDjl2exStlI$_$10
353,0.9999999787396034,0.00020625562881479374,0.0016956329345703125,7.84248859549604e-05,KDjl2exStlI$_$13
354,0.9999999772451907,0.00021353210081217764,0.0033788681030273438,7.156667434500193e-05,KDjl2exStlI$_$5
355,0.9999999778886028,0.00021041665190859072,0.0019445419311523438,7.213457115526012e-05,KDjl2exStlI$_$4
356,0.9999999775216124,0.00021203237768947734,0.0029163360595703125,6.879829878706624e-05,KkKWFZZmmCM$_$1
357,0.9999999785336047,0.00020720551204108295,0.0019130706787109375,7.158382879180199e-05,KpMCvUyQCXg$_$1
358,0.9999999778912847,0.0002103409874689233,0.0031061172485351562,7.326305804693018e-05,KpMCvUyQCXg$_$3
359,0.9999999793942148,0.00020311681364688322,0.0019044876098632812,6.704502102262599e-05,KpMCvUyQCXg$_$5
360,0.9999999779059978,0.00021021547753431695,0.0038738250732421875,6.808089464675633e-05,L1eFHRQGFeg$_$2
361,0.999999977803048,0.00021088221219959193,0.0028285980224609375,6.975843006015031e-05,MCsvw5-7lVE$_$1
362,0.9999999770031922,0.0002144889460694094,0.0027170181274414062,7.119954222275737e-05,MCsvw5-7lVE$_$2
363,0.9999999785283906,0.0002072420692603746,0.0024728775024414062,7.067866588637377e-05,MCsvw5-7lVE$_$4
364,0.9999999776975257,0.00021134166303591847,0.0035190582275390625,7.213588145494517e-05,MMpo2bDk-DU$_$10
365,0.9999999780462944,0.00020954513996665244,0.0035791397094726562,6.887370384283023e-05,MMpo2bDk-DU$_$17
366,0.9999999781460452,0.00020921199974627893,0.0031557083129882812,6.968126403506642e-05,MMpo2bDk-DU$_$16
367,0.9999999792145772,0.00020393050073364612,0.0016207695007324219,6.855572033158825e-05,MMpo2bDk-DU$_$19
368,0.9999999773447821,0.0002129452281633893,0.0019488334655761719,6.708393508304018e-05,MjaaudUc5-4$_$1
369,0.9999999794064341,0.00020392313488859056,0.0018215179443359375,6.35503167992398e-05,MjaaudUc5-4$_$0
370,0.9999999798151749,0.00020101539962789374,0.0017218589782714844,6.525143881348012e-05,MjaaudUc5-4$_$3
371,0.9999999754881757,0.00022178962535844408,0.0038785934448242188,6.306745351637567e-05,MjaaudUc5-4$_$6
372,0.999999978364686,0.0002080959968066538,0.0021905899047851562,7.423751787654404e-05,MoQmPA7Q07Q$_$1
373,0.9999999775267637,0.00021201098904378155,0.0033693313598632812,6.85133969740015e-05,MoQmPA7Q07Q$_$2
374,0.999999978246538,0.00020871729040353954,0.0036840438842773438,6.981902368983829e-05,N1X63d_jgmw$_$5
375,0.9999999790196795,0.00020484648671918772,0.0018472671508789062,6.591585279703726e-05,N5xfBtD6rLY$_$7
376,0.9999999783358697,0.00020818082202036508,0.0019011497497558594,7.218415381823698e-05,NoZsdSGnNpI$_$7
377,0.9999999776877267,0.00021125727650209025,0.0035419464111328125,7.167245321965374e-05,Nrurc5sMUOE$_$5
378,0.9999999779244734,0.0002106879679747279,0.0032453536987304688,6.519690846702539e-05,Nrurc5sMUOE$_$7
379,0.9999999777488124,0.00021099524576247505,0.001918792724609375,6.942688953840037e-05,Nrurc5sMUOE$_$8
380,0.9999999778924947,0.000210360664754769,0.0021734237670898438,7.096431578519418e-05,NzvNW7vP-Co$_$5
381,0.9999999787926814,0.00020656661388827137,0.0019502639770507812,6.600990379276347e-05,NzvNW7vP-Co$_$4
382,0.9999999787463696,0.00020625223308310512,0.0019178390502929688,6.824583981783391e-05,NzvNW7vP-Co$_$7
383,0.9999999773020118,0.0002131756462487745,0.0038394927978515625,6.847442768914577e-05,OLP0nCKwU6k$_$6
384,0.9999999771576904,0.00021374930108215894,0.0035696029663085938,6.988145356129057e-05,OrYBtyO0aPI$_$1
385,0.9999999792745895,0.00020360994230884933,0.0022792816162109375,7.629122337367751e-05,OrYBtyO0aPI$_$4
386,0.9999999788865302,0.00020672975074393648,0.0019049644470214844,6.476995419154955e-05,PboaYD5hlG8$_$10
387,0.9999999787369409,0.00020640469336030115,0.0018239021301269531,5.986411717728651e-05,PboaYD5hlG8$_$3
388,0.9999999782914678,0.0002083680548356181,0.0019521713256835938,6.56432107898876e-05,PboaYD5hlG8$_$2
389,0.9999999767797539,0.00021560769410252097,0.00295257568359375,6.241681519686854e-05,PboaYD5hlG8$_$7
390,0.9999999783507411,0.00020830487765371964,0.0019321441650390625,6.757476327778681e-05,PboaYD5hlG8$_$9
391,0.9999999772338292,0.0002133990791565179,0.003414154052734375,6.850688314849712e-05,PboaYD5hlG8$_$8
392,0.9999999770470891,0.00021454003670737254,0.0032825469970703125,6.910725536581321e-05,Pt-D0LUHDSc$_$2
393,0.9999999774636791,0.00021241344343451125,0.0037412643432617188,7.071454483042397e-05,PwapK9d8IGk$_$4
394,0.9999999784823816,0.00020747731254202898,0.0018482208251953125,6.392832847892853e-05,PyQrAYl1bFs$_$0
395,0.9999999779484414,0.00021007507630013022,0.0022974014282226562,6.874549844700557e-05,PyQrAYl1bFs$_$3
396,0.9999999793292571,0.00020350935999005558,0.0019292831420898438,6.580274996243888e-05,PyQrAYl1bFs$_$4
397,0.9999999786858429,0.00020650059179833623,0.0023241043090820312,6.604226297554701e-05,Q4WzApjaCNI$_$0
398,0.9999999799513454,0.00020025859654091346,0.0013890266418457031,6.899148341409737e-05,Q7S0tX4FUNA$_$4
399,0.999999976426979,0.00021785980899993916,0.0034132003784179688,6.438900852047248e-05,Q7S0tX4FUNA$_$7
400,0.9999999782518165,0.0002086420822458524,0.002544403076171875,7.342159210886465e-05,Q7S0tX4FUNA$_$8
401,0.9999999783947987,0.00020787117568369263,0.0018987655639648438,7.155035102650064e-05,Qa6Yz62V-Yc$_$0
402,0.9999999781776925,0.0002091478661967395,0.0032072067260742188,7.628527437858041e-05,QjcQx8_PQfw$_$10
403,0.9999999778259263,0.00021068869007163246,0.0030517578125,7.10572013207727e-05,QjcQx8_PQfw$_$7
404,0.9999999779672999,0.0002100292447682592,0.0018849372863769531,6.820137000839092e-05,QpchvHpGFc8$_$3
405,0.9999999772649218,0.00021368357316501777,0.0038404464721679688,7.029222143415499e-05,RArhIHk4Qs4$_$13
406,0.9999999785537739,0.00020803788086940715,0.0019350051879882812,6.728420232822903e-05,RArhIHk4Qs4$_$17
407,0.9999999772085457,0.0002137465746165153,0.0029973983764648438,7.376715397488066e-05,RArhIHk4Qs4$_$16
408,0.9999999788406688,0.00020572345779644552,0.00167083740234375,6.865919776070466e-05,RArhIHk4Qs4$_$19
409,0.9999999787599305,0.00020625954431584034,0.0017461776733398438,7.372102877542774e-05,RArhIHk4Qs4$_$1
410,0.9999999781422503,0.00020921920148351454,0.0019292831420898438,6.716615823844825e-05,RArhIHk4Qs4$_$2
411,0.9999999772007271,0.00021354967631801526,0.0032596588134765625,7.029928451392682e-05,RArhIHk4Qs4$_$7
412,0.9999999771097544,0.0002141352109912916,0.0038127899169921875,6.780089555103954e-05,RArhIHk4Qs4$_$6
413,0.9999999777410346,0.00021104657022098122,0.0024967193603515625,6.406004088379546e-05,RArhIHk4Qs4$_$8
414,0.9999999802270055,0.0001999115051309589,0.0017728805541992188,6.254982279356395e-05,RArhIHk4Qs4$_$21
415,0.9999999789942002,0.00020497792216017918,0.0017857551574707031,7.106561953062428e-05,ROcTx5VEn7o$_$11
416,0.9999999764694955,0.00021693747509616074,0.0035238265991210938,7.091587928002918e-05,ROcTx5VEn7o$_$1
417,0.999999978090924,0.0002102332255059227,0.0032110214233398438,6.775684152115192e-05,ROcTx5VEn7o$_$5
418,0.999999976520563,0.00021670334813829963,0.0038251876831054688,7.157068358946292e-05,ROcTx5VEn7o$_$9
419,0.9999999785502993,0.00020712360292667048,0.0028009414672851562,7.367288187179417e-05,RrGpzInAwCg$_$0
420,0.9999999769733663,0.0002148061523574256,0.0038270950317382812,6.978582673317696e-05,RzOFxDk26p0$_$1
421,0.9999999781928836,0.00020895469505650643,0.003276824951171875,7.308880897738117e-05,RzOFxDk26p0$_$0
422,0.9999999780978394,0.00020929665907080998,0.0025033950805664062,6.786849092637542e-05,SHa756SwGJQ$_$0
423,0.9999999779036809,0.00021022321695680264,0.0032453536987304688,7.531806263242717e-05,SHa756SwGJQ$_$2
424,0.9999999789878384,0.00020538838032213924,0.0018200874328613281,6.294661702424842e-05,SHa756SwGJQ$_$4
425,0.9999999777408696,0.00021173647716029152,0.0034723281860351562,6.869512801601887e-05,SHa756SwGJQ$_$7
426,0.9999999778467026,0.00021050776155524616,0.0018968582153320312,6.811891429252784e-05,SHa756SwGJQ$_$6
427,0.999999978565653,0.00020709587514725086,0.00323486328125,7.492142534153917e-05,TH32jop4FiI$_$15
428,0.9999999781317506,0.00020919187672772854,0.0021562576293945312,6.845971278023249e-05,TH32jop4FiI$_$17
429,0.9999999769209141,0.00021486410369413162,0.0034475326538085938,6.650517978237977e-05,TWszOxkOV0w$_$1
430,0.9999999783272637,0.00020825787274104303,0.0029611587524414062,7.281252679889962e-05,TXCXFYIc3Yo$_$16
431,0.9999999790857365,0.00020458806980573404,0.0019068717956542969,7.115235849462145e-05,TXCXFYIc3Yo$_$2
432,0.9999999780344094,0.00020959768065822394,0.0038690567016601562,7.161812973006028e-05,TXCXFYIc3Yo$_$7
433,0.9999999790419665,0.00020492459303768034,0.0018625259399414062,7.75423889136747e-05,TXCXFYIc3Yo$_$6
434,0.9999999770806711,0.00021411976263902146,0.0038442611694335938,7.339336668614749e-05,TYJzg5IJN8o$_$11
435,0.9999999786955219,0.00020644267641694043,0.0017442703247070312,7.004339359091776e-05,TYJzg5IJN8o$_$10
436,0.999999977812106,0.00021071963620010461,0.0026388168334960938,6.65182917865112e-05,TYJzg5IJN8o$_$14
437,0.9999999789027696,0.00020541966178650088,0.0019011497497558594,7.697850417794545e-05,TYJzg5IJN8o$_$0
438,0.9999999780730043,0.0002094171081097425,0.0029458999633789062,7.139428824558536e-05,TYJzg5IJN8o$_$4
439,0.9999999779506055,0.0002099978081034273,0.0026578903198242188,7.348514545664095e-05,TYJzg5IJN8o$_$7
440,0.9999999773895422,0.00021275183912620248,0.0029897689819335938,6.959910259078416e-05,Uc_6d-fkZEc$_$3
441,0.9999999784791618,0.00020753362863651232,0.0019292831420898438,7.118394751212573e-05,UlTJmndbGHM$_$1
442,0.9999999785996934,0.00020688472950266586,0.0017037391662597656,7.078923436894896e-05,UlTJmndbGHM$_$4
443,0.9999999797803394,0.00020110190637567766,0.00142669677734375,6.60937221103571e-05,VbV9S4svrTg$_$13
444,0.9999999785817477,0.00020711398766718074,0.00186920166015625,6.755590076881158e-05,VbV9S4svrTg$_$3
445,0.9999999778421549,0.00021192106287827163,0.0016026496887207031,6.555474279821283e-05,VbV9S4svrTg$_$7
446,0.999999978853333,0.00020566355669271723,0.0023651123046875,6.989432869267553e-05,VbV9S4svrTg$_$8
447,0.9999999781523728,0.00020908867337508607,0.0036745071411132812,7.167835488345986e-05,VinxKpWioTo$_$1
448,0.9999999785043849,0.00020756557279464849,0.0018334388732910156,7.067446141680496e-05,VinxKpWioTo$_$0
449,0.9999999778367187,0.0002105394912480004,0.003597259521484375,7.402596932192375e-05,VinxKpWioTo$_$3
